"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-04","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-05","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-06","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-07","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-08","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-09","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-10","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-11","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-12","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-13","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-14","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-15","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-16","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-17","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-18","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-19","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-20","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-21","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-22","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-23","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-24","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-25","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-26","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-27","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-28","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-29","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-30","SH","Saint Helena","AFRO",0,0,0,0
"2020-01-31","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-01","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-02","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-03","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-04","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-05","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-06","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-07","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-08","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-09","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-10","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-11","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-12","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-13","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-14","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-15","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-16","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-17","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-18","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-19","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-20","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-21","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-22","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-23","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-24","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-25","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-26","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-27","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-28","SH","Saint Helena","AFRO",0,0,0,0
"2020-02-29","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-01","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-02","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-03","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-04","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-05","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-06","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-07","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-08","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-09","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-10","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-11","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-12","SH","Saint Helena","AFRO",0,0,0,0
"2020-03-13","SH","Saint Helena","AFRO",0,0,0,0
