"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-04","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-05","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-06","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-07","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-08","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-09","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-10","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-11","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-12","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-13","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-14","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-15","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-16","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-17","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-18","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-19","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-20","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-21","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-22","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-23","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-24","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-25","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-26","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-27","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-28","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-29","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-30","MF","Saint Martin","AMRO",0,0,0,0
"2020-01-31","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-01","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-02","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-03","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-04","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-05","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-06","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-07","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-08","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-09","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-10","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-11","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-12","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-13","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-14","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-15","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-16","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-17","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-18","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-19","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-20","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-21","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-22","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-23","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-24","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-25","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-26","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-27","MF","Saint Martin","AMRO",0,0,0,0
"2020-02-28","MF","Saint Martin","AMRO",0,0,0,0
