"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-04","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-05","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-06","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-07","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-08","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-09","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-10","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-11","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-12","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-13","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-14","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-15","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-16","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-17","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-18","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-19","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-20","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-21","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-22","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-23","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-24","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-25","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-26","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-27","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-28","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-29","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-30","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-01-31","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-01","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-02","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-03","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-04","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-05","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-06","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-07","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-08","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-09","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-10","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-11","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-12","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-13","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-14","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-15","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-16","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-17","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-18","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-19","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-20","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-21","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-22","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-23","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-24","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-25","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-26","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-27","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-28","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-02-29","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-01","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-02","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-03","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-04","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-05","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-06","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-07","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-08","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-09","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-10","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-11","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-12","VC","Saint Vincent and the Grenadines","AMRO",0,0,0,0
"2020-03-13","VC","Saint Vincent and the Grenadines","AMRO",1,1,0,0
"2020-03-14","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-15","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-16","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-17","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-18","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-19","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-20","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-21","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-22","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-23","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-24","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-25","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-26","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-27","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-28","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-29","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-30","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-03-31","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-04-01","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-04-02","VC","Saint Vincent and the Grenadines","AMRO",0,1,0,0
"2020-04-03","VC","Saint Vincent and the Grenadines","AMRO",1,2,0,0
"2020-04-04","VC","Saint Vincent and the Grenadines","AMRO",1,3,0,0
"2020-04-05","VC","Saint Vincent and the Grenadines","AMRO",0,3,0,0
"2020-04-06","VC","Saint Vincent and the Grenadines","AMRO",0,3,0,0
"2020-04-07","VC","Saint Vincent and the Grenadines","AMRO",4,7,0,0
"2020-04-08","VC","Saint Vincent and the Grenadines","AMRO",0,7,0,0
"2020-04-09","VC","Saint Vincent and the Grenadines","AMRO",1,8,0,0
"2020-04-10","VC","Saint Vincent and the Grenadines","AMRO",0,8,0,0
"2020-04-11","VC","Saint Vincent and the Grenadines","AMRO",4,12,0,0
"2020-04-12","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-13","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-14","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-15","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-16","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-17","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-18","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-19","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-20","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-21","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-22","VC","Saint Vincent and the Grenadines","AMRO",0,12,0,0
"2020-04-23","VC","Saint Vincent and the Grenadines","AMRO",1,13,0,0
"2020-04-24","VC","Saint Vincent and the Grenadines","AMRO",0,13,0,0
"2020-04-25","VC","Saint Vincent and the Grenadines","AMRO",1,14,0,0
"2020-04-26","VC","Saint Vincent and the Grenadines","AMRO",0,14,0,0
"2020-04-27","VC","Saint Vincent and the Grenadines","AMRO",0,14,0,0
"2020-04-28","VC","Saint Vincent and the Grenadines","AMRO",1,15,0,0
"2020-04-29","VC","Saint Vincent and the Grenadines","AMRO",0,15,0,0
"2020-04-30","VC","Saint Vincent and the Grenadines","AMRO",1,16,0,0
"2020-05-01","VC","Saint Vincent and the Grenadines","AMRO",0,16,0,0
"2020-05-02","VC","Saint Vincent and the Grenadines","AMRO",0,16,0,0
"2020-05-03","VC","Saint Vincent and the Grenadines","AMRO",0,16,0,0
"2020-05-04","VC","Saint Vincent and the Grenadines","AMRO",0,16,0,0
"2020-05-05","VC","Saint Vincent and the Grenadines","AMRO",1,17,0,0
"2020-05-06","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-07","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-08","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-09","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-10","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-11","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-12","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-13","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-14","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-15","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-16","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-17","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-18","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-19","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-20","VC","Saint Vincent and the Grenadines","AMRO",0,17,0,0
"2020-05-21","VC","Saint Vincent and the Grenadines","AMRO",1,18,0,0
"2020-05-22","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-23","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-24","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-25","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-26","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-27","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-28","VC","Saint Vincent and the Grenadines","AMRO",0,18,0,0
"2020-05-29","VC","Saint Vincent and the Grenadines","AMRO",7,25,0,0
"2020-05-30","VC","Saint Vincent and the Grenadines","AMRO",0,25,0,0
"2020-05-31","VC","Saint Vincent and the Grenadines","AMRO",0,25,0,0
"2020-06-01","VC","Saint Vincent and the Grenadines","AMRO",1,26,0,0
"2020-06-02","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-03","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-04","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-05","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-06","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-07","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-08","VC","Saint Vincent and the Grenadines","AMRO",0,26,0,0
"2020-06-09","VC","Saint Vincent and the Grenadines","AMRO",1,27,0,0
"2020-06-10","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-11","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-12","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-13","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-14","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-15","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-16","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-17","VC","Saint Vincent and the Grenadines","AMRO",0,27,0,0
"2020-06-18","VC","Saint Vincent and the Grenadines","AMRO",2,29,0,0
"2020-06-19","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-20","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-21","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-22","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-23","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-24","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-25","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-26","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-27","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-28","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-29","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-06-30","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-01","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-02","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-03","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-04","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-05","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-06","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-07","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-08","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-09","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-10","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-11","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-12","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-13","VC","Saint Vincent and the Grenadines","AMRO",0,29,0,0
"2020-07-14","VC","Saint Vincent and the Grenadines","AMRO",6,35,0,0
"2020-07-15","VC","Saint Vincent and the Grenadines","AMRO",0,35,0,0
"2020-07-16","VC","Saint Vincent and the Grenadines","AMRO",0,35,0,0
"2020-07-17","VC","Saint Vincent and the Grenadines","AMRO",0,35,0,0
"2020-07-18","VC","Saint Vincent and the Grenadines","AMRO",0,35,0,0
"2020-07-19","VC","Saint Vincent and the Grenadines","AMRO",0,35,0,0
"2020-07-20","VC","Saint Vincent and the Grenadines","AMRO",3,38,0,0
"2020-07-21","VC","Saint Vincent and the Grenadines","AMRO",12,50,0,0
"2020-07-22","VC","Saint Vincent and the Grenadines","AMRO",0,50,0,0
"2020-07-23","VC","Saint Vincent and the Grenadines","AMRO",0,50,0,0
"2020-07-24","VC","Saint Vincent and the Grenadines","AMRO",2,52,0,0
"2020-07-25","VC","Saint Vincent and the Grenadines","AMRO",0,52,0,0
"2020-07-26","VC","Saint Vincent and the Grenadines","AMRO",0,52,0,0
"2020-07-27","VC","Saint Vincent and the Grenadines","AMRO",0,52,0,0
"2020-07-28","VC","Saint Vincent and the Grenadines","AMRO",0,52,0,0
