"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","WS","Samoa","WPRO",0,0,0,0
"2020-01-04","WS","Samoa","WPRO",0,0,0,0
"2020-01-05","WS","Samoa","WPRO",0,0,0,0
"2020-01-06","WS","Samoa","WPRO",0,0,0,0
"2020-01-07","WS","Samoa","WPRO",0,0,0,0
"2020-01-08","WS","Samoa","WPRO",0,0,0,0
"2020-01-09","WS","Samoa","WPRO",0,0,0,0
"2020-01-10","WS","Samoa","WPRO",0,0,0,0
"2020-01-11","WS","Samoa","WPRO",0,0,0,0
"2020-01-12","WS","Samoa","WPRO",0,0,0,0
"2020-01-13","WS","Samoa","WPRO",0,0,0,0
"2020-01-14","WS","Samoa","WPRO",0,0,0,0
"2020-01-15","WS","Samoa","WPRO",0,0,0,0
"2020-01-16","WS","Samoa","WPRO",0,0,0,0
"2020-01-17","WS","Samoa","WPRO",0,0,0,0
"2020-01-18","WS","Samoa","WPRO",0,0,0,0
"2020-01-19","WS","Samoa","WPRO",0,0,0,0
"2020-01-20","WS","Samoa","WPRO",0,0,0,0
"2020-01-21","WS","Samoa","WPRO",0,0,0,0
"2020-01-22","WS","Samoa","WPRO",0,0,0,0
"2020-01-23","WS","Samoa","WPRO",0,0,0,0
"2020-01-24","WS","Samoa","WPRO",0,0,0,0
"2020-01-25","WS","Samoa","WPRO",0,0,0,0
"2020-01-26","WS","Samoa","WPRO",0,0,0,0
"2020-01-27","WS","Samoa","WPRO",0,0,0,0
"2020-01-28","WS","Samoa","WPRO",0,0,0,0
"2020-01-29","WS","Samoa","WPRO",0,0,0,0
"2020-01-30","WS","Samoa","WPRO",0,0,0,0
"2020-01-31","WS","Samoa","WPRO",0,0,0,0
"2020-02-01","WS","Samoa","WPRO",0,0,0,0
"2020-02-02","WS","Samoa","WPRO",0,0,0,0
"2020-02-03","WS","Samoa","WPRO",0,0,0,0
"2020-02-04","WS","Samoa","WPRO",0,0,0,0
"2020-02-05","WS","Samoa","WPRO",0,0,0,0
"2020-02-06","WS","Samoa","WPRO",0,0,0,0
"2020-02-07","WS","Samoa","WPRO",0,0,0,0
"2020-02-08","WS","Samoa","WPRO",0,0,0,0
"2020-02-09","WS","Samoa","WPRO",0,0,0,0
"2020-02-10","WS","Samoa","WPRO",0,0,0,0
"2020-02-11","WS","Samoa","WPRO",0,0,0,0
"2020-02-12","WS","Samoa","WPRO",0,0,0,0
"2020-02-13","WS","Samoa","WPRO",0,0,0,0
"2020-02-14","WS","Samoa","WPRO",0,0,0,0
"2020-02-15","WS","Samoa","WPRO",0,0,0,0
"2020-02-16","WS","Samoa","WPRO",0,0,0,0
"2020-02-17","WS","Samoa","WPRO",0,0,0,0
"2020-02-18","WS","Samoa","WPRO",0,0,0,0
"2020-02-19","WS","Samoa","WPRO",0,0,0,0
"2020-02-20","WS","Samoa","WPRO",0,0,0,0
"2020-02-21","WS","Samoa","WPRO",0,0,0,0
"2020-02-22","WS","Samoa","WPRO",0,0,0,0
"2020-02-23","WS","Samoa","WPRO",0,0,0,0
"2020-02-24","WS","Samoa","WPRO",0,0,0,0
"2020-02-25","WS","Samoa","WPRO",0,0,0,0
"2020-02-26","WS","Samoa","WPRO",0,0,0,0
"2020-02-27","WS","Samoa","WPRO",0,0,0,0
"2020-02-28","WS","Samoa","WPRO",0,0,0,0
"2020-02-29","WS","Samoa","WPRO",0,0,0,0
"2020-03-01","WS","Samoa","WPRO",0,0,0,0
"2020-03-02","WS","Samoa","WPRO",0,0,0,0
"2020-03-03","WS","Samoa","WPRO",0,0,0,0
"2020-03-04","WS","Samoa","WPRO",0,0,0,0
"2020-03-05","WS","Samoa","WPRO",0,0,0,0
"2020-03-06","WS","Samoa","WPRO",0,0,0,0
"2020-03-07","WS","Samoa","WPRO",0,0,0,0
"2020-03-08","WS","Samoa","WPRO",0,0,0,0
"2020-03-09","WS","Samoa","WPRO",0,0,0,0
"2020-03-10","WS","Samoa","WPRO",0,0,0,0
"2020-03-11","WS","Samoa","WPRO",0,0,0,0
"2020-03-12","WS","Samoa","WPRO",0,0,0,0
"2020-03-13","WS","Samoa","WPRO",0,0,0,0
"2020-03-14","WS","Samoa","WPRO",0,0,0,0
"2020-03-15","WS","Samoa","WPRO",0,0,0,0
"2020-03-16","WS","Samoa","WPRO",0,0,0,0
"2020-03-17","WS","Samoa","WPRO",0,0,0,0
"2020-03-18","WS","Samoa","WPRO",0,0,0,0
"2020-03-19","WS","Samoa","WPRO",0,0,0,0
"2020-03-20","WS","Samoa","WPRO",0,0,0,0
"2020-03-21","WS","Samoa","WPRO",0,0,0,0
"2020-03-22","WS","Samoa","WPRO",0,0,0,0
"2020-03-23","WS","Samoa","WPRO",0,0,0,0
"2020-03-24","WS","Samoa","WPRO",0,0,0,0
"2020-03-25","WS","Samoa","WPRO",0,0,0,0
"2020-03-26","WS","Samoa","WPRO",0,0,0,0
"2020-03-27","WS","Samoa","WPRO",0,0,0,0
"2020-03-28","WS","Samoa","WPRO",0,0,0,0
"2020-03-29","WS","Samoa","WPRO",0,0,0,0
"2020-03-30","WS","Samoa","WPRO",0,0,0,0
"2020-03-31","WS","Samoa","WPRO",0,0,0,0
"2020-04-01","WS","Samoa","WPRO",0,0,0,0
"2020-04-02","WS","Samoa","WPRO",0,0,0,0
"2020-04-03","WS","Samoa","WPRO",0,0,0,0
"2020-04-04","WS","Samoa","WPRO",0,0,0,0
"2020-04-05","WS","Samoa","WPRO",0,0,0,0
"2020-04-06","WS","Samoa","WPRO",0,0,0,0
"2020-04-07","WS","Samoa","WPRO",0,0,0,0
"2020-04-08","WS","Samoa","WPRO",0,0,0,0
"2020-04-09","WS","Samoa","WPRO",0,0,0,0
"2020-04-10","WS","Samoa","WPRO",0,0,0,0
"2020-04-11","WS","Samoa","WPRO",0,0,0,0
"2020-04-12","WS","Samoa","WPRO",0,0,0,0
"2020-04-13","WS","Samoa","WPRO",0,0,0,0
"2020-04-14","WS","Samoa","WPRO",0,0,0,0
"2020-04-15","WS","Samoa","WPRO",0,0,0,0
"2020-04-16","WS","Samoa","WPRO",0,0,0,0
"2020-04-17","WS","Samoa","WPRO",0,0,0,0
"2020-04-18","WS","Samoa","WPRO",0,0,0,0
"2020-04-19","WS","Samoa","WPRO",0,0,0,0
"2020-04-20","WS","Samoa","WPRO",0,0,0,0
"2020-04-21","WS","Samoa","WPRO",0,0,0,0
"2020-04-22","WS","Samoa","WPRO",0,0,0,0
"2020-04-23","WS","Samoa","WPRO",0,0,0,0
"2020-04-24","WS","Samoa","WPRO",0,0,0,0
"2020-04-25","WS","Samoa","WPRO",0,0,0,0
"2020-04-26","WS","Samoa","WPRO",0,0,0,0
"2020-04-27","WS","Samoa","WPRO",0,0,0,0
"2020-04-28","WS","Samoa","WPRO",0,0,0,0
"2020-04-29","WS","Samoa","WPRO",0,0,0,0
"2020-04-30","WS","Samoa","WPRO",0,0,0,0
"2020-05-01","WS","Samoa","WPRO",0,0,0,0
"2020-05-02","WS","Samoa","WPRO",0,0,0,0
"2020-05-03","WS","Samoa","WPRO",0,0,0,0
"2020-05-04","WS","Samoa","WPRO",0,0,0,0
"2020-05-05","WS","Samoa","WPRO",0,0,0,0
"2020-05-06","WS","Samoa","WPRO",0,0,0,0
"2020-05-07","WS","Samoa","WPRO",0,0,0,0
"2020-05-08","WS","Samoa","WPRO",0,0,0,0
"2020-05-09","WS","Samoa","WPRO",0,0,0,0
"2020-05-10","WS","Samoa","WPRO",0,0,0,0
"2020-05-11","WS","Samoa","WPRO",0,0,0,0
"2020-05-12","WS","Samoa","WPRO",0,0,0,0
"2020-05-13","WS","Samoa","WPRO",0,0,0,0
"2020-05-14","WS","Samoa","WPRO",0,0,0,0
"2020-05-15","WS","Samoa","WPRO",0,0,0,0
"2020-05-16","WS","Samoa","WPRO",0,0,0,0
"2020-05-17","WS","Samoa","WPRO",0,0,0,0
"2020-05-18","WS","Samoa","WPRO",0,0,0,0
"2020-05-19","WS","Samoa","WPRO",0,0,0,0
"2020-05-20","WS","Samoa","WPRO",0,0,0,0
"2020-05-21","WS","Samoa","WPRO",0,0,0,0
"2020-05-22","WS","Samoa","WPRO",0,0,0,0
"2020-05-23","WS","Samoa","WPRO",0,0,0,0
"2020-05-24","WS","Samoa","WPRO",0,0,0,0
"2020-05-25","WS","Samoa","WPRO",0,0,0,0
"2020-05-26","WS","Samoa","WPRO",0,0,0,0
"2020-05-27","WS","Samoa","WPRO",0,0,0,0
"2020-05-28","WS","Samoa","WPRO",0,0,0,0
"2020-05-29","WS","Samoa","WPRO",0,0,0,0
"2020-05-30","WS","Samoa","WPRO",0,0,0,0
"2020-05-31","WS","Samoa","WPRO",0,0,0,0
"2020-06-01","WS","Samoa","WPRO",0,0,0,0
"2020-06-02","WS","Samoa","WPRO",0,0,0,0
"2020-06-03","WS","Samoa","WPRO",0,0,0,0
"2020-06-04","WS","Samoa","WPRO",0,0,0,0
"2020-06-05","WS","Samoa","WPRO",0,0,0,0
"2020-06-06","WS","Samoa","WPRO",0,0,0,0
"2020-06-07","WS","Samoa","WPRO",0,0,0,0
"2020-06-08","WS","Samoa","WPRO",0,0,0,0
"2020-06-09","WS","Samoa","WPRO",0,0,0,0
"2020-06-10","WS","Samoa","WPRO",0,0,0,0
"2020-06-11","WS","Samoa","WPRO",0,0,0,0
"2020-06-12","WS","Samoa","WPRO",0,0,0,0
"2020-06-13","WS","Samoa","WPRO",0,0,0,0
"2020-06-14","WS","Samoa","WPRO",0,0,0,0
"2020-06-15","WS","Samoa","WPRO",0,0,0,0
"2020-06-16","WS","Samoa","WPRO",0,0,0,0
"2020-06-17","WS","Samoa","WPRO",0,0,0,0
"2020-06-18","WS","Samoa","WPRO",0,0,0,0
"2020-06-19","WS","Samoa","WPRO",0,0,0,0
"2020-06-20","WS","Samoa","WPRO",0,0,0,0
"2020-06-21","WS","Samoa","WPRO",0,0,0,0
"2020-06-22","WS","Samoa","WPRO",0,0,0,0
"2020-06-23","WS","Samoa","WPRO",0,0,0,0
"2020-06-24","WS","Samoa","WPRO",0,0,0,0
"2020-06-25","WS","Samoa","WPRO",0,0,0,0
"2020-06-26","WS","Samoa","WPRO",0,0,0,0
"2020-06-27","WS","Samoa","WPRO",0,0,0,0
"2020-06-28","WS","Samoa","WPRO",0,0,0,0
"2020-06-29","WS","Samoa","WPRO",0,0,0,0
"2020-06-30","WS","Samoa","WPRO",0,0,0,0
"2020-07-01","WS","Samoa","WPRO",0,0,0,0
"2020-07-02","WS","Samoa","WPRO",0,0,0,0
"2020-07-03","WS","Samoa","WPRO",0,0,0,0
"2020-07-04","WS","Samoa","WPRO",0,0,0,0
"2020-07-05","WS","Samoa","WPRO",0,0,0,0
"2020-07-06","WS","Samoa","WPRO",0,0,0,0
"2020-07-07","WS","Samoa","WPRO",0,0,0,0
"2020-07-08","WS","Samoa","WPRO",0,0,0,0
"2020-07-09","WS","Samoa","WPRO",0,0,0,0
"2020-07-10","WS","Samoa","WPRO",0,0,0,0
"2020-07-11","WS","Samoa","WPRO",0,0,0,0
"2020-07-12","WS","Samoa","WPRO",0,0,0,0
"2020-07-13","WS","Samoa","WPRO",0,0,0,0
"2020-07-14","WS","Samoa","WPRO",0,0,0,0
"2020-07-15","WS","Samoa","WPRO",0,0,0,0
"2020-07-16","WS","Samoa","WPRO",0,0,0,0
"2020-07-17","WS","Samoa","WPRO",0,0,0,0
"2020-07-18","WS","Samoa","WPRO",0,0,0,0
"2020-07-19","WS","Samoa","WPRO",0,0,0,0
"2020-07-20","WS","Samoa","WPRO",0,0,0,0
"2020-07-21","WS","Samoa","WPRO",0,0,0,0
"2020-07-22","WS","Samoa","WPRO",0,0,0,0
"2020-07-23","WS","Samoa","WPRO",0,0,0,0
"2020-07-24","WS","Samoa","WPRO",0,0,0,0
"2020-07-25","WS","Samoa","WPRO",0,0,0,0
"2020-07-26","WS","Samoa","WPRO",0,0,0,0
"2020-07-27","WS","Samoa","WPRO",0,0,0,0
"2020-07-28","WS","Samoa","WPRO",0,0,0,0
"2020-07-29","WS","Samoa","WPRO",0,0,0,0
"2020-07-30","WS","Samoa","WPRO",0,0,0,0
"2020-07-31","WS","Samoa","WPRO",0,0,0,0
"2020-08-01","WS","Samoa","WPRO",0,0,0,0
"2020-08-02","WS","Samoa","WPRO",0,0,0,0
"2020-08-03","WS","Samoa","WPRO",0,0,0,0
"2020-08-04","WS","Samoa","WPRO",0,0,0,0
"2020-08-05","WS","Samoa","WPRO",0,0,0,0
"2020-08-06","WS","Samoa","WPRO",0,0,0,0
"2020-08-07","WS","Samoa","WPRO",0,0,0,0
"2020-08-08","WS","Samoa","WPRO",0,0,0,0
"2020-08-09","WS","Samoa","WPRO",0,0,0,0
"2020-08-10","WS","Samoa","WPRO",0,0,0,0
"2020-08-11","WS","Samoa","WPRO",0,0,0,0
"2020-08-12","WS","Samoa","WPRO",0,0,0,0
"2020-08-13","WS","Samoa","WPRO",0,0,0,0
"2020-08-14","WS","Samoa","WPRO",0,0,0,0
"2020-08-15","WS","Samoa","WPRO",0,0,0,0
"2020-08-16","WS","Samoa","WPRO",0,0,0,0
"2020-08-17","WS","Samoa","WPRO",0,0,0,0
"2020-08-18","WS","Samoa","WPRO",0,0,0,0
"2020-08-19","WS","Samoa","WPRO",0,0,0,0
"2020-08-20","WS","Samoa","WPRO",0,0,0,0
"2020-08-21","WS","Samoa","WPRO",0,0,0,0
"2020-08-22","WS","Samoa","WPRO",0,0,0,0
"2020-08-23","WS","Samoa","WPRO",0,0,0,0
"2020-08-24","WS","Samoa","WPRO",0,0,0,0
"2020-08-25","WS","Samoa","WPRO",0,0,0,0
"2020-08-26","WS","Samoa","WPRO",0,0,0,0
"2020-08-27","WS","Samoa","WPRO",0,0,0,0
"2020-08-28","WS","Samoa","WPRO",0,0,0,0
"2020-08-29","WS","Samoa","WPRO",0,0,0,0
"2020-08-30","WS","Samoa","WPRO",0,0,0,0
"2020-08-31","WS","Samoa","WPRO",0,0,0,0
"2020-09-01","WS","Samoa","WPRO",0,0,0,0
"2020-09-02","WS","Samoa","WPRO",0,0,0,0
"2020-09-03","WS","Samoa","WPRO",0,0,0,0
"2020-09-04","WS","Samoa","WPRO",0,0,0,0
"2020-09-05","WS","Samoa","WPRO",0,0,0,0
"2020-09-06","WS","Samoa","WPRO",0,0,0,0
"2020-09-07","WS","Samoa","WPRO",0,0,0,0
"2020-09-08","WS","Samoa","WPRO",0,0,0,0
"2020-09-09","WS","Samoa","WPRO",0,0,0,0
"2020-09-10","WS","Samoa","WPRO",0,0,0,0
"2020-09-11","WS","Samoa","WPRO",0,0,0,0
"2020-09-12","WS","Samoa","WPRO",0,0,0,0
"2020-09-13","WS","Samoa","WPRO",0,0,0,0
"2020-09-14","WS","Samoa","WPRO",0,0,0,0
"2020-09-15","WS","Samoa","WPRO",0,0,0,0
"2020-09-16","WS","Samoa","WPRO",0,0,0,0
"2020-09-17","WS","Samoa","WPRO",0,0,0,0
"2020-09-18","WS","Samoa","WPRO",0,0,0,0
"2020-09-19","WS","Samoa","WPRO",0,0,0,0
"2020-09-20","WS","Samoa","WPRO",0,0,0,0
"2020-09-21","WS","Samoa","WPRO",0,0,0,0
"2020-09-22","WS","Samoa","WPRO",0,0,0,0
"2020-09-23","WS","Samoa","WPRO",0,0,0,0
"2020-09-24","WS","Samoa","WPRO",0,0,0,0
"2020-09-25","WS","Samoa","WPRO",0,0,0,0
"2020-09-26","WS","Samoa","WPRO",0,0,0,0
"2020-09-27","WS","Samoa","WPRO",0,0,0,0
"2020-09-28","WS","Samoa","WPRO",0,0,0,0
"2020-09-29","WS","Samoa","WPRO",0,0,0,0
"2020-09-30","WS","Samoa","WPRO",0,0,0,0
"2020-10-01","WS","Samoa","WPRO",0,0,0,0
"2020-10-02","WS","Samoa","WPRO",0,0,0,0
"2020-10-03","WS","Samoa","WPRO",0,0,0,0
"2020-10-04","WS","Samoa","WPRO",0,0,0,0
"2020-10-05","WS","Samoa","WPRO",0,0,0,0
"2020-10-06","WS","Samoa","WPRO",0,0,0,0
"2020-10-07","WS","Samoa","WPRO",0,0,0,0
"2020-10-08","WS","Samoa","WPRO",0,0,0,0
"2020-10-09","WS","Samoa","WPRO",0,0,0,0
"2020-10-10","WS","Samoa","WPRO",0,0,0,0
"2020-10-11","WS","Samoa","WPRO",0,0,0,0
"2020-10-12","WS","Samoa","WPRO",0,0,0,0
"2020-10-13","WS","Samoa","WPRO",0,0,0,0
"2020-10-14","WS","Samoa","WPRO",0,0,0,0
"2020-10-15","WS","Samoa","WPRO",0,0,0,0
"2020-10-16","WS","Samoa","WPRO",0,0,0,0
"2020-10-17","WS","Samoa","WPRO",0,0,0,0
"2020-10-18","WS","Samoa","WPRO",0,0,0,0
"2020-10-19","WS","Samoa","WPRO",0,0,0,0
"2020-10-20","WS","Samoa","WPRO",0,0,0,0
"2020-10-21","WS","Samoa","WPRO",0,0,0,0
"2020-10-22","WS","Samoa","WPRO",0,0,0,0
"2020-10-23","WS","Samoa","WPRO",0,0,0,0
"2020-10-24","WS","Samoa","WPRO",0,0,0,0
"2020-10-25","WS","Samoa","WPRO",0,0,0,0
"2020-10-26","WS","Samoa","WPRO",0,0,0,0
"2020-10-27","WS","Samoa","WPRO",0,0,0,0
"2020-10-28","WS","Samoa","WPRO",0,0,0,0
"2020-10-29","WS","Samoa","WPRO",0,0,0,0
"2020-10-30","WS","Samoa","WPRO",0,0,0,0
"2020-10-31","WS","Samoa","WPRO",0,0,0,0
"2020-11-01","WS","Samoa","WPRO",0,0,0,0
"2020-11-02","WS","Samoa","WPRO",0,0,0,0
"2020-11-03","WS","Samoa","WPRO",0,0,0,0
"2020-11-04","WS","Samoa","WPRO",0,0,0,0
"2020-11-05","WS","Samoa","WPRO",0,0,0,0
"2020-11-06","WS","Samoa","WPRO",0,0,0,0
"2020-11-07","WS","Samoa","WPRO",0,0,0,0
"2020-11-08","WS","Samoa","WPRO",0,0,0,0
"2020-11-09","WS","Samoa","WPRO",0,0,0,0
"2020-11-10","WS","Samoa","WPRO",0,0,0,0
"2020-11-11","WS","Samoa","WPRO",0,0,0,0
"2020-11-12","WS","Samoa","WPRO",0,0,0,0
"2020-11-13","WS","Samoa","WPRO",0,0,0,0
"2020-11-14","WS","Samoa","WPRO",0,0,0,0
"2020-11-15","WS","Samoa","WPRO",0,0,0,0
"2020-11-16","WS","Samoa","WPRO",0,0,0,0
"2020-11-17","WS","Samoa","WPRO",0,0,0,0
"2020-11-18","WS","Samoa","WPRO",0,0,0,0
"2020-11-19","WS","Samoa","WPRO",0,0,0,0
"2020-11-20","WS","Samoa","WPRO",0,0,0,0
"2020-11-21","WS","Samoa","WPRO",0,0,0,0
"2020-11-22","WS","Samoa","WPRO",0,0,0,0
"2020-11-23","WS","Samoa","WPRO",0,0,0,0
"2020-11-24","WS","Samoa","WPRO",0,0,0,0
"2020-11-25","WS","Samoa","WPRO",0,0,0,0
"2020-11-26","WS","Samoa","WPRO",0,0,0,0
"2020-11-27","WS","Samoa","WPRO",0,0,0,0
"2020-11-28","WS","Samoa","WPRO",0,0,0,0
"2020-11-29","WS","Samoa","WPRO",0,0,0,0
"2020-11-30","WS","Samoa","WPRO",0,0,0,0
"2020-12-01","WS","Samoa","WPRO",0,0,0,0
"2020-12-02","WS","Samoa","WPRO",0,0,0,0
"2020-12-03","WS","Samoa","WPRO",0,0,0,0
"2020-12-04","WS","Samoa","WPRO",0,0,0,0
"2020-12-05","WS","Samoa","WPRO",0,0,0,0
"2020-12-06","WS","Samoa","WPRO",0,0,0,0
"2020-12-07","WS","Samoa","WPRO",0,0,0,0
"2020-12-08","WS","Samoa","WPRO",0,0,0,0
"2020-12-09","WS","Samoa","WPRO",0,0,0,0
"2020-12-10","WS","Samoa","WPRO",0,0,0,0
"2020-12-11","WS","Samoa","WPRO",0,0,0,0
