"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SM","San Marino","EURO",0,0,0,0
"2020-01-04","SM","San Marino","EURO",0,0,0,0
"2020-01-05","SM","San Marino","EURO",0,0,0,0
"2020-01-06","SM","San Marino","EURO",0,0,0,0
"2020-01-07","SM","San Marino","EURO",0,0,0,0
"2020-01-08","SM","San Marino","EURO",0,0,0,0
"2020-01-09","SM","San Marino","EURO",0,0,0,0
"2020-01-10","SM","San Marino","EURO",0,0,0,0
"2020-01-11","SM","San Marino","EURO",0,0,0,0
"2020-01-12","SM","San Marino","EURO",0,0,0,0
"2020-01-13","SM","San Marino","EURO",0,0,0,0
"2020-01-14","SM","San Marino","EURO",0,0,0,0
"2020-01-15","SM","San Marino","EURO",0,0,0,0
"2020-01-16","SM","San Marino","EURO",0,0,0,0
"2020-01-17","SM","San Marino","EURO",0,0,0,0
"2020-01-18","SM","San Marino","EURO",0,0,0,0
"2020-01-19","SM","San Marino","EURO",0,0,0,0
"2020-01-20","SM","San Marino","EURO",0,0,0,0
"2020-01-21","SM","San Marino","EURO",0,0,0,0
"2020-01-22","SM","San Marino","EURO",0,0,0,0
"2020-01-23","SM","San Marino","EURO",0,0,0,0
"2020-01-24","SM","San Marino","EURO",0,0,0,0
"2020-01-25","SM","San Marino","EURO",0,0,0,0
"2020-01-26","SM","San Marino","EURO",0,0,0,0
"2020-01-27","SM","San Marino","EURO",0,0,0,0
"2020-01-28","SM","San Marino","EURO",0,0,0,0
"2020-01-29","SM","San Marino","EURO",0,0,0,0
"2020-01-30","SM","San Marino","EURO",0,0,0,0
"2020-01-31","SM","San Marino","EURO",0,0,0,0
"2020-02-01","SM","San Marino","EURO",0,0,0,0
"2020-02-02","SM","San Marino","EURO",0,0,0,0
"2020-02-03","SM","San Marino","EURO",0,0,0,0
"2020-02-04","SM","San Marino","EURO",0,0,0,0
"2020-02-05","SM","San Marino","EURO",0,0,0,0
"2020-02-06","SM","San Marino","EURO",0,0,0,0
"2020-02-07","SM","San Marino","EURO",0,0,0,0
"2020-02-08","SM","San Marino","EURO",0,0,0,0
"2020-02-09","SM","San Marino","EURO",0,0,0,0
"2020-02-10","SM","San Marino","EURO",0,0,0,0
"2020-02-11","SM","San Marino","EURO",0,0,0,0
"2020-02-12","SM","San Marino","EURO",0,0,0,0
"2020-02-13","SM","San Marino","EURO",0,0,0,0
"2020-02-14","SM","San Marino","EURO",0,0,0,0
"2020-02-15","SM","San Marino","EURO",0,0,0,0
"2020-02-16","SM","San Marino","EURO",0,0,0,0
"2020-02-17","SM","San Marino","EURO",0,0,0,0
"2020-02-18","SM","San Marino","EURO",0,0,0,0
"2020-02-19","SM","San Marino","EURO",0,0,0,0
"2020-02-20","SM","San Marino","EURO",0,0,0,0
"2020-02-21","SM","San Marino","EURO",0,0,0,0
"2020-02-22","SM","San Marino","EURO",0,0,0,0
"2020-02-23","SM","San Marino","EURO",0,0,0,0
"2020-02-24","SM","San Marino","EURO",0,0,0,0
"2020-02-25","SM","San Marino","EURO",0,0,0,0
"2020-02-26","SM","San Marino","EURO",0,0,0,0
"2020-02-27","SM","San Marino","EURO",0,0,0,0
"2020-02-28","SM","San Marino","EURO",1,1,0,0
"2020-02-29","SM","San Marino","EURO",0,1,1,1
"2020-03-01","SM","San Marino","EURO",0,1,0,1
"2020-03-02","SM","San Marino","EURO",0,1,0,1
"2020-03-03","SM","San Marino","EURO",8,9,0,1
"2020-03-04","SM","San Marino","EURO",0,9,0,1
"2020-03-05","SM","San Marino","EURO",7,16,0,1
"2020-03-06","SM","San Marino","EURO",6,22,0,1
"2020-03-07","SM","San Marino","EURO",2,24,0,1
"2020-03-08","SM","San Marino","EURO",3,27,0,1
"2020-03-09","SM","San Marino","EURO",10,37,0,1
"2020-03-10","SM","San Marino","EURO",12,49,1,2
"2020-03-11","SM","San Marino","EURO",11,60,0,2
"2020-03-12","SM","San Marino","EURO",0,60,0,2
"2020-03-13","SM","San Marino","EURO",4,64,3,5
"2020-03-14","SM","San Marino","EURO",13,77,0,5
"2020-03-15","SM","San Marino","EURO",0,77,0,5
"2020-03-16","SM","San Marino","EURO",0,77,0,5
"2020-03-17","SM","San Marino","EURO",25,102,4,9
"2020-03-18","SM","San Marino","EURO",2,104,2,11
"2020-03-19","SM","San Marino","EURO",5,109,3,14
"2020-03-20","SM","San Marino","EURO",17,126,0,14
"2020-03-21","SM","San Marino","EURO",25,151,6,20
"2020-03-22","SM","San Marino","EURO",24,175,0,20
"2020-03-23","SM","San Marino","EURO",12,187,0,20
"2020-03-24","SM","San Marino","EURO",0,187,1,21
"2020-03-25","SM","San Marino","EURO",21,208,0,21
"2020-03-26","SM","San Marino","EURO",10,218,0,21
"2020-03-27","SM","San Marino","EURO",5,223,0,21
"2020-03-28","SM","San Marino","EURO",5,228,1,22
"2020-03-29","SM","San Marino","EURO",0,228,0,22
"2020-03-30","SM","San Marino","EURO",2,230,3,25
"2020-03-31","SM","San Marino","EURO",6,236,1,26
"2020-04-01","SM","San Marino","EURO",0,236,2,28
"2020-04-02","SM","San Marino","EURO",0,236,0,28
"2020-04-03","SM","San Marino","EURO",9,245,2,30
"2020-04-04","SM","San Marino","EURO",7,252,2,32
"2020-04-05","SM","San Marino","EURO",7,259,0,32
"2020-04-06","SM","San Marino","EURO",7,266,0,32
"2020-04-07","SM","San Marino","EURO",11,277,0,32
"2020-04-08","SM","San Marino","EURO",2,279,2,34
"2020-04-09","SM","San Marino","EURO",29,308,0,34
"2020-04-10","SM","San Marino","EURO",36,344,0,34
"2020-04-11","SM","San Marino","EURO",0,344,0,34
"2020-04-12","SM","San Marino","EURO",12,356,1,35
"2020-04-13","SM","San Marino","EURO",0,356,0,35
"2020-04-14","SM","San Marino","EURO",15,371,1,36
"2020-04-15","SM","San Marino","EURO",1,372,0,36
