"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-04","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-05","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-06","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-07","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-08","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-09","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-10","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-11","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-12","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-13","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-14","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-15","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-16","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-17","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-18","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-19","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-20","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-21","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-22","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-23","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-24","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-25","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-26","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-27","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-28","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-29","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-30","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-01-31","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-01","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-02","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-03","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-04","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-05","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-06","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-07","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-08","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-09","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-10","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-11","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-12","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-13","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-14","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-15","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-16","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-17","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-18","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-19","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-20","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-21","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-22","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-23","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-24","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-25","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-26","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-27","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-28","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-02-29","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-01","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-02","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-03","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-04","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-05","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-06","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-07","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-08","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-09","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-10","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-11","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-12","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-13","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-14","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-15","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-16","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-17","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-18","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-19","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-20","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-21","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-22","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-23","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-24","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-25","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-26","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-27","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-28","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-29","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-30","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-03-31","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-01","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-02","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-03","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-04","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-05","ST","Sao Tome and Principe","AFRO",0,0,0,0
"2020-04-06","ST","Sao Tome and Principe","AFRO",4,4,0,0
"2020-04-07","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-08","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-09","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-10","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-11","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-12","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-13","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-14","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-15","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-16","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-17","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-18","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-19","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-20","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-21","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-22","ST","Sao Tome and Principe","AFRO",0,4,0,0
"2020-04-23","ST","Sao Tome and Principe","AFRO",3,7,0,0
"2020-04-24","ST","Sao Tome and Principe","AFRO",1,8,0,0
"2020-04-25","ST","Sao Tome and Principe","AFRO",0,8,0,0
"2020-04-26","ST","Sao Tome and Principe","AFRO",0,8,0,0
"2020-04-27","ST","Sao Tome and Principe","AFRO",0,8,0,0
"2020-04-28","ST","Sao Tome and Principe","AFRO",0,8,0,0
"2020-04-29","ST","Sao Tome and Principe","AFRO",3,11,0,0
"2020-04-30","ST","Sao Tome and Principe","AFRO",0,11,0,0
"2020-05-01","ST","Sao Tome and Principe","AFRO",5,16,1,1
"2020-05-02","ST","Sao Tome and Principe","AFRO",0,16,0,1
