"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-04","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-05","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-06","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-07","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-08","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-09","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-10","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-11","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-12","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-13","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-14","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-15","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-16","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-17","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-18","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-19","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-20","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-21","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-22","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-23","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-24","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-25","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-26","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-27","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-28","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-29","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-30","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-01-31","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-01","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-02","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-03","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-04","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-05","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-06","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-07","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-08","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-09","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-10","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-11","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-12","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-13","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-14","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-15","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-16","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-17","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-18","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-19","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-20","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-21","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-22","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-23","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-24","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-25","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-26","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-27","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-28","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-02-29","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-03-01","SA","Saudi Arabia","EMRO",0,0,0,0
"2020-03-02","SA","Saudi Arabia","EMRO",5,5,0,0
"2020-03-03","SA","Saudi Arabia","EMRO",0,5,0,0
"2020-03-04","SA","Saudi Arabia","EMRO",1,6,0,0
"2020-03-05","SA","Saudi Arabia","EMRO",3,9,0,0
"2020-03-06","SA","Saudi Arabia","EMRO",0,9,0,0
"2020-03-07","SA","Saudi Arabia","EMRO",2,11,0,0
"2020-03-08","SA","Saudi Arabia","EMRO",4,15,0,0
"2020-03-09","SA","Saudi Arabia","EMRO",4,19,0,0
"2020-03-10","SA","Saudi Arabia","EMRO",5,24,0,0
"2020-03-11","SA","Saudi Arabia","EMRO",1,25,0,0
"2020-03-12","SA","Saudi Arabia","EMRO",0,25,0,0
"2020-03-13","SA","Saudi Arabia","EMRO",0,25,0,0
"2020-03-14","SA","Saudi Arabia","EMRO",82,107,0,0
"2020-03-15","SA","Saudi Arabia","EMRO",0,107,0,0
"2020-03-16","SA","Saudi Arabia","EMRO",30,137,0,0
"2020-03-17","SA","Saudi Arabia","EMRO",38,175,0,0
"2020-03-18","SA","Saudi Arabia","EMRO",67,242,0,0
"2020-03-19","SA","Saudi Arabia","EMRO",0,242,0,0
"2020-03-20","SA","Saudi Arabia","EMRO",32,274,0,0
"2020-03-21","SA","Saudi Arabia","EMRO",118,392,0,0
"2020-03-22","SA","Saudi Arabia","EMRO",119,511,0,0
"2020-03-23","SA","Saudi Arabia","EMRO",51,562,0,0
"2020-03-24","SA","Saudi Arabia","EMRO",205,767,1,1
"2020-03-25","SA","Saudi Arabia","EMRO",133,900,1,2
"2020-03-26","SA","Saudi Arabia","EMRO",112,1012,1,3
"2020-03-27","SA","Saudi Arabia","EMRO",92,1104,0,3
"2020-03-28","SA","Saudi Arabia","EMRO",99,1203,1,4
"2020-03-29","SA","Saudi Arabia","EMRO",96,1299,4,8
"2020-03-30","SA","Saudi Arabia","EMRO",154,1453,0,8
"2020-03-31","SA","Saudi Arabia","EMRO",110,1563,2,10
"2020-04-01","SA","Saudi Arabia","EMRO",157,1720,6,16
"2020-04-02","SA","Saudi Arabia","EMRO",165,1885,5,21
"2020-04-03","SA","Saudi Arabia","EMRO",154,2039,4,25
"2020-04-04","SA","Saudi Arabia","EMRO",140,2179,4,29
"2020-04-05","SA","Saudi Arabia","EMRO",206,2385,5,34
"2020-04-06","SA","Saudi Arabia","EMRO",138,2523,4,38
"2020-04-07","SA","Saudi Arabia","EMRO",272,2795,3,41
"2020-04-08","SA","Saudi Arabia","EMRO",137,2932,0,41
"2020-04-09","SA","Saudi Arabia","EMRO",355,3287,3,44
"2020-04-10","SA","Saudi Arabia","EMRO",364,3651,3,47
"2020-04-11","SA","Saudi Arabia","EMRO",382,4033,5,52
"2020-04-12","SA","Saudi Arabia","EMRO",429,4462,7,59
"2020-04-13","SA","Saudi Arabia","EMRO",472,4934,6,65
"2020-04-14","SA","Saudi Arabia","EMRO",435,5369,8,73
"2020-04-15","SA","Saudi Arabia","EMRO",493,5862,6,79
"2020-04-16","SA","Saudi Arabia","EMRO",518,6380,4,83
"2020-04-17","SA","Saudi Arabia","EMRO",762,7142,4,87
"2020-04-18","SA","Saudi Arabia","EMRO",1132,8274,5,92
"2020-04-19","SA","Saudi Arabia","EMRO",1088,9362,5,97
"2020-04-20","SA","Saudi Arabia","EMRO",1122,10484,6,103
"2020-04-21","SA","Saudi Arabia","EMRO",1147,11631,6,109
"2020-04-22","SA","Saudi Arabia","EMRO",1141,12772,5,114
"2020-04-23","SA","Saudi Arabia","EMRO",1158,13930,7,121
"2020-04-24","SA","Saudi Arabia","EMRO",1172,15102,6,127
"2020-04-25","SA","Saudi Arabia","EMRO",1197,16299,9,136
"2020-04-26","SA","Saudi Arabia","EMRO",1223,17522,3,139
"2020-04-27","SA","Saudi Arabia","EMRO",1289,18811,5,144
"2020-04-28","SA","Saudi Arabia","EMRO",1266,20077,8,152
"2020-04-29","SA","Saudi Arabia","EMRO",1325,21402,5,157
"2020-04-30","SA","Saudi Arabia","EMRO",1351,22753,5,162
"2020-05-01","SA","Saudi Arabia","EMRO",1344,24097,7,169
"2020-05-02","SA","Saudi Arabia","EMRO",1362,25459,7,176
"2020-05-03","SA","Saudi Arabia","EMRO",1552,27011,8,184
"2020-05-04","SA","Saudi Arabia","EMRO",1645,28656,7,191
"2020-05-05","SA","Saudi Arabia","EMRO",1595,30251,9,200
"2020-05-06","SA","Saudi Arabia","EMRO",1687,31938,9,209
"2020-05-07","SA","Saudi Arabia","EMRO",1793,33731,10,219
"2020-05-08","SA","Saudi Arabia","EMRO",1701,35432,10,229
"2020-05-09","SA","Saudi Arabia","EMRO",1704,37136,10,239
"2020-05-10","SA","Saudi Arabia","EMRO",1912,39048,7,246
"2020-05-11","SA","Saudi Arabia","EMRO",1966,41014,9,255
"2020-05-12","SA","Saudi Arabia","EMRO",1911,42925,9,264
"2020-05-13","SA","Saudi Arabia","EMRO",1905,44830,9,273
"2020-05-14","SA","Saudi Arabia","EMRO",2039,46869,10,283
"2020-05-15","SA","Saudi Arabia","EMRO",2307,49176,9,292
"2020-05-16","SA","Saudi Arabia","EMRO",2840,52016,10,302
"2020-05-17","SA","Saudi Arabia","EMRO",2736,54752,10,312
"2020-05-18","SA","Saudi Arabia","EMRO",2593,57345,8,320
"2020-05-19","SA","Saudi Arabia","EMRO",2509,59854,9,329
"2020-05-20","SA","Saudi Arabia","EMRO",2691,62545,10,339
"2020-05-21","SA","Saudi Arabia","EMRO",2532,65077,12,351
"2020-05-22","SA","Saudi Arabia","EMRO",0,65077,0,351
"2020-05-23","SA","Saudi Arabia","EMRO",2642,67719,13,364
"2020-05-24","SA","Saudi Arabia","EMRO",2442,70161,15,379
"2020-05-25","SA","Saudi Arabia","EMRO",2399,72560,11,390
"2020-05-26","SA","Saudi Arabia","EMRO",2235,74795,9,399
"2020-05-27","SA","Saudi Arabia","EMRO",1931,76726,12,411
"2020-05-28","SA","Saudi Arabia","EMRO",1815,78541,14,425
"2020-05-29","SA","Saudi Arabia","EMRO",1644,80185,16,441
"2020-05-30","SA","Saudi Arabia","EMRO",1581,81766,17,458
"2020-05-31","SA","Saudi Arabia","EMRO",1618,83384,22,480
"2020-06-01","SA","Saudi Arabia","EMRO",1877,85261,23,503
