"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SN","Senegal","AFRO",0,0,0,0
"2020-01-04","SN","Senegal","AFRO",0,0,0,0
"2020-01-05","SN","Senegal","AFRO",0,0,0,0
"2020-01-06","SN","Senegal","AFRO",0,0,0,0
"2020-01-07","SN","Senegal","AFRO",0,0,0,0
"2020-01-08","SN","Senegal","AFRO",0,0,0,0
"2020-01-09","SN","Senegal","AFRO",0,0,0,0
"2020-01-10","SN","Senegal","AFRO",0,0,0,0
"2020-01-11","SN","Senegal","AFRO",0,0,0,0
"2020-01-12","SN","Senegal","AFRO",0,0,0,0
"2020-01-13","SN","Senegal","AFRO",0,0,0,0
"2020-01-14","SN","Senegal","AFRO",0,0,0,0
"2020-01-15","SN","Senegal","AFRO",0,0,0,0
"2020-01-16","SN","Senegal","AFRO",0,0,0,0
"2020-01-17","SN","Senegal","AFRO",0,0,0,0
"2020-01-18","SN","Senegal","AFRO",0,0,0,0
"2020-01-19","SN","Senegal","AFRO",0,0,0,0
"2020-01-20","SN","Senegal","AFRO",0,0,0,0
"2020-01-21","SN","Senegal","AFRO",0,0,0,0
"2020-01-22","SN","Senegal","AFRO",0,0,0,0
"2020-01-23","SN","Senegal","AFRO",0,0,0,0
"2020-01-24","SN","Senegal","AFRO",0,0,0,0
"2020-01-25","SN","Senegal","AFRO",0,0,0,0
"2020-01-26","SN","Senegal","AFRO",0,0,0,0
"2020-01-27","SN","Senegal","AFRO",0,0,0,0
"2020-01-28","SN","Senegal","AFRO",0,0,0,0
"2020-01-29","SN","Senegal","AFRO",0,0,0,0
"2020-01-30","SN","Senegal","AFRO",0,0,0,0
"2020-01-31","SN","Senegal","AFRO",0,0,0,0
"2020-02-01","SN","Senegal","AFRO",0,0,0,0
"2020-02-02","SN","Senegal","AFRO",0,0,0,0
"2020-02-03","SN","Senegal","AFRO",0,0,0,0
"2020-02-04","SN","Senegal","AFRO",0,0,0,0
"2020-02-05","SN","Senegal","AFRO",0,0,0,0
"2020-02-06","SN","Senegal","AFRO",0,0,0,0
"2020-02-07","SN","Senegal","AFRO",0,0,0,0
"2020-02-08","SN","Senegal","AFRO",0,0,0,0
"2020-02-09","SN","Senegal","AFRO",0,0,0,0
"2020-02-10","SN","Senegal","AFRO",0,0,0,0
"2020-02-11","SN","Senegal","AFRO",0,0,0,0
"2020-02-12","SN","Senegal","AFRO",0,0,0,0
"2020-02-13","SN","Senegal","AFRO",0,0,0,0
"2020-02-14","SN","Senegal","AFRO",0,0,0,0
"2020-02-15","SN","Senegal","AFRO",0,0,0,0
"2020-02-16","SN","Senegal","AFRO",0,0,0,0
"2020-02-17","SN","Senegal","AFRO",0,0,0,0
"2020-02-18","SN","Senegal","AFRO",0,0,0,0
"2020-02-19","SN","Senegal","AFRO",0,0,0,0
"2020-02-20","SN","Senegal","AFRO",0,0,0,0
"2020-02-21","SN","Senegal","AFRO",0,0,0,0
"2020-02-22","SN","Senegal","AFRO",0,0,0,0
"2020-02-23","SN","Senegal","AFRO",0,0,0,0
"2020-02-24","SN","Senegal","AFRO",0,0,0,0
"2020-02-25","SN","Senegal","AFRO",0,0,0,0
"2020-02-26","SN","Senegal","AFRO",0,0,0,0
"2020-02-27","SN","Senegal","AFRO",0,0,0,0
"2020-02-28","SN","Senegal","AFRO",0,0,0,0
"2020-02-29","SN","Senegal","AFRO",0,0,0,0
"2020-03-01","SN","Senegal","AFRO",0,0,0,0
"2020-03-02","SN","Senegal","AFRO",5,5,0,0
"2020-03-03","SN","Senegal","AFRO",0,5,0,0
"2020-03-04","SN","Senegal","AFRO",3,8,0,0
"2020-03-05","SN","Senegal","AFRO",0,8,0,0
"2020-03-06","SN","Senegal","AFRO",0,8,0,0
"2020-03-07","SN","Senegal","AFRO",0,8,0,0
"2020-03-08","SN","Senegal","AFRO",0,8,0,0
"2020-03-09","SN","Senegal","AFRO",0,8,0,0
"2020-03-10","SN","Senegal","AFRO",0,8,0,0
"2020-03-11","SN","Senegal","AFRO",0,8,0,0
"2020-03-12","SN","Senegal","AFRO",6,14,0,0
"2020-03-13","SN","Senegal","AFRO",0,14,0,0
"2020-03-14","SN","Senegal","AFRO",11,25,0,0
"2020-03-15","SN","Senegal","AFRO",5,30,0,0
"2020-03-16","SN","Senegal","AFRO",0,30,0,0
"2020-03-17","SN","Senegal","AFRO",1,31,0,0
"2020-03-18","SN","Senegal","AFRO",9,40,0,0
"2020-03-19","SN","Senegal","AFRO",2,42,0,0
"2020-03-20","SN","Senegal","AFRO",0,42,0,0
"2020-03-21","SN","Senegal","AFRO",14,56,0,0
"2020-03-22","SN","Senegal","AFRO",0,56,0,0
"2020-03-23","SN","Senegal","AFRO",11,67,0,0
