"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","RS","Serbia","EURO",0,0,0,0
"2020-01-04","RS","Serbia","EURO",0,0,0,0
"2020-01-05","RS","Serbia","EURO",0,0,0,0
"2020-01-06","RS","Serbia","EURO",0,0,0,0
"2020-01-07","RS","Serbia","EURO",0,0,0,0
"2020-01-08","RS","Serbia","EURO",0,0,0,0
"2020-01-09","RS","Serbia","EURO",0,0,0,0
"2020-01-10","RS","Serbia","EURO",0,0,0,0
"2020-01-11","RS","Serbia","EURO",0,0,0,0
"2020-01-12","RS","Serbia","EURO",0,0,0,0
"2020-01-13","RS","Serbia","EURO",0,0,0,0
"2020-01-14","RS","Serbia","EURO",0,0,0,0
"2020-01-15","RS","Serbia","EURO",0,0,0,0
"2020-01-16","RS","Serbia","EURO",0,0,0,0
"2020-01-17","RS","Serbia","EURO",0,0,0,0
"2020-01-18","RS","Serbia","EURO",0,0,0,0
"2020-01-19","RS","Serbia","EURO",0,0,0,0
"2020-01-20","RS","Serbia","EURO",0,0,0,0
"2020-01-21","RS","Serbia","EURO",0,0,0,0
"2020-01-22","RS","Serbia","EURO",0,0,0,0
"2020-01-23","RS","Serbia","EURO",0,0,0,0
"2020-01-24","RS","Serbia","EURO",0,0,0,0
"2020-01-25","RS","Serbia","EURO",0,0,0,0
"2020-01-26","RS","Serbia","EURO",0,0,0,0
"2020-01-27","RS","Serbia","EURO",0,0,0,0
"2020-01-28","RS","Serbia","EURO",0,0,0,0
"2020-01-29","RS","Serbia","EURO",0,0,0,0
"2020-01-30","RS","Serbia","EURO",0,0,0,0
"2020-01-31","RS","Serbia","EURO",0,0,0,0
"2020-02-01","RS","Serbia","EURO",0,0,0,0
"2020-02-02","RS","Serbia","EURO",0,0,0,0
"2020-02-03","RS","Serbia","EURO",0,0,0,0
"2020-02-04","RS","Serbia","EURO",0,0,0,0
"2020-02-05","RS","Serbia","EURO",0,0,0,0
"2020-02-06","RS","Serbia","EURO",0,0,0,0
"2020-02-07","RS","Serbia","EURO",0,0,0,0
"2020-02-08","RS","Serbia","EURO",0,0,0,0
"2020-02-09","RS","Serbia","EURO",0,0,0,0
"2020-02-10","RS","Serbia","EURO",0,0,0,0
"2020-02-11","RS","Serbia","EURO",0,0,0,0
"2020-02-12","RS","Serbia","EURO",0,0,0,0
"2020-02-13","RS","Serbia","EURO",0,0,0,0
"2020-02-14","RS","Serbia","EURO",0,0,0,0
"2020-02-15","RS","Serbia","EURO",0,0,0,0
"2020-02-16","RS","Serbia","EURO",0,0,0,0
"2020-02-17","RS","Serbia","EURO",0,0,0,0
"2020-02-18","RS","Serbia","EURO",0,0,0,0
"2020-02-19","RS","Serbia","EURO",0,0,0,0
"2020-02-20","RS","Serbia","EURO",0,0,0,0
"2020-02-21","RS","Serbia","EURO",0,0,0,0
"2020-02-22","RS","Serbia","EURO",0,0,0,0
"2020-02-23","RS","Serbia","EURO",0,0,0,0
"2020-02-24","RS","Serbia","EURO",0,0,0,0
"2020-02-25","RS","Serbia","EURO",0,0,0,0
"2020-02-26","RS","Serbia","EURO",0,0,0,0
"2020-02-27","RS","Serbia","EURO",0,0,0,0
"2020-02-28","RS","Serbia","EURO",0,0,0,0
"2020-02-29","RS","Serbia","EURO",0,0,0,0
"2020-03-01","RS","Serbia","EURO",0,0,0,0
"2020-03-02","RS","Serbia","EURO",0,0,0,0
"2020-03-03","RS","Serbia","EURO",0,0,0,0
"2020-03-04","RS","Serbia","EURO",0,0,0,0
"2020-03-05","RS","Serbia","EURO",0,0,0,0
"2020-03-06","RS","Serbia","EURO",1,1,0,0
"2020-03-07","RS","Serbia","EURO",0,1,0,0
"2020-03-08","RS","Serbia","EURO",0,1,0,0
"2020-03-09","RS","Serbia","EURO",0,1,0,0
"2020-03-10","RS","Serbia","EURO",1,2,0,0
"2020-03-11","RS","Serbia","EURO",2,4,0,0
"2020-03-12","RS","Serbia","EURO",8,12,0,0
"2020-03-13","RS","Serbia","EURO",0,12,0,0
"2020-03-14","RS","Serbia","EURO",2,14,0,0
"2020-03-15","RS","Serbia","EURO",32,46,0,0
"2020-03-16","RS","Serbia","EURO",0,46,0,0
"2020-03-17","RS","Serbia","EURO",0,46,0,0
"2020-03-18","RS","Serbia","EURO",26,72,0,0
"2020-03-19","RS","Serbia","EURO",22,94,0,0
"2020-03-20","RS","Serbia","EURO",29,123,0,0
"2020-03-21","RS","Serbia","EURO",50,173,1,1
"2020-03-22","RS","Serbia","EURO",46,219,0,1
"2020-03-23","RS","Serbia","EURO",3,222,1,2
"2020-03-24","RS","Serbia","EURO",27,249,0,2
"2020-03-25","RS","Serbia","EURO",135,384,2,4
"2020-03-26","RS","Serbia","EURO",0,384,0,4
"2020-03-27","RS","Serbia","EURO",73,457,3,7
"2020-03-28","RS","Serbia","EURO",71,528,0,7
"2020-03-29","RS","Serbia","EURO",131,659,3,10
"2020-03-30","RS","Serbia","EURO",82,741,3,13
"2020-03-31","RS","Serbia","EURO",44,785,0,13
"2020-04-01","RS","Serbia","EURO",115,900,0,13
"2020-04-02","RS","Serbia","EURO",160,1060,0,13
"2020-04-03","RS","Serbia","EURO",111,1171,0,13
"2020-04-04","RS","Serbia","EURO",305,1476,26,39
"2020-04-05","RS","Serbia","EURO",148,1624,0,39
"2020-04-06","RS","Serbia","EURO",284,1908,12,51
"2020-04-07","RS","Serbia","EURO",292,2200,7,58
"2020-04-08","RS","Serbia","EURO",247,2447,3,61
"2020-04-09","RS","Serbia","EURO",219,2666,4,65
"2020-04-10","RS","Serbia","EURO",201,2867,0,65
"2020-04-11","RS","Serbia","EURO",238,3105,6,71
"2020-04-12","RS","Serbia","EURO",275,3380,3,74
"2020-04-13","RS","Serbia","EURO",250,3630,6,80
"2020-04-14","RS","Serbia","EURO",424,4054,5,85
"2020-04-15","RS","Serbia","EURO",411,4465,9,94
"2020-04-16","RS","Serbia","EURO",408,4873,5,99
"2020-04-17","RS","Serbia","EURO",445,5318,4,103
"2020-04-18","RS","Serbia","EURO",372,5690,7,110
"2020-04-19","RS","Serbia","EURO",304,5994,7,117
"2020-04-20","RS","Serbia","EURO",324,6318,5,122
"2020-04-21","RS","Serbia","EURO",312,6630,3,125
"2020-04-22","RS","Serbia","EURO",260,6890,5,130
"2020-04-23","RS","Serbia","EURO",224,7114,4,134
"2020-04-24","RS","Serbia","EURO",162,7276,5,139
"2020-04-25","RS","Serbia","EURO",207,7483,5,144
"2020-04-26","RS","Serbia","EURO",296,7779,7,151
"2020-04-27","RS","Serbia","EURO",263,8042,5,156
"2020-04-28","RS","Serbia","EURO",233,8275,6,162
"2020-04-29","RS","Serbia","EURO",222,8497,6,168
"2020-04-30","RS","Serbia","EURO",227,8724,5,173
"2020-05-01","RS","Serbia","EURO",285,9009,6,179
"2020-05-02","RS","Serbia","EURO",196,9205,6,185
"2020-05-03","RS","Serbia","EURO",157,9362,4,189
"2020-05-04","RS","Serbia","EURO",102,9464,4,193
"2020-05-05","RS","Serbia","EURO",93,9557,4,197
"2020-05-06","RS","Serbia","EURO",120,9677,3,200
"2020-05-07","RS","Serbia","EURO",114,9791,3,203
"2020-05-08","RS","Serbia","EURO",57,9848,3,206
"2020-05-09","RS","Serbia","EURO",95,9943,3,209
"2020-05-10","RS","Serbia","EURO",89,10032,4,213
"2020-05-11","RS","Serbia","EURO",82,10114,2,215
"2020-05-12","RS","Serbia","EURO",62,10176,3,218
"2020-05-13","RS","Serbia","EURO",67,10243,2,220
"2020-05-14","RS","Serbia","EURO",52,10295,2,222
"2020-05-15","RS","Serbia","EURO",79,10374,2,224
"2020-05-16","RS","Serbia","EURO",64,10438,1,225
"2020-05-17","RS","Serbia","EURO",58,10496,3,228
"2020-05-18","RS","Serbia","EURO",114,10610,2,230
"2020-05-19","RS","Serbia","EURO",89,10699,1,231
"2020-05-20","RS","Serbia","EURO",34,10733,3,234
"2020-05-21","RS","Serbia","EURO",100,10833,1,235
"2020-05-22","RS","Serbia","EURO",86,10919,2,237
"2020-05-23","RS","Serbia","EURO",105,11024,0,237
"2020-05-24","RS","Serbia","EURO",68,11092,1,238
"2020-05-25","RS","Serbia","EURO",67,11159,0,238
"2020-05-26","RS","Serbia","EURO",34,11193,1,239
"2020-05-27","RS","Serbia","EURO",34,11227,0,239
"2020-05-28","RS","Serbia","EURO",48,11275,1,240
"2020-05-29","RS","Serbia","EURO",25,11300,1,241
"2020-05-30","RS","Serbia","EURO",54,11354,1,242
"2020-05-31","RS","Serbia","EURO",27,11381,0,242
"2020-06-01","RS","Serbia","EURO",31,11412,1,243
"2020-06-02","RS","Serbia","EURO",18,11430,1,244
"2020-06-03","RS","Serbia","EURO",24,11454,1,245
"2020-06-04","RS","Serbia","EURO",69,11523,0,245
"2020-06-05","RS","Serbia","EURO",48,11571,1,246
"2020-06-06","RS","Serbia","EURO",96,11667,1,247
"2020-06-07","RS","Serbia","EURO",74,11741,1,248
"2020-06-08","RS","Serbia","EURO",82,11823,1,249
"2020-06-09","RS","Serbia","EURO",73,11896,1,250
"2020-06-10","RS","Serbia","EURO",69,11965,0,250
"2020-06-11","RS","Serbia","EURO",66,12031,1,251
"2020-06-12","RS","Serbia","EURO",71,12102,1,252
"2020-06-13","RS","Serbia","EURO",73,12175,0,252
"2020-06-14","RS","Serbia","EURO",76,12251,1,253
"2020-06-15","RS","Serbia","EURO",59,12310,1,254
"2020-06-16","RS","Serbia","EURO",57,12367,1,255
"2020-06-17","RS","Serbia","EURO",59,12426,1,256
"2020-06-18","RS","Serbia","EURO",96,12522,1,257
"2020-06-19","RS","Serbia","EURO",94,12616,1,258
"2020-06-20","RS","Serbia","EURO",93,12709,1,259
"2020-06-21","RS","Serbia","EURO",94,12803,1,260
"2020-06-22","RS","Serbia","EURO",91,12894,1,261
"2020-06-23","RS","Serbia","EURO",96,12990,1,262
"2020-06-24","RS","Serbia","EURO",102,13092,1,263
"2020-06-25","RS","Serbia","EURO",143,13235,0,263
"2020-06-26","RS","Serbia","EURO",137,13372,1,264
"2020-06-27","RS","Serbia","EURO",193,13565,1,265
"2020-06-28","RS","Serbia","EURO",227,13792,2,267
"2020-06-29","RS","Serbia","EURO",254,14046,3,270
"2020-06-30","RS","Serbia","EURO",242,14288,4,274
"2020-07-01","RS","Serbia","EURO",276,14564,3,277
"2020-07-02","RS","Serbia","EURO",272,14836,4,281
"2020-07-03","RS","Serbia","EURO",359,15195,6,287
"2020-07-04","RS","Serbia","EURO",309,15504,11,298
"2020-07-05","RS","Serbia","EURO",325,15829,8,306
"2020-07-06","RS","Serbia","EURO",302,16131,5,311
"2020-07-07","RS","Serbia","EURO",289,16420,6,317
"2020-07-08","RS","Serbia","EURO",299,16719,13,330
"2020-07-09","RS","Serbia","EURO",357,17076,11,341
"2020-07-10","RS","Serbia","EURO",266,17342,11,352
"2020-07-11","RS","Serbia","EURO",386,17728,18,370
"2020-07-12","RS","Serbia","EURO",345,18073,12,382
"2020-07-13","RS","Serbia","EURO",287,18360,11,393
"2020-07-14","RS","Serbia","EURO",279,18639,12,405
"2020-07-15","RS","Serbia","EURO",344,18983,13,418
"2020-07-16","RS","Serbia","EURO",351,19334,11,429
"2020-07-17","RS","Serbia","EURO",383,19717,13,442
"2020-07-18","RS","Serbia","EURO",392,20109,10,452
"2020-07-19","RS","Serbia","EURO",389,20498,9,461
"2020-07-20","RS","Serbia","EURO",396,20894,11,472
"2020-07-21","RS","Serbia","EURO",359,21253,10,482
"2020-07-22","RS","Serbia","EURO",352,21605,9,491
"2020-07-23","RS","Serbia","EURO",426,22031,8,499
"2020-07-24","RS","Serbia","EURO",412,22443,9,508
"2020-07-25","RS","Serbia","EURO",409,22852,10,518
"2020-07-26","RS","Serbia","EURO",411,23263,8,526
"2020-07-27","RS","Serbia","EURO",467,23730,8,534
"2020-07-28","RS","Serbia","EURO",411,24141,9,543
"2020-07-29","RS","Serbia","EURO",379,24520,8,551
"2020-07-30","RS","Serbia","EURO",372,24892,7,558
"2020-07-31","RS","Serbia","EURO",321,25213,7,565
"2020-08-01","RS","Serbia","EURO",339,25552,8,573
"2020-08-02","RS","Serbia","EURO",330,25882,9,582
"2020-08-03","RS","Serbia","EURO",311,26193,8,590
"2020-08-04","RS","Serbia","EURO",258,26451,8,598
"2020-08-05","RS","Serbia","EURO",287,26738,7,605
"2020-08-06","RS","Serbia","EURO",295,27033,9,614
"2020-08-07","RS","Serbia","EURO",299,27332,7,621
"2020-08-08","RS","Serbia","EURO",276,27608,5,626
"2020-08-09","RS","Serbia","EURO",255,27863,6,632
"2020-08-10","RS","Serbia","EURO",236,28099,9,641
"2020-08-11","RS","Serbia","EURO",163,28262,5,646
"2020-08-12","RS","Serbia","EURO",235,28497,6,652
"2020-08-13","RS","Serbia","EURO",254,28751,6,658
"2020-08-14","RS","Serbia","EURO",247,28998,3,661
"2020-08-15","RS","Serbia","EURO",235,29233,4,665
"2020-08-16","RS","Serbia","EURO",238,29471,5,670
"2020-08-17","RS","Serbia","EURO",211,29682,4,674
"2020-08-18","RS","Serbia","EURO",100,29782,3,677
"2020-08-19","RS","Serbia","EURO",108,29890,4,681
"2020-08-20","RS","Serbia","EURO",158,30048,3,684
"2020-08-21","RS","Serbia","EURO",161,30209,5,689
"2020-08-22","RS","Serbia","EURO",169,30378,3,692
"2020-08-23","RS","Serbia","EURO",170,30548,3,695
"2020-08-24","RS","Serbia","EURO",109,30657,3,698
"2020-08-25","RS","Serbia","EURO",57,30714,3,701
"2020-08-26","RS","Serbia","EURO",106,30820,4,705
"2020-08-27","RS","Serbia","EURO",154,30974,2,707
"2020-08-28","RS","Serbia","EURO",125,31099,0,707
"2020-08-29","RS","Serbia","EURO",108,31207,2,709
"2020-08-30","RS","Serbia","EURO",75,31282,1,710
"2020-08-31","RS","Serbia","EURO",83,31365,1,711
"2020-09-01","RS","Serbia","EURO",41,31406,2,713
"2020-09-02","RS","Serbia","EURO",76,31482,2,715
"2020-09-03","RS","Serbia","EURO",99,31581,1,716
"2020-09-04","RS","Serbia","EURO",95,31676,2,718
"2020-09-05","RS","Serbia","EURO",96,31772,3,721
"2020-09-06","RS","Serbia","EURO",77,31849,2,723
"2020-09-07","RS","Serbia","EURO",56,31905,1,724
"2020-09-08","RS","Serbia","EURO",36,31941,1,725
"2020-09-09","RS","Serbia","EURO",53,31994,2,727
"2020-09-10","RS","Serbia","EURO",84,32078,1,728
"2020-09-11","RS","Serbia","EURO",58,32136,1,729
"2020-09-12","RS","Serbia","EURO",92,32228,1,730
"2020-09-13","RS","Serbia","EURO",72,32300,1,731
"2020-09-14","RS","Serbia","EURO",108,32408,2,733
"2020-09-15","RS","Serbia","EURO",29,32437,0,733
"2020-09-16","RS","Serbia","EURO",74,32511,2,735
"2020-09-17","RS","Serbia","EURO",102,32613,1,736
"2020-09-18","RS","Serbia","EURO",82,32695,2,738
"2020-09-19","RS","Serbia","EURO",62,32757,1,739
"2020-09-20","RS","Serbia","EURO",83,32840,1,740
"2020-09-21","RS","Serbia","EURO",68,32908,1,741
"2020-09-22","RS","Serbia","EURO",30,32938,2,743
"2020-09-23","RS","Serbia","EURO",61,32999,0,743
"2020-09-24","RS","Serbia","EURO",81,33080,1,744
"2020-09-25","RS","Serbia","EURO",83,33163,1,745
"2020-09-26","RS","Serbia","EURO",75,33238,1,746
"2020-09-27","RS","Serbia","EURO",74,33312,0,746
"2020-09-28","RS","Serbia","EURO",72,33384,1,747
"2020-09-29","RS","Serbia","EURO",30,33414,1,748
"2020-09-30","RS","Serbia","EURO",65,33479,1,749
"2020-10-01","RS","Serbia","EURO",72,33551,0,749
"2020-10-02","RS","Serbia","EURO",111,33662,1,750
"2020-10-03","RS","Serbia","EURO",73,33735,1,751
"2020-10-04","RS","Serbia","EURO",107,33842,2,753
"2020-10-05","RS","Serbia","EURO",59,33901,1,754
"2020-10-06","RS","Serbia","EURO",51,33952,2,756
"2020-10-07","RS","Serbia","EURO",120,34072,1,757
"2020-10-08","RS","Serbia","EURO",121,34193,1,758
"2020-10-09","RS","Serbia","EURO",151,34344,2,760
"2020-10-10","RS","Serbia","EURO",173,34517,1,761
"2020-10-11","RS","Serbia","EURO",168,34685,1,762
"2020-10-12","RS","Serbia","EURO",102,34787,1,763
"2020-10-13","RS","Serbia","EURO",67,34854,2,765
"2020-10-14","RS","Serbia","EURO",152,35006,2,767
"2020-10-15","RS","Serbia","EURO",245,35251,1,768
"2020-10-16","RS","Serbia","EURO",203,35454,2,770
"2020-10-17","RS","Serbia","EURO",265,35719,2,772
"2020-10-18","RS","Serbia","EURO",227,35946,2,774
"2020-10-19","RS","Serbia","EURO",214,36160,2,776
"2020-10-20","RS","Serbia","EURO",122,36282,2,778
"2020-10-21","RS","Serbia","EURO",326,36608,2,780
"2020-10-22","RS","Serbia","EURO",512,37120,1,781
"2020-10-23","RS","Serbia","EURO",416,37536,2,783
"2020-10-24","RS","Serbia","EURO",579,38115,3,786
"2020-10-25","RS","Serbia","EURO",757,38872,3,789
"2020-10-26","RS","Serbia","EURO",614,39486,3,792
"2020-10-27","RS","Serbia","EURO",341,39827,1,793
"2020-10-28","RS","Serbia","EURO",1053,40880,5,798
"2020-10-29","RS","Serbia","EURO",1328,42208,5,803
"2020-10-30","RS","Serbia","EURO",1384,43592,6,809
