"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SC","Seychelles","AFRO",0,0,0,0
"2020-01-04","SC","Seychelles","AFRO",0,0,0,0
"2020-01-05","SC","Seychelles","AFRO",0,0,0,0
"2020-01-06","SC","Seychelles","AFRO",0,0,0,0
"2020-01-07","SC","Seychelles","AFRO",0,0,0,0
"2020-01-08","SC","Seychelles","AFRO",0,0,0,0
"2020-01-09","SC","Seychelles","AFRO",0,0,0,0
"2020-01-10","SC","Seychelles","AFRO",0,0,0,0
"2020-01-11","SC","Seychelles","AFRO",0,0,0,0
"2020-01-12","SC","Seychelles","AFRO",0,0,0,0
"2020-01-13","SC","Seychelles","AFRO",0,0,0,0
"2020-01-14","SC","Seychelles","AFRO",0,0,0,0
"2020-01-15","SC","Seychelles","AFRO",0,0,0,0
"2020-01-16","SC","Seychelles","AFRO",0,0,0,0
"2020-01-17","SC","Seychelles","AFRO",0,0,0,0
"2020-01-18","SC","Seychelles","AFRO",0,0,0,0
"2020-01-19","SC","Seychelles","AFRO",0,0,0,0
"2020-01-20","SC","Seychelles","AFRO",0,0,0,0
"2020-01-21","SC","Seychelles","AFRO",0,0,0,0
"2020-01-22","SC","Seychelles","AFRO",0,0,0,0
"2020-01-23","SC","Seychelles","AFRO",0,0,0,0
"2020-01-24","SC","Seychelles","AFRO",0,0,0,0
"2020-01-25","SC","Seychelles","AFRO",0,0,0,0
"2020-01-26","SC","Seychelles","AFRO",0,0,0,0
"2020-01-27","SC","Seychelles","AFRO",0,0,0,0
"2020-01-28","SC","Seychelles","AFRO",0,0,0,0
"2020-01-29","SC","Seychelles","AFRO",0,0,0,0
"2020-01-30","SC","Seychelles","AFRO",0,0,0,0
"2020-01-31","SC","Seychelles","AFRO",0,0,0,0
"2020-02-01","SC","Seychelles","AFRO",0,0,0,0
"2020-02-02","SC","Seychelles","AFRO",0,0,0,0
"2020-02-03","SC","Seychelles","AFRO",0,0,0,0
"2020-02-04","SC","Seychelles","AFRO",0,0,0,0
"2020-02-05","SC","Seychelles","AFRO",0,0,0,0
"2020-02-06","SC","Seychelles","AFRO",0,0,0,0
"2020-02-07","SC","Seychelles","AFRO",0,0,0,0
"2020-02-08","SC","Seychelles","AFRO",0,0,0,0
"2020-02-09","SC","Seychelles","AFRO",0,0,0,0
"2020-02-10","SC","Seychelles","AFRO",0,0,0,0
"2020-02-11","SC","Seychelles","AFRO",0,0,0,0
"2020-02-12","SC","Seychelles","AFRO",0,0,0,0
"2020-02-13","SC","Seychelles","AFRO",0,0,0,0
"2020-02-14","SC","Seychelles","AFRO",0,0,0,0
"2020-02-15","SC","Seychelles","AFRO",0,0,0,0
"2020-02-16","SC","Seychelles","AFRO",0,0,0,0
"2020-02-17","SC","Seychelles","AFRO",0,0,0,0
"2020-02-18","SC","Seychelles","AFRO",0,0,0,0
"2020-02-19","SC","Seychelles","AFRO",0,0,0,0
"2020-02-20","SC","Seychelles","AFRO",0,0,0,0
"2020-02-21","SC","Seychelles","AFRO",0,0,0,0
"2020-02-22","SC","Seychelles","AFRO",0,0,0,0
"2020-02-23","SC","Seychelles","AFRO",0,0,0,0
"2020-02-24","SC","Seychelles","AFRO",0,0,0,0
"2020-02-25","SC","Seychelles","AFRO",0,0,0,0
"2020-02-26","SC","Seychelles","AFRO",0,0,0,0
"2020-02-27","SC","Seychelles","AFRO",0,0,0,0
"2020-02-28","SC","Seychelles","AFRO",0,0,0,0
"2020-02-29","SC","Seychelles","AFRO",0,0,0,0
"2020-03-01","SC","Seychelles","AFRO",0,0,0,0
"2020-03-02","SC","Seychelles","AFRO",0,0,0,0
"2020-03-03","SC","Seychelles","AFRO",0,0,0,0
"2020-03-04","SC","Seychelles","AFRO",0,0,0,0
"2020-03-05","SC","Seychelles","AFRO",0,0,0,0
"2020-03-06","SC","Seychelles","AFRO",0,0,0,0
"2020-03-07","SC","Seychelles","AFRO",0,0,0,0
"2020-03-08","SC","Seychelles","AFRO",0,0,0,0
"2020-03-09","SC","Seychelles","AFRO",0,0,0,0
"2020-03-10","SC","Seychelles","AFRO",0,0,0,0
"2020-03-11","SC","Seychelles","AFRO",0,0,0,0
"2020-03-12","SC","Seychelles","AFRO",0,0,0,0
"2020-03-13","SC","Seychelles","AFRO",0,0,0,0
"2020-03-14","SC","Seychelles","AFRO",0,0,0,0
"2020-03-15","SC","Seychelles","AFRO",6,6,0,0
"2020-03-16","SC","Seychelles","AFRO",2,8,0,0
"2020-03-17","SC","Seychelles","AFRO",0,8,0,0
"2020-03-18","SC","Seychelles","AFRO",2,10,0,0
"2020-03-19","SC","Seychelles","AFRO",0,10,0,0
"2020-03-20","SC","Seychelles","AFRO",0,10,0,0
"2020-03-21","SC","Seychelles","AFRO",-3,7,0,0
"2020-03-22","SC","Seychelles","AFRO",0,7,0,0
"2020-03-23","SC","Seychelles","AFRO",0,7,0,0
"2020-03-24","SC","Seychelles","AFRO",0,7,0,0
"2020-03-25","SC","Seychelles","AFRO",0,7,0,0
"2020-03-26","SC","Seychelles","AFRO",0,7,0,0
"2020-03-27","SC","Seychelles","AFRO",0,7,0,0
"2020-03-28","SC","Seychelles","AFRO",0,7,0,0
"2020-03-29","SC","Seychelles","AFRO",1,8,0,0
"2020-03-30","SC","Seychelles","AFRO",0,8,0,0
"2020-03-31","SC","Seychelles","AFRO",0,8,0,0
"2020-04-01","SC","Seychelles","AFRO",0,8,0,0
"2020-04-02","SC","Seychelles","AFRO",2,10,0,0
"2020-04-03","SC","Seychelles","AFRO",0,10,0,0
"2020-04-04","SC","Seychelles","AFRO",0,10,0,0
"2020-04-05","SC","Seychelles","AFRO",0,10,0,0
"2020-04-06","SC","Seychelles","AFRO",0,10,0,0
"2020-04-07","SC","Seychelles","AFRO",1,11,0,0
"2020-04-08","SC","Seychelles","AFRO",0,11,0,0
"2020-04-09","SC","Seychelles","AFRO",0,11,0,0
"2020-04-10","SC","Seychelles","AFRO",0,11,0,0
"2020-04-11","SC","Seychelles","AFRO",0,11,0,0
"2020-04-12","SC","Seychelles","AFRO",0,11,0,0
"2020-04-13","SC","Seychelles","AFRO",0,11,0,0
"2020-04-14","SC","Seychelles","AFRO",0,11,0,0
"2020-04-15","SC","Seychelles","AFRO",0,11,0,0
"2020-04-16","SC","Seychelles","AFRO",0,11,0,0
"2020-04-17","SC","Seychelles","AFRO",0,11,0,0
"2020-04-18","SC","Seychelles","AFRO",0,11,0,0
"2020-04-19","SC","Seychelles","AFRO",0,11,0,0
"2020-04-20","SC","Seychelles","AFRO",0,11,0,0
"2020-04-21","SC","Seychelles","AFRO",0,11,0,0
"2020-04-22","SC","Seychelles","AFRO",0,11,0,0
"2020-04-23","SC","Seychelles","AFRO",0,11,0,0
"2020-04-24","SC","Seychelles","AFRO",0,11,0,0
"2020-04-25","SC","Seychelles","AFRO",0,11,0,0
"2020-04-26","SC","Seychelles","AFRO",0,11,0,0
"2020-04-27","SC","Seychelles","AFRO",0,11,0,0
"2020-04-28","SC","Seychelles","AFRO",0,11,0,0
"2020-04-29","SC","Seychelles","AFRO",0,11,0,0
"2020-04-30","SC","Seychelles","AFRO",0,11,0,0
"2020-05-01","SC","Seychelles","AFRO",0,11,0,0
"2020-05-02","SC","Seychelles","AFRO",0,11,0,0
"2020-05-03","SC","Seychelles","AFRO",0,11,0,0
"2020-05-04","SC","Seychelles","AFRO",0,11,0,0
"2020-05-05","SC","Seychelles","AFRO",0,11,0,0
"2020-05-06","SC","Seychelles","AFRO",0,11,0,0
"2020-05-07","SC","Seychelles","AFRO",0,11,0,0
"2020-05-08","SC","Seychelles","AFRO",0,11,0,0
"2020-05-09","SC","Seychelles","AFRO",0,11,0,0
"2020-05-10","SC","Seychelles","AFRO",0,11,0,0
"2020-05-11","SC","Seychelles","AFRO",0,11,0,0
"2020-05-12","SC","Seychelles","AFRO",0,11,0,0
"2020-05-13","SC","Seychelles","AFRO",0,11,0,0
"2020-05-14","SC","Seychelles","AFRO",0,11,0,0
"2020-05-15","SC","Seychelles","AFRO",0,11,0,0
"2020-05-16","SC","Seychelles","AFRO",0,11,0,0
"2020-05-17","SC","Seychelles","AFRO",0,11,0,0
"2020-05-18","SC","Seychelles","AFRO",0,11,0,0
"2020-05-19","SC","Seychelles","AFRO",0,11,0,0
"2020-05-20","SC","Seychelles","AFRO",0,11,0,0
"2020-05-21","SC","Seychelles","AFRO",0,11,0,0
"2020-05-22","SC","Seychelles","AFRO",0,11,0,0
"2020-05-23","SC","Seychelles","AFRO",0,11,0,0
"2020-05-24","SC","Seychelles","AFRO",0,11,0,0
"2020-05-25","SC","Seychelles","AFRO",0,11,0,0
"2020-05-26","SC","Seychelles","AFRO",0,11,0,0
"2020-05-27","SC","Seychelles","AFRO",0,11,0,0
"2020-05-28","SC","Seychelles","AFRO",0,11,0,0
"2020-05-29","SC","Seychelles","AFRO",0,11,0,0
"2020-05-30","SC","Seychelles","AFRO",0,11,0,0
