"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-04","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-05","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-06","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-07","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-08","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-09","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-10","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-11","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-12","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-13","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-14","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-15","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-16","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-17","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-18","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-19","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-20","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-21","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-22","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-23","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-24","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-25","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-26","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-27","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-28","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-29","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-30","SL","Sierra Leone","AFRO",0,0,0,0
"2020-01-31","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-01","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-02","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-03","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-04","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-05","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-06","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-07","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-08","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-09","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-10","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-11","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-12","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-13","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-14","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-15","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-16","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-17","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-18","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-19","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-20","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-21","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-22","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-23","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-24","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-25","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-26","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-27","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-28","SL","Sierra Leone","AFRO",0,0,0,0
"2020-02-29","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-01","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-02","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-03","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-04","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-05","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-06","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-07","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-08","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-09","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-10","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-11","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-12","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-13","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-14","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-15","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-16","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-17","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-18","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-19","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-20","SL","Sierra Leone","AFRO",0,0,0,0
"2020-03-21","SL","Sierra Leone","AFRO",0,0,0,0
