"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SG","Singapore","WPRO",0,0,0,0
"2020-01-04","SG","Singapore","WPRO",0,0,0,0
"2020-01-05","SG","Singapore","WPRO",0,0,0,0
"2020-01-06","SG","Singapore","WPRO",0,0,0,0
"2020-01-07","SG","Singapore","WPRO",0,0,0,0
"2020-01-08","SG","Singapore","WPRO",0,0,0,0
"2020-01-09","SG","Singapore","WPRO",0,0,0,0
"2020-01-10","SG","Singapore","WPRO",0,0,0,0
"2020-01-11","SG","Singapore","WPRO",0,0,0,0
"2020-01-12","SG","Singapore","WPRO",0,0,0,0
"2020-01-13","SG","Singapore","WPRO",0,0,0,0
"2020-01-14","SG","Singapore","WPRO",0,0,0,0
"2020-01-15","SG","Singapore","WPRO",0,0,0,0
"2020-01-16","SG","Singapore","WPRO",0,0,0,0
"2020-01-17","SG","Singapore","WPRO",0,0,0,0
"2020-01-18","SG","Singapore","WPRO",0,0,0,0
"2020-01-19","SG","Singapore","WPRO",0,0,0,0
"2020-01-20","SG","Singapore","WPRO",0,0,0,0
"2020-01-21","SG","Singapore","WPRO",0,0,0,0
"2020-01-22","SG","Singapore","WPRO",0,0,0,0
"2020-01-23","SG","Singapore","WPRO",5,5,0,0
"2020-01-24","SG","Singapore","WPRO",2,7,0,0
"2020-01-25","SG","Singapore","WPRO",0,7,0,0
"2020-01-26","SG","Singapore","WPRO",1,8,0,0
"2020-01-27","SG","Singapore","WPRO",1,9,0,0
"2020-01-28","SG","Singapore","WPRO",2,11,0,0
"2020-01-29","SG","Singapore","WPRO",3,14,0,0
"2020-01-30","SG","Singapore","WPRO",3,17,0,0
"2020-01-31","SG","Singapore","WPRO",3,20,0,0
"2020-02-01","SG","Singapore","WPRO",2,22,0,0
"2020-02-02","SG","Singapore","WPRO",0,22,0,0
"2020-02-03","SG","Singapore","WPRO",0,22,0,0
"2020-02-04","SG","Singapore","WPRO",6,28,0,0
"2020-02-05","SG","Singapore","WPRO",4,32,0,0
"2020-02-06","SG","Singapore","WPRO",2,34,0,0
"2020-02-07","SG","Singapore","WPRO",3,37,0,0
"2020-02-08","SG","Singapore","WPRO",7,44,0,0
"2020-02-09","SG","Singapore","WPRO",3,47,0,0
"2020-02-10","SG","Singapore","WPRO",2,49,0,0
