"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-04","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-05","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-06","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-07","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-08","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-09","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-10","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-11","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-12","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-13","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-14","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-15","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-16","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-17","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-18","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-19","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-20","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-21","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-22","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-23","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-24","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-25","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-26","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-27","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-28","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-29","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-30","SX","Sint Maarten","AMRO",0,0,0,0
"2020-01-31","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-01","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-02","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-03","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-04","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-05","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-06","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-07","SX","Sint Maarten","AMRO",0,0,0,0
"2020-02-08","SX","Sint Maarten","AMRO",0,0,0,0
