"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SK","Slovakia","EURO",0,0,0,0
"2020-01-04","SK","Slovakia","EURO",0,0,0,0
"2020-01-05","SK","Slovakia","EURO",0,0,0,0
"2020-01-06","SK","Slovakia","EURO",0,0,0,0
"2020-01-07","SK","Slovakia","EURO",0,0,0,0
"2020-01-08","SK","Slovakia","EURO",0,0,0,0
"2020-01-09","SK","Slovakia","EURO",0,0,0,0
"2020-01-10","SK","Slovakia","EURO",0,0,0,0
"2020-01-11","SK","Slovakia","EURO",0,0,0,0
"2020-01-12","SK","Slovakia","EURO",0,0,0,0
"2020-01-13","SK","Slovakia","EURO",0,0,0,0
"2020-01-14","SK","Slovakia","EURO",0,0,0,0
"2020-01-15","SK","Slovakia","EURO",0,0,0,0
"2020-01-16","SK","Slovakia","EURO",0,0,0,0
"2020-01-17","SK","Slovakia","EURO",0,0,0,0
"2020-01-18","SK","Slovakia","EURO",0,0,0,0
"2020-01-19","SK","Slovakia","EURO",0,0,0,0
"2020-01-20","SK","Slovakia","EURO",0,0,0,0
"2020-01-21","SK","Slovakia","EURO",0,0,0,0
"2020-01-22","SK","Slovakia","EURO",0,0,0,0
"2020-01-23","SK","Slovakia","EURO",0,0,0,0
"2020-01-24","SK","Slovakia","EURO",0,0,0,0
"2020-01-25","SK","Slovakia","EURO",0,0,0,0
"2020-01-26","SK","Slovakia","EURO",0,0,0,0
"2020-01-27","SK","Slovakia","EURO",0,0,0,0
"2020-01-28","SK","Slovakia","EURO",0,0,0,0
"2020-01-29","SK","Slovakia","EURO",0,0,0,0
"2020-01-30","SK","Slovakia","EURO",0,0,0,0
"2020-01-31","SK","Slovakia","EURO",0,0,0,0
"2020-02-01","SK","Slovakia","EURO",0,0,0,0
"2020-02-02","SK","Slovakia","EURO",0,0,0,0
"2020-02-03","SK","Slovakia","EURO",0,0,0,0
"2020-02-04","SK","Slovakia","EURO",0,0,0,0
"2020-02-05","SK","Slovakia","EURO",0,0,0,0
"2020-02-06","SK","Slovakia","EURO",0,0,0,0
"2020-02-07","SK","Slovakia","EURO",0,0,0,0
"2020-02-08","SK","Slovakia","EURO",0,0,0,0
"2020-02-09","SK","Slovakia","EURO",0,0,0,0
"2020-02-10","SK","Slovakia","EURO",0,0,0,0
"2020-02-11","SK","Slovakia","EURO",0,0,0,0
"2020-02-12","SK","Slovakia","EURO",0,0,0,0
"2020-02-13","SK","Slovakia","EURO",0,0,0,0
"2020-02-14","SK","Slovakia","EURO",0,0,0,0
"2020-02-15","SK","Slovakia","EURO",0,0,0,0
"2020-02-16","SK","Slovakia","EURO",0,0,0,0
"2020-02-17","SK","Slovakia","EURO",0,0,0,0
"2020-02-18","SK","Slovakia","EURO",0,0,0,0
"2020-02-19","SK","Slovakia","EURO",0,0,0,0
"2020-02-20","SK","Slovakia","EURO",0,0,0,0
"2020-02-21","SK","Slovakia","EURO",0,0,0,0
"2020-02-22","SK","Slovakia","EURO",0,0,0,0
"2020-02-23","SK","Slovakia","EURO",0,0,0,0
"2020-02-24","SK","Slovakia","EURO",0,0,0,0
"2020-02-25","SK","Slovakia","EURO",0,0,0,0
"2020-02-26","SK","Slovakia","EURO",0,0,0,0
"2020-02-27","SK","Slovakia","EURO",0,0,0,0
"2020-02-28","SK","Slovakia","EURO",0,0,0,0
"2020-02-29","SK","Slovakia","EURO",0,0,0,0
"2020-03-01","SK","Slovakia","EURO",0,0,0,0
"2020-03-02","SK","Slovakia","EURO",0,0,0,0
"2020-03-03","SK","Slovakia","EURO",0,0,0,0
"2020-03-04","SK","Slovakia","EURO",0,0,0,0
"2020-03-05","SK","Slovakia","EURO",0,0,0,0
"2020-03-06","SK","Slovakia","EURO",1,1,0,0
"2020-03-07","SK","Slovakia","EURO",0,1,0,0
"2020-03-08","SK","Slovakia","EURO",2,3,0,0
"2020-03-09","SK","Slovakia","EURO",2,5,0,0
"2020-03-10","SK","Slovakia","EURO",0,5,0,0
"2020-03-11","SK","Slovakia","EURO",2,7,0,0
"2020-03-12","SK","Slovakia","EURO",3,10,0,0
"2020-03-13","SK","Slovakia","EURO",11,21,0,0
"2020-03-14","SK","Slovakia","EURO",9,30,0,0
"2020-03-15","SK","Slovakia","EURO",14,44,0,0
"2020-03-16","SK","Slovakia","EURO",17,61,0,0
"2020-03-17","SK","Slovakia","EURO",23,84,0,0
"2020-03-18","SK","Slovakia","EURO",13,97,0,0
"2020-03-19","SK","Slovakia","EURO",10,107,0,0
"2020-03-20","SK","Slovakia","EURO",16,123,0,0
"2020-03-21","SK","Slovakia","EURO",14,137,0,0
"2020-03-22","SK","Slovakia","EURO",41,178,0,0
"2020-03-23","SK","Slovakia","EURO",7,185,0,0
"2020-03-24","SK","Slovakia","EURO",6,191,0,0
"2020-03-25","SK","Slovakia","EURO",13,204,0,0
"2020-03-26","SK","Slovakia","EURO",12,216,0,0
"2020-03-27","SK","Slovakia","EURO",10,226,0,0
"2020-03-28","SK","Slovakia","EURO",69,295,0,0
"2020-03-29","SK","Slovakia","EURO",0,295,0,0
"2020-03-30","SK","Slovakia","EURO",41,336,0,0
"2020-03-31","SK","Slovakia","EURO",0,336,0,0
"2020-04-01","SK","Slovakia","EURO",27,363,0,0
