"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SI","Slovenia","EURO",0,0,0,0
"2020-01-04","SI","Slovenia","EURO",0,0,0,0
"2020-01-05","SI","Slovenia","EURO",0,0,0,0
"2020-01-06","SI","Slovenia","EURO",0,0,0,0
"2020-01-07","SI","Slovenia","EURO",0,0,0,0
"2020-01-08","SI","Slovenia","EURO",0,0,0,0
"2020-01-09","SI","Slovenia","EURO",0,0,0,0
"2020-01-10","SI","Slovenia","EURO",0,0,0,0
"2020-01-11","SI","Slovenia","EURO",0,0,0,0
"2020-01-12","SI","Slovenia","EURO",0,0,0,0
"2020-01-13","SI","Slovenia","EURO",0,0,0,0
"2020-01-14","SI","Slovenia","EURO",0,0,0,0
"2020-01-15","SI","Slovenia","EURO",0,0,0,0
"2020-01-16","SI","Slovenia","EURO",0,0,0,0
"2020-01-17","SI","Slovenia","EURO",0,0,0,0
"2020-01-18","SI","Slovenia","EURO",0,0,0,0
"2020-01-19","SI","Slovenia","EURO",0,0,0,0
"2020-01-20","SI","Slovenia","EURO",0,0,0,0
"2020-01-21","SI","Slovenia","EURO",0,0,0,0
"2020-01-22","SI","Slovenia","EURO",0,0,0,0
"2020-01-23","SI","Slovenia","EURO",0,0,0,0
"2020-01-24","SI","Slovenia","EURO",0,0,0,0
"2020-01-25","SI","Slovenia","EURO",0,0,0,0
"2020-01-26","SI","Slovenia","EURO",0,0,0,0
"2020-01-27","SI","Slovenia","EURO",0,0,0,0
"2020-01-28","SI","Slovenia","EURO",0,0,0,0
"2020-01-29","SI","Slovenia","EURO",0,0,0,0
"2020-01-30","SI","Slovenia","EURO",0,0,0,0
"2020-01-31","SI","Slovenia","EURO",0,0,0,0
"2020-02-01","SI","Slovenia","EURO",0,0,0,0
"2020-02-02","SI","Slovenia","EURO",0,0,0,0
"2020-02-03","SI","Slovenia","EURO",0,0,0,0
"2020-02-04","SI","Slovenia","EURO",0,0,0,0
