"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SO","Somalia","EMRO",0,0,0,0
"2020-01-04","SO","Somalia","EMRO",0,0,0,0
"2020-01-05","SO","Somalia","EMRO",0,0,0,0
"2020-01-06","SO","Somalia","EMRO",0,0,0,0
"2020-01-07","SO","Somalia","EMRO",0,0,0,0
"2020-01-08","SO","Somalia","EMRO",0,0,0,0
"2020-01-09","SO","Somalia","EMRO",0,0,0,0
"2020-01-10","SO","Somalia","EMRO",0,0,0,0
"2020-01-11","SO","Somalia","EMRO",0,0,0,0
"2020-01-12","SO","Somalia","EMRO",0,0,0,0
"2020-01-13","SO","Somalia","EMRO",0,0,0,0
"2020-01-14","SO","Somalia","EMRO",0,0,0,0
"2020-01-15","SO","Somalia","EMRO",0,0,0,0
"2020-01-16","SO","Somalia","EMRO",0,0,0,0
"2020-01-17","SO","Somalia","EMRO",0,0,0,0
"2020-01-18","SO","Somalia","EMRO",0,0,0,0
"2020-01-19","SO","Somalia","EMRO",0,0,0,0
"2020-01-20","SO","Somalia","EMRO",0,0,0,0
"2020-01-21","SO","Somalia","EMRO",0,0,0,0
"2020-01-22","SO","Somalia","EMRO",0,0,0,0
"2020-01-23","SO","Somalia","EMRO",0,0,0,0
"2020-01-24","SO","Somalia","EMRO",0,0,0,0
"2020-01-25","SO","Somalia","EMRO",0,0,0,0
"2020-01-26","SO","Somalia","EMRO",0,0,0,0
"2020-01-27","SO","Somalia","EMRO",0,0,0,0
"2020-01-28","SO","Somalia","EMRO",0,0,0,0
"2020-01-29","SO","Somalia","EMRO",0,0,0,0
"2020-01-30","SO","Somalia","EMRO",0,0,0,0
"2020-01-31","SO","Somalia","EMRO",0,0,0,0
"2020-02-01","SO","Somalia","EMRO",0,0,0,0
"2020-02-02","SO","Somalia","EMRO",0,0,0,0
"2020-02-03","SO","Somalia","EMRO",0,0,0,0
"2020-02-04","SO","Somalia","EMRO",0,0,0,0
"2020-02-05","SO","Somalia","EMRO",0,0,0,0
"2020-02-06","SO","Somalia","EMRO",0,0,0,0
"2020-02-07","SO","Somalia","EMRO",0,0,0,0
"2020-02-08","SO","Somalia","EMRO",0,0,0,0
"2020-02-09","SO","Somalia","EMRO",0,0,0,0
"2020-02-10","SO","Somalia","EMRO",0,0,0,0
"2020-02-11","SO","Somalia","EMRO",0,0,0,0
"2020-02-12","SO","Somalia","EMRO",0,0,0,0
"2020-02-13","SO","Somalia","EMRO",0,0,0,0
"2020-02-14","SO","Somalia","EMRO",0,0,0,0
"2020-02-15","SO","Somalia","EMRO",0,0,0,0
"2020-02-16","SO","Somalia","EMRO",0,0,0,0
