"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ZA","South Africa","AFRO",0,0,0,0
"2020-01-04","ZA","South Africa","AFRO",0,0,0,0
"2020-01-05","ZA","South Africa","AFRO",0,0,0,0
"2020-01-06","ZA","South Africa","AFRO",0,0,0,0
"2020-01-07","ZA","South Africa","AFRO",0,0,0,0
"2020-01-08","ZA","South Africa","AFRO",0,0,0,0
"2020-01-09","ZA","South Africa","AFRO",0,0,0,0
"2020-01-10","ZA","South Africa","AFRO",0,0,0,0
"2020-01-11","ZA","South Africa","AFRO",0,0,0,0
"2020-01-12","ZA","South Africa","AFRO",0,0,0,0
"2020-01-13","ZA","South Africa","AFRO",0,0,0,0
"2020-01-14","ZA","South Africa","AFRO",0,0,0,0
"2020-01-15","ZA","South Africa","AFRO",0,0,0,0
"2020-01-16","ZA","South Africa","AFRO",0,0,0,0
"2020-01-17","ZA","South Africa","AFRO",0,0,0,0
"2020-01-18","ZA","South Africa","AFRO",0,0,0,0
"2020-01-19","ZA","South Africa","AFRO",0,0,0,0
"2020-01-20","ZA","South Africa","AFRO",0,0,0,0
"2020-01-21","ZA","South Africa","AFRO",0,0,0,0
"2020-01-22","ZA","South Africa","AFRO",0,0,0,0
"2020-01-23","ZA","South Africa","AFRO",0,0,0,0
"2020-01-24","ZA","South Africa","AFRO",0,0,0,0
"2020-01-25","ZA","South Africa","AFRO",0,0,0,0
"2020-01-26","ZA","South Africa","AFRO",0,0,0,0
"2020-01-27","ZA","South Africa","AFRO",0,0,0,0
"2020-01-28","ZA","South Africa","AFRO",0,0,0,0
"2020-01-29","ZA","South Africa","AFRO",0,0,0,0
"2020-01-30","ZA","South Africa","AFRO",0,0,0,0
"2020-01-31","ZA","South Africa","AFRO",0,0,0,0
"2020-02-01","ZA","South Africa","AFRO",0,0,0,0
"2020-02-02","ZA","South Africa","AFRO",0,0,0,0
"2020-02-03","ZA","South Africa","AFRO",0,0,0,0
"2020-02-04","ZA","South Africa","AFRO",0,0,0,0
"2020-02-05","ZA","South Africa","AFRO",0,0,0,0
"2020-02-06","ZA","South Africa","AFRO",0,0,0,0
"2020-02-07","ZA","South Africa","AFRO",0,0,0,0
"2020-02-08","ZA","South Africa","AFRO",0,0,0,0
"2020-02-09","ZA","South Africa","AFRO",0,0,0,0
"2020-02-10","ZA","South Africa","AFRO",0,0,0,0
"2020-02-11","ZA","South Africa","AFRO",0,0,0,0
"2020-02-12","ZA","South Africa","AFRO",0,0,0,0
"2020-02-13","ZA","South Africa","AFRO",0,0,0,0
"2020-02-14","ZA","South Africa","AFRO",0,0,0,0
"2020-02-15","ZA","South Africa","AFRO",0,0,0,0
"2020-02-16","ZA","South Africa","AFRO",0,0,0,0
"2020-02-17","ZA","South Africa","AFRO",0,0,0,0
"2020-02-18","ZA","South Africa","AFRO",0,0,0,0
"2020-02-19","ZA","South Africa","AFRO",0,0,0,0
"2020-02-20","ZA","South Africa","AFRO",0,0,0,0
"2020-02-21","ZA","South Africa","AFRO",0,0,0,0
"2020-02-22","ZA","South Africa","AFRO",0,0,0,0
"2020-02-23","ZA","South Africa","AFRO",0,0,0,0
"2020-02-24","ZA","South Africa","AFRO",0,0,0,0
"2020-02-25","ZA","South Africa","AFRO",0,0,0,0
"2020-02-26","ZA","South Africa","AFRO",0,0,0,0
"2020-02-27","ZA","South Africa","AFRO",0,0,0,0
"2020-02-28","ZA","South Africa","AFRO",0,0,0,0
"2020-02-29","ZA","South Africa","AFRO",0,0,0,0
"2020-03-01","ZA","South Africa","AFRO",0,0,0,0
"2020-03-02","ZA","South Africa","AFRO",0,0,0,0
"2020-03-03","ZA","South Africa","AFRO",0,0,0,0
"2020-03-04","ZA","South Africa","AFRO",0,0,0,0
"2020-03-05","ZA","South Africa","AFRO",5,5,0,0
"2020-03-06","ZA","South Africa","AFRO",0,5,0,0
"2020-03-07","ZA","South Africa","AFRO",1,6,0,0
"2020-03-08","ZA","South Africa","AFRO",1,7,0,0
"2020-03-09","ZA","South Africa","AFRO",0,7,0,0
"2020-03-10","ZA","South Africa","AFRO",4,11,0,0
"2020-03-11","ZA","South Africa","AFRO",0,11,0,0
"2020-03-12","ZA","South Africa","AFRO",10,21,0,0
"2020-03-13","ZA","South Africa","AFRO",0,21,0,0
"2020-03-14","ZA","South Africa","AFRO",21,42,0,0
"2020-03-15","ZA","South Africa","AFRO",0,42,0,0
"2020-03-16","ZA","South Africa","AFRO",13,55,0,0
"2020-03-17","ZA","South Africa","AFRO",11,66,0,0
"2020-03-18","ZA","South Africa","AFRO",54,120,0,0
"2020-03-19","ZA","South Africa","AFRO",34,154,0,0
"2020-03-20","ZA","South Africa","AFRO",51,205,0,0
"2020-03-21","ZA","South Africa","AFRO",35,240,0,0
"2020-03-22","ZA","South Africa","AFRO",0,240,0,0
"2020-03-23","ZA","South Africa","AFRO",34,274,0,0
"2020-03-24","ZA","South Africa","AFRO",128,402,0,0
"2020-03-25","ZA","South Africa","AFRO",152,554,0,0
"2020-03-26","ZA","South Africa","AFRO",373,927,0,0
"2020-03-27","ZA","South Africa","AFRO",0,927,0,0
"2020-03-28","ZA","South Africa","AFRO",243,1170,1,1
"2020-03-29","ZA","South Africa","AFRO",17,1187,0,1
"2020-03-30","ZA","South Africa","AFRO",93,1280,0,1
"2020-03-31","ZA","South Africa","AFRO",46,1326,2,3
"2020-04-01","ZA","South Africa","AFRO",27,1353,2,5
"2020-04-02","ZA","South Africa","AFRO",27,1380,0,5
"2020-04-03","ZA","South Africa","AFRO",82,1462,0,5
"2020-04-04","ZA","South Africa","AFRO",43,1505,2,7
"2020-04-05","ZA","South Africa","AFRO",80,1585,2,9
"2020-04-06","ZA","South Africa","AFRO",70,1655,2,11
"2020-04-07","ZA","South Africa","AFRO",31,1686,1,12
"2020-04-08","ZA","South Africa","AFRO",63,1749,1,13
"2020-04-09","ZA","South Africa","AFRO",96,1845,5,18
"2020-04-10","ZA","South Africa","AFRO",89,1934,0,18
"2020-04-11","ZA","South Africa","AFRO",69,2003,6,24
"2020-04-12","ZA","South Africa","AFRO",25,2028,1,25
"2020-04-13","ZA","South Africa","AFRO",145,2173,0,25
"2020-04-14","ZA","South Africa","AFRO",99,2272,2,27
"2020-04-15","ZA","South Africa","AFRO",143,2415,0,27
"2020-04-16","ZA","South Africa","AFRO",91,2506,7,34
"2020-04-17","ZA","South Africa","AFRO",99,2605,14,48
"2020-04-18","ZA","South Africa","AFRO",178,2783,2,50
"2020-04-19","ZA","South Africa","AFRO",251,3034,2,52
"2020-04-20","ZA","South Africa","AFRO",124,3158,2,54
"2020-04-21","ZA","South Africa","AFRO",142,3300,4,58
"2020-04-22","ZA","South Africa","AFRO",165,3465,0,58
"2020-04-23","ZA","South Africa","AFRO",170,3635,7,65
"2020-04-24","ZA","South Africa","AFRO",318,3953,10,75
"2020-04-25","ZA","South Africa","AFRO",267,4220,4,79
"2020-04-26","ZA","South Africa","AFRO",141,4361,7,86
"2020-04-27","ZA","South Africa","AFRO",185,4546,1,87
