"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SS","South Sudan","AFRO",0,0,0,0
"2020-01-04","SS","South Sudan","AFRO",0,0,0,0
"2020-01-05","SS","South Sudan","AFRO",0,0,0,0
"2020-01-06","SS","South Sudan","AFRO",0,0,0,0
"2020-01-07","SS","South Sudan","AFRO",0,0,0,0
"2020-01-08","SS","South Sudan","AFRO",0,0,0,0
"2020-01-09","SS","South Sudan","AFRO",0,0,0,0
"2020-01-10","SS","South Sudan","AFRO",0,0,0,0
"2020-01-11","SS","South Sudan","AFRO",0,0,0,0
"2020-01-12","SS","South Sudan","AFRO",0,0,0,0
"2020-01-13","SS","South Sudan","AFRO",0,0,0,0
"2020-01-14","SS","South Sudan","AFRO",0,0,0,0
"2020-01-15","SS","South Sudan","AFRO",0,0,0,0
"2020-01-16","SS","South Sudan","AFRO",0,0,0,0
"2020-01-17","SS","South Sudan","AFRO",0,0,0,0
"2020-01-18","SS","South Sudan","AFRO",0,0,0,0
"2020-01-19","SS","South Sudan","AFRO",0,0,0,0
"2020-01-20","SS","South Sudan","AFRO",0,0,0,0
"2020-01-21","SS","South Sudan","AFRO",0,0,0,0
"2020-01-22","SS","South Sudan","AFRO",0,0,0,0
"2020-01-23","SS","South Sudan","AFRO",0,0,0,0
"2020-01-24","SS","South Sudan","AFRO",0,0,0,0
"2020-01-25","SS","South Sudan","AFRO",0,0,0,0
"2020-01-26","SS","South Sudan","AFRO",0,0,0,0
"2020-01-27","SS","South Sudan","AFRO",0,0,0,0
"2020-01-28","SS","South Sudan","AFRO",0,0,0,0
"2020-01-29","SS","South Sudan","AFRO",0,0,0,0
"2020-01-30","SS","South Sudan","AFRO",0,0,0,0
"2020-01-31","SS","South Sudan","AFRO",0,0,0,0
"2020-02-01","SS","South Sudan","AFRO",0,0,0,0
"2020-02-02","SS","South Sudan","AFRO",0,0,0,0
"2020-02-03","SS","South Sudan","AFRO",0,0,0,0
"2020-02-04","SS","South Sudan","AFRO",0,0,0,0
"2020-02-05","SS","South Sudan","AFRO",0,0,0,0
"2020-02-06","SS","South Sudan","AFRO",0,0,0,0
"2020-02-07","SS","South Sudan","AFRO",0,0,0,0
"2020-02-08","SS","South Sudan","AFRO",0,0,0,0
"2020-02-09","SS","South Sudan","AFRO",0,0,0,0
"2020-02-10","SS","South Sudan","AFRO",0,0,0,0
"2020-02-11","SS","South Sudan","AFRO",0,0,0,0
"2020-02-12","SS","South Sudan","AFRO",0,0,0,0
"2020-02-13","SS","South Sudan","AFRO",0,0,0,0
"2020-02-14","SS","South Sudan","AFRO",0,0,0,0
"2020-02-15","SS","South Sudan","AFRO",0,0,0,0
"2020-02-16","SS","South Sudan","AFRO",0,0,0,0
"2020-02-17","SS","South Sudan","AFRO",0,0,0,0
"2020-02-18","SS","South Sudan","AFRO",0,0,0,0
"2020-02-19","SS","South Sudan","AFRO",0,0,0,0
"2020-02-20","SS","South Sudan","AFRO",0,0,0,0
"2020-02-21","SS","South Sudan","AFRO",0,0,0,0
"2020-02-22","SS","South Sudan","AFRO",0,0,0,0
"2020-02-23","SS","South Sudan","AFRO",0,0,0,0
"2020-02-24","SS","South Sudan","AFRO",0,0,0,0
"2020-02-25","SS","South Sudan","AFRO",0,0,0,0
"2020-02-26","SS","South Sudan","AFRO",0,0,0,0
"2020-02-27","SS","South Sudan","AFRO",0,0,0,0
"2020-02-28","SS","South Sudan","AFRO",0,0,0,0
"2020-02-29","SS","South Sudan","AFRO",0,0,0,0
"2020-03-01","SS","South Sudan","AFRO",0,0,0,0
"2020-03-02","SS","South Sudan","AFRO",0,0,0,0
"2020-03-03","SS","South Sudan","AFRO",0,0,0,0
"2020-03-04","SS","South Sudan","AFRO",0,0,0,0
"2020-03-05","SS","South Sudan","AFRO",0,0,0,0
"2020-03-06","SS","South Sudan","AFRO",0,0,0,0
