"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SD","Sudan","EMRO",0,0,0,0
"2020-01-04","SD","Sudan","EMRO",0,0,0,0
"2020-01-05","SD","Sudan","EMRO",0,0,0,0
"2020-01-06","SD","Sudan","EMRO",0,0,0,0
"2020-01-07","SD","Sudan","EMRO",0,0,0,0
"2020-01-08","SD","Sudan","EMRO",0,0,0,0
"2020-01-09","SD","Sudan","EMRO",0,0,0,0
"2020-01-10","SD","Sudan","EMRO",0,0,0,0
"2020-01-11","SD","Sudan","EMRO",0,0,0,0
"2020-01-12","SD","Sudan","EMRO",0,0,0,0
"2020-01-13","SD","Sudan","EMRO",0,0,0,0
"2020-01-14","SD","Sudan","EMRO",0,0,0,0
"2020-01-15","SD","Sudan","EMRO",0,0,0,0
"2020-01-16","SD","Sudan","EMRO",0,0,0,0
"2020-01-17","SD","Sudan","EMRO",0,0,0,0
"2020-01-18","SD","Sudan","EMRO",0,0,0,0
"2020-01-19","SD","Sudan","EMRO",0,0,0,0
"2020-01-20","SD","Sudan","EMRO",0,0,0,0
"2020-01-21","SD","Sudan","EMRO",0,0,0,0
"2020-01-22","SD","Sudan","EMRO",0,0,0,0
"2020-01-23","SD","Sudan","EMRO",0,0,0,0
"2020-01-24","SD","Sudan","EMRO",0,0,0,0
"2020-01-25","SD","Sudan","EMRO",0,0,0,0
"2020-01-26","SD","Sudan","EMRO",0,0,0,0
"2020-01-27","SD","Sudan","EMRO",0,0,0,0
"2020-01-28","SD","Sudan","EMRO",0,0,0,0
"2020-01-29","SD","Sudan","EMRO",0,0,0,0
"2020-01-30","SD","Sudan","EMRO",0,0,0,0
"2020-01-31","SD","Sudan","EMRO",0,0,0,0
"2020-02-01","SD","Sudan","EMRO",0,0,0,0
"2020-02-02","SD","Sudan","EMRO",0,0,0,0
"2020-02-03","SD","Sudan","EMRO",0,0,0,0
"2020-02-04","SD","Sudan","EMRO",0,0,0,0
"2020-02-05","SD","Sudan","EMRO",0,0,0,0
"2020-02-06","SD","Sudan","EMRO",0,0,0,0
"2020-02-07","SD","Sudan","EMRO",0,0,0,0
"2020-02-08","SD","Sudan","EMRO",0,0,0,0
"2020-02-09","SD","Sudan","EMRO",0,0,0,0
"2020-02-10","SD","Sudan","EMRO",0,0,0,0
"2020-02-11","SD","Sudan","EMRO",0,0,0,0
"2020-02-12","SD","Sudan","EMRO",0,0,0,0
"2020-02-13","SD","Sudan","EMRO",0,0,0,0
"2020-02-14","SD","Sudan","EMRO",0,0,0,0
"2020-02-15","SD","Sudan","EMRO",0,0,0,0
"2020-02-16","SD","Sudan","EMRO",0,0,0,0
"2020-02-17","SD","Sudan","EMRO",0,0,0,0
"2020-02-18","SD","Sudan","EMRO",0,0,0,0
"2020-02-19","SD","Sudan","EMRO",0,0,0,0
"2020-02-20","SD","Sudan","EMRO",0,0,0,0
"2020-02-21","SD","Sudan","EMRO",0,0,0,0
"2020-02-22","SD","Sudan","EMRO",0,0,0,0
"2020-02-23","SD","Sudan","EMRO",0,0,0,0
"2020-02-24","SD","Sudan","EMRO",0,0,0,0
"2020-02-25","SD","Sudan","EMRO",0,0,0,0
"2020-02-26","SD","Sudan","EMRO",0,0,0,0
"2020-02-27","SD","Sudan","EMRO",0,0,0,0
"2020-02-28","SD","Sudan","EMRO",0,0,0,0
"2020-02-29","SD","Sudan","EMRO",0,0,0,0
"2020-03-01","SD","Sudan","EMRO",0,0,0,0
"2020-03-02","SD","Sudan","EMRO",0,0,0,0
"2020-03-03","SD","Sudan","EMRO",0,0,0,0
"2020-03-04","SD","Sudan","EMRO",0,0,0,0
"2020-03-05","SD","Sudan","EMRO",0,0,0,0
"2020-03-06","SD","Sudan","EMRO",0,0,0,0
"2020-03-07","SD","Sudan","EMRO",0,0,0,0
"2020-03-08","SD","Sudan","EMRO",0,0,0,0
"2020-03-09","SD","Sudan","EMRO",0,0,0,0
"2020-03-10","SD","Sudan","EMRO",0,0,0,0
"2020-03-11","SD","Sudan","EMRO",0,0,0,0
"2020-03-12","SD","Sudan","EMRO",0,0,0,0
"2020-03-13","SD","Sudan","EMRO",0,0,0,0
"2020-03-14","SD","Sudan","EMRO",1,1,0,0
"2020-03-15","SD","Sudan","EMRO",0,1,1,1
"2020-03-16","SD","Sudan","EMRO",0,1,0,1
"2020-03-17","SD","Sudan","EMRO",0,1,0,1
"2020-03-18","SD","Sudan","EMRO",0,1,0,1
"2020-03-19","SD","Sudan","EMRO",0,1,0,1
"2020-03-20","SD","Sudan","EMRO",0,1,0,1
"2020-03-21","SD","Sudan","EMRO",1,2,0,1
"2020-03-22","SD","Sudan","EMRO",0,2,0,1
"2020-03-23","SD","Sudan","EMRO",0,2,0,1
"2020-03-24","SD","Sudan","EMRO",1,3,0,1
"2020-03-25","SD","Sudan","EMRO",0,3,0,1
"2020-03-26","SD","Sudan","EMRO",0,3,0,1
"2020-03-27","SD","Sudan","EMRO",0,3,0,1
"2020-03-28","SD","Sudan","EMRO",2,5,0,1
"2020-03-29","SD","Sudan","EMRO",0,5,0,1
"2020-03-30","SD","Sudan","EMRO",1,6,1,2
"2020-03-31","SD","Sudan","EMRO",1,7,0,2
"2020-04-01","SD","Sudan","EMRO",0,7,0,2
"2020-04-02","SD","Sudan","EMRO",0,7,0,2
"2020-04-03","SD","Sudan","EMRO",3,10,0,2
"2020-04-04","SD","Sudan","EMRO",0,10,0,2
"2020-04-05","SD","Sudan","EMRO",2,12,0,2
"2020-04-06","SD","Sudan","EMRO",0,12,0,2
"2020-04-07","SD","Sudan","EMRO",2,14,0,2
"2020-04-08","SD","Sudan","EMRO",0,14,0,2
"2020-04-09","SD","Sudan","EMRO",0,14,0,2
"2020-04-10","SD","Sudan","EMRO",1,15,0,2
"2020-04-11","SD","Sudan","EMRO",4,19,0,2
"2020-04-12","SD","Sudan","EMRO",0,19,0,2
"2020-04-13","SD","Sudan","EMRO",0,19,0,2
"2020-04-14","SD","Sudan","EMRO",10,29,2,4
"2020-04-15","SD","Sudan","EMRO",3,32,1,5
"2020-04-16","SD","Sudan","EMRO",0,32,0,5
"2020-04-17","SD","Sudan","EMRO",0,32,0,5
"2020-04-18","SD","Sudan","EMRO",34,66,5,10
"2020-04-19","SD","Sudan","EMRO",0,66,0,10
"2020-04-20","SD","Sudan","EMRO",26,92,2,12
"2020-04-21","SD","Sudan","EMRO",15,107,0,12
"2020-04-22","SD","Sudan","EMRO",33,140,1,13
"2020-04-23","SD","Sudan","EMRO",22,162,0,13
"2020-04-24","SD","Sudan","EMRO",12,174,3,16
"2020-04-25","SD","Sudan","EMRO",39,213,1,17
"2020-04-26","SD","Sudan","EMRO",24,237,4,21
"2020-04-27","SD","Sudan","EMRO",38,275,1,22
"2020-04-28","SD","Sudan","EMRO",43,318,3,25
"2020-04-29","SD","Sudan","EMRO",57,375,3,28
"2020-04-30","SD","Sudan","EMRO",0,375,0,28
"2020-05-01","SD","Sudan","EMRO",67,442,3,31
"2020-05-02","SD","Sudan","EMRO",91,533,5,36
"2020-05-03","SD","Sudan","EMRO",59,592,5,41
"2020-05-04","SD","Sudan","EMRO",86,678,0,41
"2020-05-05","SD","Sudan","EMRO",100,778,4,45
"2020-05-06","SD","Sudan","EMRO",74,852,4,49
"2020-05-07","SD","Sudan","EMRO",78,930,3,52
"2020-05-08","SD","Sudan","EMRO",0,930,0,52
"2020-05-09","SD","Sudan","EMRO",181,1111,7,59
"2020-05-10","SD","Sudan","EMRO",53,1164,5,64
"2020-05-11","SD","Sudan","EMRO",201,1365,6,70
"2020-05-12","SD","Sudan","EMRO",161,1526,4,74
"2020-05-13","SD","Sudan","EMRO",134,1660,6,80
"2020-05-14","SD","Sudan","EMRO",158,1818,10,90
"2020-05-15","SD","Sudan","EMRO",146,1964,1,91
"2020-05-16","SD","Sudan","EMRO",0,1964,0,91
"2020-05-17","SD","Sudan","EMRO",325,2289,6,97
"2020-05-18","SD","Sudan","EMRO",302,2591,8,105
"2020-05-19","SD","Sudan","EMRO",0,2591,0,105
"2020-05-20","SD","Sudan","EMRO",137,2728,6,111
"2020-05-21","SD","Sudan","EMRO",410,3138,10,121
"2020-05-22","SD","Sudan","EMRO",0,3138,0,121
"2020-05-23","SD","Sudan","EMRO",240,3378,16,137
"2020-05-24","SD","Sudan","EMRO",256,3634,9,146
"2020-05-25","SD","Sudan","EMRO",192,3826,19,165
"2020-05-26","SD","Sudan","EMRO",150,3976,5,170
"2020-05-27","SD","Sudan","EMRO",170,4146,14,184
"2020-05-28","SD","Sudan","EMRO",200,4346,11,195
"2020-05-29","SD","Sudan","EMRO",0,4346,0,195
"2020-05-30","SD","Sudan","EMRO",175,4521,38,233
"2020-05-31","SD","Sudan","EMRO",279,4800,29,262
"2020-06-01","SD","Sudan","EMRO",226,5026,24,286
"2020-06-02","SD","Sudan","EMRO",147,5173,12,298
"2020-06-03","SD","Sudan","EMRO",137,5310,9,307
"2020-06-04","SD","Sudan","EMRO",189,5499,7,314
"2020-06-05","SD","Sudan","EMRO",215,5714,19,333
"2020-06-06","SD","Sudan","EMRO",152,5866,14,347
"2020-06-07","SD","Sudan","EMRO",215,6081,12,359
"2020-06-08","SD","Sudan","EMRO",0,6081,0,359
"2020-06-09","SD","Sudan","EMRO",161,6242,13,372
"2020-06-10","SD","Sudan","EMRO",185,6427,17,389
"2020-06-11","SD","Sudan","EMRO",155,6582,12,401
"2020-06-12","SD","Sudan","EMRO",148,6730,12,413
"2020-06-13","SD","Sudan","EMRO",149,6879,20,433
"2020-06-14","SD","Sudan","EMRO",128,7007,14,447
"2020-06-15","SD","Sudan","EMRO",213,7220,12,459
"2020-06-16","SD","Sudan","EMRO",215,7435,9,468
"2020-06-17","SD","Sudan","EMRO",305,7740,9,477
"2020-06-18","SD","Sudan","EMRO",280,8020,10,487
"2020-06-19","SD","Sudan","EMRO",0,8020,0,487
"2020-06-20","SD","Sudan","EMRO",396,8416,26,513
"2020-06-21","SD","Sudan","EMRO",164,8580,8,521
"2020-06-22","SD","Sudan","EMRO",118,8698,12,533
"2020-06-23","SD","Sudan","EMRO",98,8796,8,541
"2020-06-24","SD","Sudan","EMRO",91,8887,7,548
"2020-06-25","SD","Sudan","EMRO",0,8887,0,548
"2020-06-26","SD","Sudan","EMRO",95,8982,8,556
"2020-06-27","SD","Sudan","EMRO",275,9257,16,572
"2020-06-28","SD","Sudan","EMRO",57,9314,4,576
"2020-06-29","SD","Sudan","EMRO",6,9320,8,584
"2020-06-30","SD","Sudan","EMRO",52,9372,3,587
"2020-07-01","SD","Sudan","EMRO",128,9500,5,592
"2020-07-02","SD","Sudan","EMRO",73,9573,10,602
"2020-07-03","SD","Sudan","EMRO",116,9689,5,607
"2020-07-04","SD","Sudan","EMRO",0,9689,0,607
"2020-07-05","SD","Sudan","EMRO",78,9767,1,608
"2020-07-06","SD","Sudan","EMRO",0,9767,0,608
"2020-07-07","SD","Sudan","EMRO",127,9894,8,616
"2020-07-08","SD","Sudan","EMRO",103,9997,6,622
"2020-07-09","SD","Sudan","EMRO",87,10084,14,636
"2020-07-10","SD","Sudan","EMRO",120,10204,13,649
"2020-07-11","SD","Sudan","EMRO",0,10204,0,649
"2020-07-12","SD","Sudan","EMRO",46,10250,1,650
"2020-07-13","SD","Sudan","EMRO",0,10250,0,650
"2020-07-14","SD","Sudan","EMRO",66,10316,7,657
"2020-07-15","SD","Sudan","EMRO",101,10417,2,659
"2020-07-16","SD","Sudan","EMRO",110,10527,9,668
"2020-07-17","SD","Sudan","EMRO",0,10527,0,668
"2020-07-18","SD","Sudan","EMRO",0,10527,0,668
"2020-07-19","SD","Sudan","EMRO",235,10762,12,680
"2020-07-20","SD","Sudan","EMRO",230,10992,13,693
"2020-07-21","SD","Sudan","EMRO",0,10992,0,693
"2020-07-22","SD","Sudan","EMRO",135,11127,13,706
"2020-07-23","SD","Sudan","EMRO",110,11237,2,708
"2020-07-24","SD","Sudan","EMRO",65,11302,7,715
"2020-07-25","SD","Sudan","EMRO",0,11302,0,715
"2020-07-26","SD","Sudan","EMRO",83,11385,2,717
"2020-07-27","SD","Sudan","EMRO",39,11424,3,720
"2020-07-28","SD","Sudan","EMRO",72,11496,5,725
"2020-07-29","SD","Sudan","EMRO",83,11579,6,731
"2020-07-30","SD","Sudan","EMRO",0,11579,0,731
"2020-07-31","SD","Sudan","EMRO",0,11579,0,731
"2020-08-01","SD","Sudan","EMRO",65,11644,15,746
"2020-08-02","SD","Sudan","EMRO",94,11738,6,752
"2020-08-03","SD","Sudan","EMRO",0,11738,0,752
"2020-08-04","SD","Sudan","EMRO",42,11780,11,763
"2020-08-05","SD","Sudan","EMRO",0,11780,0,763
"2020-08-06","SD","Sudan","EMRO",70,11850,6,769
"2020-08-07","SD","Sudan","EMRO",44,11894,4,773
"2020-08-08","SD","Sudan","EMRO",0,11894,0,773
"2020-08-09","SD","Sudan","EMRO",62,11956,8,781
"2020-08-10","SD","Sudan","EMRO",77,12033,5,786
"2020-08-11","SD","Sudan","EMRO",0,12033,0,786
"2020-08-12","SD","Sudan","EMRO",82,12115,6,792
"2020-08-13","SD","Sudan","EMRO",47,12162,1,793
"2020-08-14","SD","Sudan","EMRO",49,12211,3,796
"2020-08-15","SD","Sudan","EMRO",103,12314,2,798
"2020-08-16","SD","Sudan","EMRO",96,12410,5,803
"2020-08-17","SD","Sudan","EMRO",75,12485,2,805
"2020-08-18","SD","Sudan","EMRO",61,12546,3,808
"2020-08-19","SD","Sudan","EMRO",36,12582,4,812
"2020-08-20","SD","Sudan","EMRO",41,12623,0,812
"2020-08-21","SD","Sudan","EMRO",59,12682,3,815
"2020-08-22","SD","Sudan","EMRO",154,12836,0,815
"2020-08-23","SD","Sudan","EMRO",67,12903,3,818
"2020-08-24","SD","Sudan","EMRO",71,12974,1,819
"2020-08-25","SD","Sudan","EMRO",0,12974,0,819
"2020-08-26","SD","Sudan","EMRO",71,13045,4,823
"2020-08-27","SD","Sudan","EMRO",37,13082,0,823
"2020-08-28","SD","Sudan","EMRO",107,13189,0,823
"2020-08-29","SD","Sudan","EMRO",0,13189,0,823
"2020-08-30","SD","Sudan","EMRO",0,13189,0,823
"2020-08-31","SD","Sudan","EMRO",0,13189,0,823
"2020-09-01","SD","Sudan","EMRO",0,13189,0,823
