"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SR","Suriname","AMRO",0,0,0,0
"2020-01-04","SR","Suriname","AMRO",0,0,0,0
"2020-01-05","SR","Suriname","AMRO",0,0,0,0
"2020-01-06","SR","Suriname","AMRO",0,0,0,0
"2020-01-07","SR","Suriname","AMRO",0,0,0,0
"2020-01-08","SR","Suriname","AMRO",0,0,0,0
"2020-01-09","SR","Suriname","AMRO",0,0,0,0
"2020-01-10","SR","Suriname","AMRO",0,0,0,0
"2020-01-11","SR","Suriname","AMRO",0,0,0,0
"2020-01-12","SR","Suriname","AMRO",0,0,0,0
"2020-01-13","SR","Suriname","AMRO",0,0,0,0
"2020-01-14","SR","Suriname","AMRO",0,0,0,0
"2020-01-15","SR","Suriname","AMRO",0,0,0,0
"2020-01-16","SR","Suriname","AMRO",0,0,0,0
"2020-01-17","SR","Suriname","AMRO",0,0,0,0
"2020-01-18","SR","Suriname","AMRO",0,0,0,0
"2020-01-19","SR","Suriname","AMRO",0,0,0,0
"2020-01-20","SR","Suriname","AMRO",0,0,0,0
"2020-01-21","SR","Suriname","AMRO",0,0,0,0
"2020-01-22","SR","Suriname","AMRO",0,0,0,0
"2020-01-23","SR","Suriname","AMRO",0,0,0,0
"2020-01-24","SR","Suriname","AMRO",0,0,0,0
"2020-01-25","SR","Suriname","AMRO",0,0,0,0
"2020-01-26","SR","Suriname","AMRO",0,0,0,0
"2020-01-27","SR","Suriname","AMRO",0,0,0,0
"2020-01-28","SR","Suriname","AMRO",0,0,0,0
"2020-01-29","SR","Suriname","AMRO",0,0,0,0
"2020-01-30","SR","Suriname","AMRO",0,0,0,0
"2020-01-31","SR","Suriname","AMRO",0,0,0,0
"2020-02-01","SR","Suriname","AMRO",0,0,0,0
"2020-02-02","SR","Suriname","AMRO",0,0,0,0
"2020-02-03","SR","Suriname","AMRO",0,0,0,0
"2020-02-04","SR","Suriname","AMRO",0,0,0,0
"2020-02-05","SR","Suriname","AMRO",0,0,0,0
"2020-02-06","SR","Suriname","AMRO",0,0,0,0
"2020-02-07","SR","Suriname","AMRO",0,0,0,0
"2020-02-08","SR","Suriname","AMRO",0,0,0,0
"2020-02-09","SR","Suriname","AMRO",0,0,0,0
"2020-02-10","SR","Suriname","AMRO",0,0,0,0
"2020-02-11","SR","Suriname","AMRO",0,0,0,0
"2020-02-12","SR","Suriname","AMRO",0,0,0,0
"2020-02-13","SR","Suriname","AMRO",0,0,0,0
"2020-02-14","SR","Suriname","AMRO",0,0,0,0
"2020-02-15","SR","Suriname","AMRO",0,0,0,0
"2020-02-16","SR","Suriname","AMRO",0,0,0,0
"2020-02-17","SR","Suriname","AMRO",0,0,0,0
"2020-02-18","SR","Suriname","AMRO",0,0,0,0
"2020-02-19","SR","Suriname","AMRO",0,0,0,0
"2020-02-20","SR","Suriname","AMRO",0,0,0,0
"2020-02-21","SR","Suriname","AMRO",0,0,0,0
"2020-02-22","SR","Suriname","AMRO",0,0,0,0
"2020-02-23","SR","Suriname","AMRO",0,0,0,0
"2020-02-24","SR","Suriname","AMRO",0,0,0,0
"2020-02-25","SR","Suriname","AMRO",0,0,0,0
"2020-02-26","SR","Suriname","AMRO",0,0,0,0
"2020-02-27","SR","Suriname","AMRO",0,0,0,0
"2020-02-28","SR","Suriname","AMRO",0,0,0,0
"2020-02-29","SR","Suriname","AMRO",0,0,0,0
"2020-03-01","SR","Suriname","AMRO",0,0,0,0
"2020-03-02","SR","Suriname","AMRO",0,0,0,0
"2020-03-03","SR","Suriname","AMRO",0,0,0,0
"2020-03-04","SR","Suriname","AMRO",0,0,0,0
"2020-03-05","SR","Suriname","AMRO",0,0,0,0
"2020-03-06","SR","Suriname","AMRO",0,0,0,0
"2020-03-07","SR","Suriname","AMRO",0,0,0,0
"2020-03-08","SR","Suriname","AMRO",0,0,0,0
"2020-03-09","SR","Suriname","AMRO",0,0,0,0
"2020-03-10","SR","Suriname","AMRO",0,0,0,0
"2020-03-11","SR","Suriname","AMRO",0,0,0,0
"2020-03-12","SR","Suriname","AMRO",0,0,0,0
"2020-03-13","SR","Suriname","AMRO",0,0,0,0
"2020-03-14","SR","Suriname","AMRO",0,0,0,0
"2020-03-15","SR","Suriname","AMRO",5,5,0,0
"2020-03-16","SR","Suriname","AMRO",0,5,0,0
