"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CH","Switzerland","EURO",0,0,0,0
"2020-01-04","CH","Switzerland","EURO",0,0,0,0
"2020-01-05","CH","Switzerland","EURO",0,0,0,0
"2020-01-06","CH","Switzerland","EURO",0,0,0,0
"2020-01-07","CH","Switzerland","EURO",0,0,0,0
"2020-01-08","CH","Switzerland","EURO",0,0,0,0
"2020-01-09","CH","Switzerland","EURO",0,0,0,0
"2020-01-10","CH","Switzerland","EURO",0,0,0,0
"2020-01-11","CH","Switzerland","EURO",0,0,0,0
"2020-01-12","CH","Switzerland","EURO",0,0,0,0
"2020-01-13","CH","Switzerland","EURO",0,0,0,0
"2020-01-14","CH","Switzerland","EURO",0,0,0,0
"2020-01-15","CH","Switzerland","EURO",0,0,0,0
"2020-01-16","CH","Switzerland","EURO",0,0,0,0
"2020-01-17","CH","Switzerland","EURO",0,0,0,0
"2020-01-18","CH","Switzerland","EURO",0,0,0,0
"2020-01-19","CH","Switzerland","EURO",0,0,0,0
"2020-01-20","CH","Switzerland","EURO",0,0,0,0
"2020-01-21","CH","Switzerland","EURO",0,0,0,0
"2020-01-22","CH","Switzerland","EURO",0,0,0,0
"2020-01-23","CH","Switzerland","EURO",0,0,0,0
"2020-01-24","CH","Switzerland","EURO",0,0,0,0
"2020-01-25","CH","Switzerland","EURO",0,0,0,0
"2020-01-26","CH","Switzerland","EURO",0,0,0,0
"2020-01-27","CH","Switzerland","EURO",0,0,0,0
"2020-01-28","CH","Switzerland","EURO",0,0,0,0
"2020-01-29","CH","Switzerland","EURO",0,0,0,0
"2020-01-30","CH","Switzerland","EURO",0,0,0,0
"2020-01-31","CH","Switzerland","EURO",0,0,0,0
"2020-02-01","CH","Switzerland","EURO",0,0,0,0
"2020-02-02","CH","Switzerland","EURO",0,0,0,0
"2020-02-03","CH","Switzerland","EURO",0,0,0,0
"2020-02-04","CH","Switzerland","EURO",0,0,0,0
"2020-02-05","CH","Switzerland","EURO",0,0,0,0
"2020-02-06","CH","Switzerland","EURO",0,0,0,0
"2020-02-07","CH","Switzerland","EURO",0,0,0,0
"2020-02-08","CH","Switzerland","EURO",0,0,0,0
"2020-02-09","CH","Switzerland","EURO",0,0,0,0
"2020-02-10","CH","Switzerland","EURO",0,0,0,0
"2020-02-11","CH","Switzerland","EURO",0,0,0,0
"2020-02-12","CH","Switzerland","EURO",0,0,0,0
"2020-02-13","CH","Switzerland","EURO",0,0,0,0
"2020-02-14","CH","Switzerland","EURO",0,0,0,0
"2020-02-15","CH","Switzerland","EURO",0,0,0,0
"2020-02-16","CH","Switzerland","EURO",0,0,0,0
"2020-02-17","CH","Switzerland","EURO",0,0,0,0
"2020-02-18","CH","Switzerland","EURO",0,0,0,0
"2020-02-19","CH","Switzerland","EURO",0,0,0,0
"2020-02-20","CH","Switzerland","EURO",0,0,0,0
"2020-02-21","CH","Switzerland","EURO",0,0,0,0
"2020-02-22","CH","Switzerland","EURO",0,0,0,0
"2020-02-23","CH","Switzerland","EURO",0,0,0,0
"2020-02-24","CH","Switzerland","EURO",1,1,0,0
"2020-02-25","CH","Switzerland","EURO",2,3,0,0
"2020-02-26","CH","Switzerland","EURO",6,9,0,0
"2020-02-27","CH","Switzerland","EURO",5,14,0,0
"2020-02-28","CH","Switzerland","EURO",16,30,0,0
"2020-02-29","CH","Switzerland","EURO",14,44,0,0
"2020-03-01","CH","Switzerland","EURO",12,56,0,0
"2020-03-02","CH","Switzerland","EURO",20,76,0,0
"2020-03-03","CH","Switzerland","EURO",26,102,0,0
"2020-03-04","CH","Switzerland","EURO",39,141,0,0
"2020-03-05","CH","Switzerland","EURO",58,199,2,2
"2020-03-06","CH","Switzerland","EURO",64,263,0,2
"2020-03-07","CH","Switzerland","EURO",58,321,0,2
"2020-03-08","CH","Switzerland","EURO",62,383,1,3
"2020-03-09","CH","Switzerland","EURO",65,448,0,3
"2020-03-10","CH","Switzerland","EURO",127,575,2,5
"2020-03-11","CH","Switzerland","EURO",203,778,3,8
"2020-03-12","CH","Switzerland","EURO",281,1059,4,12
"2020-03-13","CH","Switzerland","EURO",308,1367,3,15
"2020-03-14","CH","Switzerland","EURO",196,1563,5,20
"2020-03-15","CH","Switzerland","EURO",532,2095,8,28
"2020-03-16","CH","Switzerland","EURO",362,2457,7,35
"2020-03-17","CH","Switzerland","EURO",630,3087,12,47
"2020-03-18","CH","Switzerland","EURO",802,3889,8,55
"2020-03-19","CH","Switzerland","EURO",1202,5091,13,68
"2020-03-20","CH","Switzerland","EURO",1055,6146,21,89
"2020-03-21","CH","Switzerland","EURO",953,7099,19,108
"2020-03-22","CH","Switzerland","EURO",925,8024,18,126
"2020-03-23","CH","Switzerland","EURO",602,8626,23,149
"2020-03-24","CH","Switzerland","EURO",1261,9887,19,168
"2020-03-25","CH","Switzerland","EURO",852,10739,39,207
"2020-03-26","CH","Switzerland","EURO",1469,12208,38,245
"2020-03-27","CH","Switzerland","EURO",1147,13355,31,276
"2020-03-28","CH","Switzerland","EURO",994,14349,57,333
"2020-03-29","CH","Switzerland","EURO",1097,15446,45,378
"2020-03-30","CH","Switzerland","EURO",734,16180,58,436
"2020-03-31","CH","Switzerland","EURO",931,17111,44,480
"2020-04-01","CH","Switzerland","EURO",1107,18218,57,537
"2020-04-02","CH","Switzerland","EURO",1043,19261,60,597
"2020-04-03","CH","Switzerland","EURO",959,20220,54,651
"2020-04-04","CH","Switzerland","EURO",742,20962,54,705
"2020-04-05","CH","Switzerland","EURO",656,21618,49,754
"2020-04-06","CH","Switzerland","EURO",541,22159,50,804
"2020-04-07","CH","Switzerland","EURO",586,22745,53,857
"2020-04-08","CH","Switzerland","EURO",811,23556,57,914
"2020-04-09","CH","Switzerland","EURO",703,24259,44,958
"2020-04-10","CH","Switzerland","EURO",562,24821,49,1007
"2020-04-11","CH","Switzerland","EURO",394,25215,44,1051
"2020-04-12","CH","Switzerland","EURO",331,25546,35,1086
"2020-04-13","CH","Switzerland","EURO",260,25806,34,1120
"2020-04-14","CH","Switzerland","EURO",517,26323,37,1157
"2020-04-15","CH","Switzerland","EURO",322,26645,37,1194
"2020-04-16","CH","Switzerland","EURO",342,26987,38,1232
"2020-04-17","CH","Switzerland","EURO",325,27312,36,1268
"2020-04-18","CH","Switzerland","EURO",336,27648,30,1298
"2020-04-19","CH","Switzerland","EURO",200,27848,20,1318
"2020-04-20","CH","Switzerland","EURO",118,27966,37,1355
"2020-04-21","CH","Switzerland","EURO",209,28175,33,1388
"2020-04-22","CH","Switzerland","EURO",222,28397,26,1414
"2020-04-23","CH","Switzerland","EURO",190,28587,29,1443
"2020-04-24","CH","Switzerland","EURO",204,28791,23,1466
"2020-04-25","CH","Switzerland","EURO",167,28958,24,1490
"2020-04-26","CH","Switzerland","EURO",99,29057,13,1503
"2020-04-27","CH","Switzerland","EURO",102,29159,22,1525
"2020-04-28","CH","Switzerland","EURO",140,29299,11,1536
"2020-04-29","CH","Switzerland","EURO",147,29446,10,1546
"2020-04-30","CH","Switzerland","EURO",141,29587,13,1559
"2020-05-01","CH","Switzerland","EURO",112,29699,12,1571
"2020-05-02","CH","Switzerland","EURO",87,29786,9,1580
"2020-05-03","CH","Switzerland","EURO",66,29852,8,1588
"2020-05-04","CH","Switzerland","EURO",33,29885,9,1597
"2020-05-05","CH","Switzerland","EURO",68,29953,8,1605
"2020-05-06","CH","Switzerland","EURO",67,30020,4,1609
"2020-05-07","CH","Switzerland","EURO",77,30097,11,1620
"2020-05-08","CH","Switzerland","EURO",52,30149,7,1627
"2020-05-09","CH","Switzerland","EURO",49,30198,5,1632
"2020-05-10","CH","Switzerland","EURO",43,30241,7,1639
"2020-05-11","CH","Switzerland","EURO",38,30279,3,1642
"2020-05-12","CH","Switzerland","EURO",40,30319,1,1643
"2020-05-13","CH","Switzerland","EURO",51,30370,1,1644
"2020-05-14","CH","Switzerland","EURO",41,30411,2,1646
"2020-05-15","CH","Switzerland","EURO",41,30452,5,1651
"2020-05-16","CH","Switzerland","EURO",26,30478,1,1652
"2020-05-17","CH","Switzerland","EURO",22,30500,4,1656
"2020-05-18","CH","Switzerland","EURO",21,30521,3,1659
"2020-05-19","CH","Switzerland","EURO",39,30560,4,1663
"2020-05-20","CH","Switzerland","EURO",33,30593,0,1663
"2020-05-21","CH","Switzerland","EURO",18,30611,5,1668
"2020-05-22","CH","Switzerland","EURO",23,30634,1,1669
"2020-05-23","CH","Switzerland","EURO",10,30644,1,1670
"2020-05-24","CH","Switzerland","EURO",10,30654,0,1670
"2020-05-25","CH","Switzerland","EURO",16,30670,2,1672
"2020-05-26","CH","Switzerland","EURO",14,30684,2,1674
"2020-05-27","CH","Switzerland","EURO",19,30703,0,1674
"2020-05-28","CH","Switzerland","EURO",31,30734,0,1674
"2020-05-29","CH","Switzerland","EURO",33,30767,0,1674
"2020-05-30","CH","Switzerland","EURO",16,30783,0,1674
"2020-05-31","CH","Switzerland","EURO",6,30789,0,1674
"2020-06-01","CH","Switzerland","EURO",6,30795,0,1674
"2020-06-02","CH","Switzerland","EURO",6,30801,0,1674
"2020-06-03","CH","Switzerland","EURO",21,30822,0,1674
"2020-06-04","CH","Switzerland","EURO",28,30850,0,1674
"2020-06-05","CH","Switzerland","EURO",14,30864,0,1674
"2020-06-06","CH","Switzerland","EURO",16,30880,1,1675
"2020-06-07","CH","Switzerland","EURO",5,30885,0,1675
"2020-06-08","CH","Switzerland","EURO",13,30898,1,1676
"2020-06-09","CH","Switzerland","EURO",43,30941,0,1676
"2020-06-10","CH","Switzerland","EURO",9,30950,1,1677
"2020-06-11","CH","Switzerland","EURO",28,30978,0,1677
"2020-06-12","CH","Switzerland","EURO",25,31003,0,1677
"2020-06-13","CH","Switzerland","EURO",30,31033,1,1678
"2020-06-14","CH","Switzerland","EURO",15,31048,0,1678
"2020-06-15","CH","Switzerland","EURO",10,31058,0,1678
"2020-06-16","CH","Switzerland","EURO",33,31091,1,1679
"2020-06-17","CH","Switzerland","EURO",25,31116,0,1679
"2020-06-18","CH","Switzerland","EURO",16,31132,0,1679
"2020-06-19","CH","Switzerland","EURO",24,31156,0,1679
"2020-06-20","CH","Switzerland","EURO",48,31204,0,1679
"2020-06-21","CH","Switzerland","EURO",22,31226,0,1679
"2020-06-22","CH","Switzerland","EURO",20,31246,0,1679
"2020-06-23","CH","Switzerland","EURO",3,31249,0,1679
"2020-06-24","CH","Switzerland","EURO",44,31293,2,1681
"2020-06-25","CH","Switzerland","EURO",0,31293,0,1681
"2020-06-26","CH","Switzerland","EURO",52,31345,0,1681
"2020-06-27","CH","Switzerland","EURO",58,31403,0,1681
"2020-06-28","CH","Switzerland","EURO",69,31472,0,1681
"2020-06-29","CH","Switzerland","EURO",62,31534,0,1681
"2020-06-30","CH","Switzerland","EURO",35,31569,0,1681
"2020-07-01","CH","Switzerland","EURO",62,31631,2,1683
"2020-07-02","CH","Switzerland","EURO",220,31851,1,1684
"2020-07-03","CH","Switzerland","EURO",33,31884,1,1685
"2020-07-04","CH","Switzerland","EURO",133,32017,0,1685
"2020-07-05","CH","Switzerland","EURO",97,32114,0,1685
"2020-07-06","CH","Switzerland","EURO",70,32184,0,1685
"2020-07-07","CH","Switzerland","EURO",46,32230,0,1685
"2020-07-08","CH","Switzerland","EURO",54,32284,0,1685
"2020-07-09","CH","Switzerland","EURO",129,32413,0,1685
"2020-07-10","CH","Switzerland","EURO",88,32501,0,1685
"2020-07-11","CH","Switzerland","EURO",104,32605,0,1685
"2020-07-12","CH","Switzerland","EURO",108,32713,0,1685
"2020-07-13","CH","Switzerland","EURO",0,32713,0,1685
"2020-07-14","CH","Switzerland","EURO",148,32861,0,1685
"2020-07-15","CH","Switzerland","EURO",70,32931,2,1687
"2020-07-16","CH","Switzerland","EURO",132,33063,0,1687
"2020-07-17","CH","Switzerland","EURO",142,33205,0,1687
"2020-07-18","CH","Switzerland","EURO",91,33296,0,1687
"2020-07-19","CH","Switzerland","EURO",110,33406,0,1687
"2020-07-20","CH","Switzerland","EURO",98,33504,0,1687
"2020-07-21","CH","Switzerland","EURO",43,33547,0,1687
"2020-07-22","CH","Switzerland","EURO",108,33655,3,1690
"2020-07-23","CH","Switzerland","EURO",141,33796,2,1692
