"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-04","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-05","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-06","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-07","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-08","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-09","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-10","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-11","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-12","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-13","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-14","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-15","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-16","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-17","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-18","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-19","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-20","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-21","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-22","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-23","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-24","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-25","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-26","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-27","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-28","SY","Syrian Arab Republic","EMRO",0,0,0,0
"2020-01-29","SY","Syrian Arab Republic","EMRO",0,0,0,0
