"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-04","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-05","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-06","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-07","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-08","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-09","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-10","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-11","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-12","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-13","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-14","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-15","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-16","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-17","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-18","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-19","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-20","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-21","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-22","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-23","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-24","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-25","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-26","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-27","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-28","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-29","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-30","TJ","Tajikistan","EURO",0,0,0,0
"2020-01-31","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-01","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-02","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-03","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-04","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-05","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-06","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-07","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-08","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-09","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-10","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-11","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-12","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-13","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-14","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-15","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-16","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-17","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-18","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-19","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-20","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-21","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-22","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-23","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-24","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-25","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-26","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-27","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-28","TJ","Tajikistan","EURO",0,0,0,0
"2020-02-29","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-01","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-02","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-03","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-04","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-05","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-06","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-07","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-08","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-09","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-10","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-11","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-12","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-13","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-14","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-15","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-16","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-17","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-18","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-19","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-20","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-21","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-22","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-23","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-24","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-25","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-26","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-27","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-28","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-29","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-30","TJ","Tajikistan","EURO",0,0,0,0
"2020-03-31","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-01","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-02","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-03","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-04","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-05","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-06","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-07","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-08","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-09","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-10","TJ","Tajikistan","EURO",0,0,0,0
"2020-04-11","TJ","Tajikistan","EURO",0,0,0,0
