"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TH","Thailand","SEARO",0,0,0,0
"2020-01-04","TH","Thailand","SEARO",0,0,0,0
"2020-01-05","TH","Thailand","SEARO",0,0,0,0
"2020-01-06","TH","Thailand","SEARO",0,0,0,0
"2020-01-07","TH","Thailand","SEARO",0,0,0,0
"2020-01-08","TH","Thailand","SEARO",0,0,0,0
"2020-01-09","TH","Thailand","SEARO",0,0,0,0
"2020-01-10","TH","Thailand","SEARO",0,0,0,0
"2020-01-11","TH","Thailand","SEARO",0,0,0,0
"2020-01-12","TH","Thailand","SEARO",0,0,0,0
"2020-01-13","TH","Thailand","SEARO",5,5,0,0
"2020-01-14","TH","Thailand","SEARO",0,5,0,0
"2020-01-15","TH","Thailand","SEARO",0,5,0,0
"2020-01-16","TH","Thailand","SEARO",0,5,0,0
"2020-01-17","TH","Thailand","SEARO",1,6,0,0
"2020-01-18","TH","Thailand","SEARO",0,6,0,0
"2020-01-19","TH","Thailand","SEARO",0,6,0,0
"2020-01-20","TH","Thailand","SEARO",0,6,0,0
"2020-01-21","TH","Thailand","SEARO",0,6,0,0
"2020-01-22","TH","Thailand","SEARO",2,8,0,0
"2020-01-23","TH","Thailand","SEARO",0,8,0,0
"2020-01-24","TH","Thailand","SEARO",0,8,0,0
"2020-01-25","TH","Thailand","SEARO",0,8,0,0
"2020-01-26","TH","Thailand","SEARO",1,9,0,0
"2020-01-27","TH","Thailand","SEARO",3,12,0,0
"2020-01-28","TH","Thailand","SEARO",6,18,0,0
"2020-01-29","TH","Thailand","SEARO",0,18,0,0
"2020-01-30","TH","Thailand","SEARO",0,18,0,0
"2020-01-31","TH","Thailand","SEARO",5,23,0,0
"2020-02-01","TH","Thailand","SEARO",0,23,0,0
"2020-02-02","TH","Thailand","SEARO",0,23,0,0
"2020-02-03","TH","Thailand","SEARO",0,23,0,0
"2020-02-04","TH","Thailand","SEARO",6,29,0,0
"2020-02-05","TH","Thailand","SEARO",0,29,0,0
"2020-02-06","TH","Thailand","SEARO",0,29,0,0
"2020-02-07","TH","Thailand","SEARO",0,29,0,0
"2020-02-08","TH","Thailand","SEARO",7,36,0,0
"2020-02-09","TH","Thailand","SEARO",0,36,0,0
"2020-02-10","TH","Thailand","SEARO",0,36,0,0
"2020-02-11","TH","Thailand","SEARO",1,37,0,0
"2020-02-12","TH","Thailand","SEARO",0,37,0,0
"2020-02-13","TH","Thailand","SEARO",0,37,0,0
"2020-02-14","TH","Thailand","SEARO",0,37,0,0
"2020-02-15","TH","Thailand","SEARO",1,38,0,0
"2020-02-16","TH","Thailand","SEARO",0,38,0,0
"2020-02-17","TH","Thailand","SEARO",1,39,0,0
"2020-02-18","TH","Thailand","SEARO",0,39,0,0
"2020-02-19","TH","Thailand","SEARO",0,39,0,0
"2020-02-20","TH","Thailand","SEARO",0,39,0,0
"2020-02-21","TH","Thailand","SEARO",0,39,0,0
"2020-02-22","TH","Thailand","SEARO",0,39,0,0
"2020-02-23","TH","Thailand","SEARO",0,39,0,0
"2020-02-24","TH","Thailand","SEARO",0,39,0,0
"2020-02-25","TH","Thailand","SEARO",2,41,0,0
"2020-02-26","TH","Thailand","SEARO",3,44,0,0
"2020-02-27","TH","Thailand","SEARO",0,44,0,0
"2020-02-28","TH","Thailand","SEARO",1,45,0,0
"2020-02-29","TH","Thailand","SEARO",1,46,0,0
"2020-03-01","TH","Thailand","SEARO",0,46,1,1
"2020-03-02","TH","Thailand","SEARO",1,47,0,1
"2020-03-03","TH","Thailand","SEARO",0,47,0,1
"2020-03-04","TH","Thailand","SEARO",0,47,0,1
"2020-03-05","TH","Thailand","SEARO",4,51,0,1
"2020-03-06","TH","Thailand","SEARO",1,52,0,1
