"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TG","Togo","AFRO",0,0,0,0
"2020-01-04","TG","Togo","AFRO",0,0,0,0
"2020-01-05","TG","Togo","AFRO",0,0,0,0
"2020-01-06","TG","Togo","AFRO",0,0,0,0
"2020-01-07","TG","Togo","AFRO",0,0,0,0
"2020-01-08","TG","Togo","AFRO",0,0,0,0
"2020-01-09","TG","Togo","AFRO",0,0,0,0
"2020-01-10","TG","Togo","AFRO",0,0,0,0
"2020-01-11","TG","Togo","AFRO",0,0,0,0
"2020-01-12","TG","Togo","AFRO",0,0,0,0
"2020-01-13","TG","Togo","AFRO",0,0,0,0
"2020-01-14","TG","Togo","AFRO",0,0,0,0
"2020-01-15","TG","Togo","AFRO",0,0,0,0
"2020-01-16","TG","Togo","AFRO",0,0,0,0
"2020-01-17","TG","Togo","AFRO",0,0,0,0
"2020-01-18","TG","Togo","AFRO",0,0,0,0
"2020-01-19","TG","Togo","AFRO",0,0,0,0
"2020-01-20","TG","Togo","AFRO",0,0,0,0
"2020-01-21","TG","Togo","AFRO",0,0,0,0
"2020-01-22","TG","Togo","AFRO",0,0,0,0
"2020-01-23","TG","Togo","AFRO",0,0,0,0
"2020-01-24","TG","Togo","AFRO",0,0,0,0
"2020-01-25","TG","Togo","AFRO",0,0,0,0
"2020-01-26","TG","Togo","AFRO",0,0,0,0
"2020-01-27","TG","Togo","AFRO",0,0,0,0
"2020-01-28","TG","Togo","AFRO",0,0,0,0
"2020-01-29","TG","Togo","AFRO",0,0,0,0
"2020-01-30","TG","Togo","AFRO",0,0,0,0
"2020-01-31","TG","Togo","AFRO",0,0,0,0
"2020-02-01","TG","Togo","AFRO",0,0,0,0
"2020-02-02","TG","Togo","AFRO",0,0,0,0
"2020-02-03","TG","Togo","AFRO",0,0,0,0
"2020-02-04","TG","Togo","AFRO",0,0,0,0
"2020-02-05","TG","Togo","AFRO",0,0,0,0
"2020-02-06","TG","Togo","AFRO",0,0,0,0
"2020-02-07","TG","Togo","AFRO",0,0,0,0
"2020-02-08","TG","Togo","AFRO",0,0,0,0
"2020-02-09","TG","Togo","AFRO",0,0,0,0
"2020-02-10","TG","Togo","AFRO",0,0,0,0
"2020-02-11","TG","Togo","AFRO",0,0,0,0
"2020-02-12","TG","Togo","AFRO",0,0,0,0
"2020-02-13","TG","Togo","AFRO",0,0,0,0
"2020-02-14","TG","Togo","AFRO",0,0,0,0
"2020-02-15","TG","Togo","AFRO",0,0,0,0
"2020-02-16","TG","Togo","AFRO",0,0,0,0
"2020-02-17","TG","Togo","AFRO",0,0,0,0
"2020-02-18","TG","Togo","AFRO",0,0,0,0
"2020-02-19","TG","Togo","AFRO",0,0,0,0
"2020-02-20","TG","Togo","AFRO",0,0,0,0
"2020-02-21","TG","Togo","AFRO",0,0,0,0
"2020-02-22","TG","Togo","AFRO",0,0,0,0
"2020-02-23","TG","Togo","AFRO",0,0,0,0
"2020-02-24","TG","Togo","AFRO",0,0,0,0
"2020-02-25","TG","Togo","AFRO",0,0,0,0
"2020-02-26","TG","Togo","AFRO",0,0,0,0
"2020-02-27","TG","Togo","AFRO",0,0,0,0
"2020-02-28","TG","Togo","AFRO",0,0,0,0
"2020-02-29","TG","Togo","AFRO",0,0,0,0
