"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TK","Tokelau","WPRO",0,0,0,0
"2020-01-04","TK","Tokelau","WPRO",0,0,0,0
"2020-01-05","TK","Tokelau","WPRO",0,0,0,0
"2020-01-06","TK","Tokelau","WPRO",0,0,0,0
"2020-01-07","TK","Tokelau","WPRO",0,0,0,0
"2020-01-08","TK","Tokelau","WPRO",0,0,0,0
"2020-01-09","TK","Tokelau","WPRO",0,0,0,0
"2020-01-10","TK","Tokelau","WPRO",0,0,0,0
"2020-01-11","TK","Tokelau","WPRO",0,0,0,0
"2020-01-12","TK","Tokelau","WPRO",0,0,0,0
"2020-01-13","TK","Tokelau","WPRO",0,0,0,0
"2020-01-14","TK","Tokelau","WPRO",0,0,0,0
"2020-01-15","TK","Tokelau","WPRO",0,0,0,0
"2020-01-16","TK","Tokelau","WPRO",0,0,0,0
"2020-01-17","TK","Tokelau","WPRO",0,0,0,0
"2020-01-18","TK","Tokelau","WPRO",0,0,0,0
"2020-01-19","TK","Tokelau","WPRO",0,0,0,0
"2020-01-20","TK","Tokelau","WPRO",0,0,0,0
"2020-01-21","TK","Tokelau","WPRO",0,0,0,0
"2020-01-22","TK","Tokelau","WPRO",0,0,0,0
"2020-01-23","TK","Tokelau","WPRO",0,0,0,0
"2020-01-24","TK","Tokelau","WPRO",0,0,0,0
"2020-01-25","TK","Tokelau","WPRO",0,0,0,0
"2020-01-26","TK","Tokelau","WPRO",0,0,0,0
"2020-01-27","TK","Tokelau","WPRO",0,0,0,0
"2020-01-28","TK","Tokelau","WPRO",0,0,0,0
"2020-01-29","TK","Tokelau","WPRO",0,0,0,0
"2020-01-30","TK","Tokelau","WPRO",0,0,0,0
"2020-01-31","TK","Tokelau","WPRO",0,0,0,0
"2020-02-01","TK","Tokelau","WPRO",0,0,0,0
"2020-02-02","TK","Tokelau","WPRO",0,0,0,0
"2020-02-03","TK","Tokelau","WPRO",0,0,0,0
"2020-02-04","TK","Tokelau","WPRO",0,0,0,0
"2020-02-05","TK","Tokelau","WPRO",0,0,0,0
"2020-02-06","TK","Tokelau","WPRO",0,0,0,0
"2020-02-07","TK","Tokelau","WPRO",0,0,0,0
"2020-02-08","TK","Tokelau","WPRO",0,0,0,0
"2020-02-09","TK","Tokelau","WPRO",0,0,0,0
"2020-02-10","TK","Tokelau","WPRO",0,0,0,0
"2020-02-11","TK","Tokelau","WPRO",0,0,0,0
"2020-02-12","TK","Tokelau","WPRO",0,0,0,0
"2020-02-13","TK","Tokelau","WPRO",0,0,0,0
"2020-02-14","TK","Tokelau","WPRO",0,0,0,0
"2020-02-15","TK","Tokelau","WPRO",0,0,0,0
"2020-02-16","TK","Tokelau","WPRO",0,0,0,0
"2020-02-17","TK","Tokelau","WPRO",0,0,0,0
"2020-02-18","TK","Tokelau","WPRO",0,0,0,0
"2020-02-19","TK","Tokelau","WPRO",0,0,0,0
