"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-04","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-05","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-06","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-07","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-08","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-09","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-10","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-11","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-12","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-13","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-14","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-15","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-16","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-17","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-18","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-19","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-20","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-21","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-22","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-23","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-24","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-25","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-26","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-27","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-28","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-29","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-30","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-01-31","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-01","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-02","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-03","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-04","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-05","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-06","TT","Trinidad and Tobago","AMRO",0,0,0,0
"2020-02-07","TT","Trinidad and Tobago","AMRO",0,0,0,0
