"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TN","Tunisia","EMRO",0,0,0,0
"2020-01-04","TN","Tunisia","EMRO",0,0,0,0
"2020-01-05","TN","Tunisia","EMRO",0,0,0,0
"2020-01-06","TN","Tunisia","EMRO",0,0,0,0
"2020-01-07","TN","Tunisia","EMRO",0,0,0,0
"2020-01-08","TN","Tunisia","EMRO",0,0,0,0
"2020-01-09","TN","Tunisia","EMRO",0,0,0,0
"2020-01-10","TN","Tunisia","EMRO",0,0,0,0
"2020-01-11","TN","Tunisia","EMRO",0,0,0,0
"2020-01-12","TN","Tunisia","EMRO",0,0,0,0
"2020-01-13","TN","Tunisia","EMRO",0,0,0,0
"2020-01-14","TN","Tunisia","EMRO",0,0,0,0
"2020-01-15","TN","Tunisia","EMRO",0,0,0,0
"2020-01-16","TN","Tunisia","EMRO",0,0,0,0
"2020-01-17","TN","Tunisia","EMRO",0,0,0,0
"2020-01-18","TN","Tunisia","EMRO",0,0,0,0
"2020-01-19","TN","Tunisia","EMRO",0,0,0,0
"2020-01-20","TN","Tunisia","EMRO",0,0,0,0
"2020-01-21","TN","Tunisia","EMRO",0,0,0,0
"2020-01-22","TN","Tunisia","EMRO",0,0,0,0
"2020-01-23","TN","Tunisia","EMRO",0,0,0,0
"2020-01-24","TN","Tunisia","EMRO",0,0,0,0
"2020-01-25","TN","Tunisia","EMRO",0,0,0,0
"2020-01-26","TN","Tunisia","EMRO",0,0,0,0
"2020-01-27","TN","Tunisia","EMRO",0,0,0,0
"2020-01-28","TN","Tunisia","EMRO",0,0,0,0
"2020-01-29","TN","Tunisia","EMRO",0,0,0,0
"2020-01-30","TN","Tunisia","EMRO",0,0,0,0
"2020-01-31","TN","Tunisia","EMRO",0,0,0,0
"2020-02-01","TN","Tunisia","EMRO",0,0,0,0
"2020-02-02","TN","Tunisia","EMRO",0,0,0,0
"2020-02-03","TN","Tunisia","EMRO",0,0,0,0
"2020-02-04","TN","Tunisia","EMRO",0,0,0,0
"2020-02-05","TN","Tunisia","EMRO",0,0,0,0
"2020-02-06","TN","Tunisia","EMRO",0,0,0,0
"2020-02-07","TN","Tunisia","EMRO",0,0,0,0
"2020-02-08","TN","Tunisia","EMRO",0,0,0,0
"2020-02-09","TN","Tunisia","EMRO",0,0,0,0
"2020-02-10","TN","Tunisia","EMRO",0,0,0,0
"2020-02-11","TN","Tunisia","EMRO",0,0,0,0
"2020-02-12","TN","Tunisia","EMRO",0,0,0,0
"2020-02-13","TN","Tunisia","EMRO",0,0,0,0
"2020-02-14","TN","Tunisia","EMRO",0,0,0,0
"2020-02-15","TN","Tunisia","EMRO",0,0,0,0
"2020-02-16","TN","Tunisia","EMRO",0,0,0,0
"2020-02-17","TN","Tunisia","EMRO",0,0,0,0
"2020-02-18","TN","Tunisia","EMRO",0,0,0,0
"2020-02-19","TN","Tunisia","EMRO",0,0,0,0
"2020-02-20","TN","Tunisia","EMRO",0,0,0,0
"2020-02-21","TN","Tunisia","EMRO",0,0,0,0
"2020-02-22","TN","Tunisia","EMRO",0,0,0,0
"2020-02-23","TN","Tunisia","EMRO",0,0,0,0
"2020-02-24","TN","Tunisia","EMRO",0,0,0,0
"2020-02-25","TN","Tunisia","EMRO",0,0,0,0
"2020-02-26","TN","Tunisia","EMRO",0,0,0,0
"2020-02-27","TN","Tunisia","EMRO",0,0,0,0
"2020-02-28","TN","Tunisia","EMRO",0,0,0,0
"2020-02-29","TN","Tunisia","EMRO",0,0,0,0
"2020-03-01","TN","Tunisia","EMRO",0,0,0,0
"2020-03-02","TN","Tunisia","EMRO",5,5,0,0
"2020-03-03","TN","Tunisia","EMRO",0,5,0,0
"2020-03-04","TN","Tunisia","EMRO",0,5,0,0
"2020-03-05","TN","Tunisia","EMRO",0,5,0,0
"2020-03-06","TN","Tunisia","EMRO",0,5,0,0
"2020-03-07","TN","Tunisia","EMRO",0,5,0,0
