"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TR","Turkey","EURO",0,0,0,0
"2020-01-04","TR","Turkey","EURO",0,0,0,0
"2020-01-05","TR","Turkey","EURO",0,0,0,0
"2020-01-06","TR","Turkey","EURO",0,0,0,0
"2020-01-07","TR","Turkey","EURO",0,0,0,0
"2020-01-08","TR","Turkey","EURO",0,0,0,0
"2020-01-09","TR","Turkey","EURO",0,0,0,0
"2020-01-10","TR","Turkey","EURO",0,0,0,0
"2020-01-11","TR","Turkey","EURO",0,0,0,0
"2020-01-12","TR","Turkey","EURO",0,0,0,0
"2020-01-13","TR","Turkey","EURO",0,0,0,0
"2020-01-14","TR","Turkey","EURO",0,0,0,0
"2020-01-15","TR","Turkey","EURO",0,0,0,0
"2020-01-16","TR","Turkey","EURO",0,0,0,0
"2020-01-17","TR","Turkey","EURO",0,0,0,0
"2020-01-18","TR","Turkey","EURO",0,0,0,0
"2020-01-19","TR","Turkey","EURO",0,0,0,0
"2020-01-20","TR","Turkey","EURO",0,0,0,0
"2020-01-21","TR","Turkey","EURO",0,0,0,0
"2020-01-22","TR","Turkey","EURO",0,0,0,0
"2020-01-23","TR","Turkey","EURO",0,0,0,0
"2020-01-24","TR","Turkey","EURO",0,0,0,0
"2020-01-25","TR","Turkey","EURO",0,0,0,0
"2020-01-26","TR","Turkey","EURO",0,0,0,0
"2020-01-27","TR","Turkey","EURO",0,0,0,0
"2020-01-28","TR","Turkey","EURO",0,0,0,0
"2020-01-29","TR","Turkey","EURO",0,0,0,0
"2020-01-30","TR","Turkey","EURO",0,0,0,0
"2020-01-31","TR","Turkey","EURO",0,0,0,0
"2020-02-01","TR","Turkey","EURO",0,0,0,0
"2020-02-02","TR","Turkey","EURO",0,0,0,0
"2020-02-03","TR","Turkey","EURO",0,0,0,0
"2020-02-04","TR","Turkey","EURO",0,0,0,0
"2020-02-05","TR","Turkey","EURO",0,0,0,0
"2020-02-06","TR","Turkey","EURO",0,0,0,0
"2020-02-07","TR","Turkey","EURO",0,0,0,0
"2020-02-08","TR","Turkey","EURO",0,0,0,0
"2020-02-09","TR","Turkey","EURO",0,0,0,0
"2020-02-10","TR","Turkey","EURO",0,0,0,0
"2020-02-11","TR","Turkey","EURO",0,0,0,0
"2020-02-12","TR","Turkey","EURO",0,0,0,0
"2020-02-13","TR","Turkey","EURO",0,0,0,0
"2020-02-14","TR","Turkey","EURO",0,0,0,0
"2020-02-15","TR","Turkey","EURO",0,0,0,0
"2020-02-16","TR","Turkey","EURO",0,0,0,0
"2020-02-17","TR","Turkey","EURO",0,0,0,0
"2020-02-18","TR","Turkey","EURO",0,0,0,0
"2020-02-19","TR","Turkey","EURO",0,0,0,0
"2020-02-20","TR","Turkey","EURO",0,0,0,0
"2020-02-21","TR","Turkey","EURO",0,0,0,0
"2020-02-22","TR","Turkey","EURO",0,0,0,0
"2020-02-23","TR","Turkey","EURO",0,0,0,0
"2020-02-24","TR","Turkey","EURO",0,0,0,0
"2020-02-25","TR","Turkey","EURO",0,0,0,0
"2020-02-26","TR","Turkey","EURO",0,0,0,0
"2020-02-27","TR","Turkey","EURO",0,0,0,0
"2020-02-28","TR","Turkey","EURO",0,0,0,0
"2020-02-29","TR","Turkey","EURO",0,0,0,0
"2020-03-01","TR","Turkey","EURO",0,0,0,0
"2020-03-02","TR","Turkey","EURO",0,0,0,0
"2020-03-03","TR","Turkey","EURO",0,0,0,0
"2020-03-04","TR","Turkey","EURO",0,0,0,0
"2020-03-05","TR","Turkey","EURO",0,0,0,0
"2020-03-06","TR","Turkey","EURO",0,0,0,0
"2020-03-07","TR","Turkey","EURO",0,0,0,0
"2020-03-08","TR","Turkey","EURO",0,0,0,0
"2020-03-09","TR","Turkey","EURO",0,0,0,0
"2020-03-10","TR","Turkey","EURO",0,0,0,0
"2020-03-11","TR","Turkey","EURO",1,1,0,0
"2020-03-12","TR","Turkey","EURO",0,1,0,0
"2020-03-13","TR","Turkey","EURO",0,1,0,0
"2020-03-14","TR","Turkey","EURO",4,5,0,0
"2020-03-15","TR","Turkey","EURO",1,6,0,0
"2020-03-16","TR","Turkey","EURO",12,18,0,0
"2020-03-17","TR","Turkey","EURO",29,47,0,0
