"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-04","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-05","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-06","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-07","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-08","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-09","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-10","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-11","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-12","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-13","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-14","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-15","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-16","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-17","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-18","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-19","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-20","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-21","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-22","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-23","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-24","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-25","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-26","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-27","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-28","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-29","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-30","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-01-31","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-01","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-02","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-03","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-04","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-05","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-06","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-07","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-08","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-09","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-10","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-11","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-12","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-13","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-14","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-15","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-16","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-17","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-18","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-19","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-20","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-21","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-22","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-23","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-24","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-25","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-26","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-27","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-28","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-02-29","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-01","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-02","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-03","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-04","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-05","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-06","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-07","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-08","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-09","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-10","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-11","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-12","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-13","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-14","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-15","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-16","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-17","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-18","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-19","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-20","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-21","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-22","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-23","TC","Turks and Caicos Islands","AMRO",0,0,0,0
"2020-03-24","TC","Turks and Caicos Islands","AMRO",1,1,0,0
"2020-03-25","TC","Turks and Caicos Islands","AMRO",0,1,0,0
"2020-03-26","TC","Turks and Caicos Islands","AMRO",1,2,0,0
"2020-03-27","TC","Turks and Caicos Islands","AMRO",0,2,0,0
"2020-03-28","TC","Turks and Caicos Islands","AMRO",0,2,0,0
"2020-03-29","TC","Turks and Caicos Islands","AMRO",0,2,0,0
"2020-03-30","TC","Turks and Caicos Islands","AMRO",2,4,0,0
"2020-03-31","TC","Turks and Caicos Islands","AMRO",1,5,0,0
"2020-04-01","TC","Turks and Caicos Islands","AMRO",0,5,0,0
"2020-04-02","TC","Turks and Caicos Islands","AMRO",0,5,0,0
"2020-04-03","TC","Turks and Caicos Islands","AMRO",0,5,0,0
"2020-04-04","TC","Turks and Caicos Islands","AMRO",0,5,0,0
"2020-04-05","TC","Turks and Caicos Islands","AMRO",0,5,0,0
"2020-04-06","TC","Turks and Caicos Islands","AMRO",0,5,1,1
"2020-04-07","TC","Turks and Caicos Islands","AMRO",0,5,0,1
"2020-04-08","TC","Turks and Caicos Islands","AMRO",3,8,0,1
"2020-04-09","TC","Turks and Caicos Islands","AMRO",0,8,0,1
"2020-04-10","TC","Turks and Caicos Islands","AMRO",0,8,0,1
"2020-04-11","TC","Turks and Caicos Islands","AMRO",0,8,0,1
"2020-04-12","TC","Turks and Caicos Islands","AMRO",0,8,0,1
"2020-04-13","TC","Turks and Caicos Islands","AMRO",1,9,0,1
"2020-04-14","TC","Turks and Caicos Islands","AMRO",0,9,0,1
"2020-04-15","TC","Turks and Caicos Islands","AMRO",1,10,0,1
"2020-04-16","TC","Turks and Caicos Islands","AMRO",0,10,0,1
"2020-04-17","TC","Turks and Caicos Islands","AMRO",1,11,0,1
"2020-04-18","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-19","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-20","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-21","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-22","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-23","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-24","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-25","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-26","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-27","TC","Turks and Caicos Islands","AMRO",0,11,0,1
"2020-04-28","TC","Turks and Caicos Islands","AMRO",1,12,0,1
"2020-04-29","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-04-30","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-01","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-02","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-03","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-04","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-05","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-06","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-07","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-08","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-09","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-10","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-11","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-12","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-13","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-14","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-15","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-16","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-17","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-18","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-19","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-20","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-21","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-22","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-23","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-24","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-25","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-26","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-27","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-28","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-29","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-30","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-05-31","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-01","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-02","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-03","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-04","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-05","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-06","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-07","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-08","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-09","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-10","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-11","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-12","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-13","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-14","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-15","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-16","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-17","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-18","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-19","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-20","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-21","TC","Turks and Caicos Islands","AMRO",0,12,0,1
"2020-06-22","TC","Turks and Caicos Islands","AMRO",2,14,0,1
"2020-06-23","TC","Turks and Caicos Islands","AMRO",0,14,0,1
"2020-06-24","TC","Turks and Caicos Islands","AMRO",0,14,0,1
"2020-06-25","TC","Turks and Caicos Islands","AMRO",0,14,0,1
"2020-06-26","TC","Turks and Caicos Islands","AMRO",1,15,0,1
"2020-06-27","TC","Turks and Caicos Islands","AMRO",1,16,0,1
"2020-06-28","TC","Turks and Caicos Islands","AMRO",0,16,0,1
"2020-06-29","TC","Turks and Caicos Islands","AMRO",0,16,0,1
"2020-06-30","TC","Turks and Caicos Islands","AMRO",25,41,0,1
"2020-07-01","TC","Turks and Caicos Islands","AMRO",0,41,1,2
"2020-07-02","TC","Turks and Caicos Islands","AMRO",1,42,0,2
"2020-07-03","TC","Turks and Caicos Islands","AMRO",0,42,0,2
"2020-07-04","TC","Turks and Caicos Islands","AMRO",2,44,0,2
"2020-07-05","TC","Turks and Caicos Islands","AMRO",1,45,0,2
"2020-07-06","TC","Turks and Caicos Islands","AMRO",2,47,0,2
"2020-07-07","TC","Turks and Caicos Islands","AMRO",1,48,0,2
"2020-07-08","TC","Turks and Caicos Islands","AMRO",1,49,0,2
"2020-07-09","TC","Turks and Caicos Islands","AMRO",6,55,0,2
"2020-07-10","TC","Turks and Caicos Islands","AMRO",0,55,0,2
"2020-07-11","TC","Turks and Caicos Islands","AMRO",11,66,0,2
"2020-07-12","TC","Turks and Caicos Islands","AMRO",0,66,0,2
"2020-07-13","TC","Turks and Caicos Islands","AMRO",5,71,0,2
"2020-07-14","TC","Turks and Caicos Islands","AMRO",1,72,0,2
"2020-07-15","TC","Turks and Caicos Islands","AMRO",0,72,0,2
"2020-07-16","TC","Turks and Caicos Islands","AMRO",0,72,0,2
"2020-07-17","TC","Turks and Caicos Islands","AMRO",0,72,0,2
"2020-07-18","TC","Turks and Caicos Islands","AMRO",2,74,0,2
"2020-07-19","TC","Turks and Caicos Islands","AMRO",1,75,0,2
"2020-07-20","TC","Turks and Caicos Islands","AMRO",0,75,0,2
"2020-07-21","TC","Turks and Caicos Islands","AMRO",6,81,0,2
"2020-07-22","TC","Turks and Caicos Islands","AMRO",0,81,0,2
"2020-07-23","TC","Turks and Caicos Islands","AMRO",1,82,0,2
"2020-07-24","TC","Turks and Caicos Islands","AMRO",4,86,0,2
"2020-07-25","TC","Turks and Caicos Islands","AMRO",4,90,0,2
"2020-07-26","TC","Turks and Caicos Islands","AMRO",2,92,0,2
"2020-07-27","TC","Turks and Caicos Islands","AMRO",5,97,0,2
"2020-07-28","TC","Turks and Caicos Islands","AMRO",2,99,0,2
"2020-07-29","TC","Turks and Caicos Islands","AMRO",0,99,0,2
"2020-07-30","TC","Turks and Caicos Islands","AMRO",0,99,0,2
"2020-07-31","TC","Turks and Caicos Islands","AMRO",5,104,0,2
"2020-08-01","TC","Turks and Caicos Islands","AMRO",3,107,0,2
"2020-08-02","TC","Turks and Caicos Islands","AMRO",7,114,0,2
"2020-08-03","TC","Turks and Caicos Islands","AMRO",0,114,0,2
"2020-08-04","TC","Turks and Caicos Islands","AMRO",0,114,0,2
"2020-08-05","TC","Turks and Caicos Islands","AMRO",2,116,0,2
"2020-08-06","TC","Turks and Caicos Islands","AMRO",0,116,0,2
"2020-08-07","TC","Turks and Caicos Islands","AMRO",13,129,0,2
"2020-08-08","TC","Turks and Caicos Islands","AMRO",12,141,0,2
"2020-08-09","TC","Turks and Caicos Islands","AMRO",29,170,0,2
"2020-08-10","TC","Turks and Caicos Islands","AMRO",27,197,0,2
"2020-08-11","TC","Turks and Caicos Islands","AMRO",19,216,0,2
"2020-08-12","TC","Turks and Caicos Islands","AMRO",0,216,0,2
"2020-08-13","TC","Turks and Caicos Islands","AMRO",8,224,0,2
"2020-08-14","TC","Turks and Caicos Islands","AMRO",17,241,0,2
"2020-08-15","TC","Turks and Caicos Islands","AMRO",17,258,0,2
"2020-08-16","TC","Turks and Caicos Islands","AMRO",16,274,0,2
"2020-08-17","TC","Turks and Caicos Islands","AMRO",24,298,0,2
"2020-08-18","TC","Turks and Caicos Islands","AMRO",0,298,0,2
