"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-04","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-05","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-06","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-07","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-08","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-09","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-10","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-11","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-12","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-13","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-14","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-15","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-16","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-17","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-18","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-19","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-20","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-21","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-22","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-23","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-24","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-25","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-26","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-27","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-28","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-29","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-30","TV","Tuvalu","WPRO",0,0,0,0
"2020-01-31","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-01","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-02","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-03","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-04","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-05","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-06","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-07","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-08","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-09","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-10","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-11","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-12","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-13","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-14","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-15","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-16","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-17","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-18","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-19","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-20","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-21","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-22","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-23","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-24","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-25","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-26","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-27","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-28","TV","Tuvalu","WPRO",0,0,0,0
"2020-02-29","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-01","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-02","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-03","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-04","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-05","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-06","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-07","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-08","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-09","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-10","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-11","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-12","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-13","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-14","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-15","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-16","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-17","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-18","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-19","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-20","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-21","TV","Tuvalu","WPRO",0,0,0,0
"2020-03-22","TV","Tuvalu","WPRO",0,0,0,0
