"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","UG","Uganda","AFRO",0,0,0,0
"2020-01-04","UG","Uganda","AFRO",0,0,0,0
"2020-01-05","UG","Uganda","AFRO",0,0,0,0
"2020-01-06","UG","Uganda","AFRO",0,0,0,0
"2020-01-07","UG","Uganda","AFRO",0,0,0,0
"2020-01-08","UG","Uganda","AFRO",0,0,0,0
"2020-01-09","UG","Uganda","AFRO",0,0,0,0
"2020-01-10","UG","Uganda","AFRO",0,0,0,0
"2020-01-11","UG","Uganda","AFRO",0,0,0,0
"2020-01-12","UG","Uganda","AFRO",0,0,0,0
"2020-01-13","UG","Uganda","AFRO",0,0,0,0
"2020-01-14","UG","Uganda","AFRO",0,0,0,0
"2020-01-15","UG","Uganda","AFRO",0,0,0,0
"2020-01-16","UG","Uganda","AFRO",0,0,0,0
"2020-01-17","UG","Uganda","AFRO",0,0,0,0
"2020-01-18","UG","Uganda","AFRO",0,0,0,0
"2020-01-19","UG","Uganda","AFRO",0,0,0,0
"2020-01-20","UG","Uganda","AFRO",0,0,0,0
"2020-01-21","UG","Uganda","AFRO",0,0,0,0
"2020-01-22","UG","Uganda","AFRO",0,0,0,0
"2020-01-23","UG","Uganda","AFRO",0,0,0,0
"2020-01-24","UG","Uganda","AFRO",0,0,0,0
"2020-01-25","UG","Uganda","AFRO",0,0,0,0
"2020-01-26","UG","Uganda","AFRO",0,0,0,0
"2020-01-27","UG","Uganda","AFRO",0,0,0,0
"2020-01-28","UG","Uganda","AFRO",0,0,0,0
"2020-01-29","UG","Uganda","AFRO",0,0,0,0
"2020-01-30","UG","Uganda","AFRO",0,0,0,0
"2020-01-31","UG","Uganda","AFRO",0,0,0,0
"2020-02-01","UG","Uganda","AFRO",0,0,0,0
"2020-02-02","UG","Uganda","AFRO",0,0,0,0
"2020-02-03","UG","Uganda","AFRO",0,0,0,0
"2020-02-04","UG","Uganda","AFRO",0,0,0,0
"2020-02-05","UG","Uganda","AFRO",0,0,0,0
"2020-02-06","UG","Uganda","AFRO",0,0,0,0
"2020-02-07","UG","Uganda","AFRO",0,0,0,0
"2020-02-08","UG","Uganda","AFRO",0,0,0,0
"2020-02-09","UG","Uganda","AFRO",0,0,0,0
"2020-02-10","UG","Uganda","AFRO",0,0,0,0
"2020-02-11","UG","Uganda","AFRO",0,0,0,0
"2020-02-12","UG","Uganda","AFRO",0,0,0,0
"2020-02-13","UG","Uganda","AFRO",0,0,0,0
"2020-02-14","UG","Uganda","AFRO",0,0,0,0
"2020-02-15","UG","Uganda","AFRO",0,0,0,0
"2020-02-16","UG","Uganda","AFRO",0,0,0,0
"2020-02-17","UG","Uganda","AFRO",0,0,0,0
"2020-02-18","UG","Uganda","AFRO",0,0,0,0
"2020-02-19","UG","Uganda","AFRO",0,0,0,0
"2020-02-20","UG","Uganda","AFRO",0,0,0,0
"2020-02-21","UG","Uganda","AFRO",0,0,0,0
"2020-02-22","UG","Uganda","AFRO",0,0,0,0
"2020-02-23","UG","Uganda","AFRO",0,0,0,0
"2020-02-24","UG","Uganda","AFRO",0,0,0,0
"2020-02-25","UG","Uganda","AFRO",0,0,0,0
"2020-02-26","UG","Uganda","AFRO",0,0,0,0
"2020-02-27","UG","Uganda","AFRO",0,0,0,0
"2020-02-28","UG","Uganda","AFRO",0,0,0,0
"2020-02-29","UG","Uganda","AFRO",0,0,0,0
"2020-03-01","UG","Uganda","AFRO",0,0,0,0
"2020-03-02","UG","Uganda","AFRO",0,0,0,0
"2020-03-03","UG","Uganda","AFRO",0,0,0,0
"2020-03-04","UG","Uganda","AFRO",0,0,0,0
"2020-03-05","UG","Uganda","AFRO",0,0,0,0
"2020-03-06","UG","Uganda","AFRO",0,0,0,0
"2020-03-07","UG","Uganda","AFRO",0,0,0,0
"2020-03-08","UG","Uganda","AFRO",0,0,0,0
"2020-03-09","UG","Uganda","AFRO",0,0,0,0
"2020-03-10","UG","Uganda","AFRO",0,0,0,0
"2020-03-11","UG","Uganda","AFRO",0,0,0,0
"2020-03-12","UG","Uganda","AFRO",0,0,0,0
"2020-03-13","UG","Uganda","AFRO",0,0,0,0
"2020-03-14","UG","Uganda","AFRO",0,0,0,0
"2020-03-15","UG","Uganda","AFRO",0,0,0,0
"2020-03-16","UG","Uganda","AFRO",0,0,0,0
"2020-03-17","UG","Uganda","AFRO",0,0,0,0
"2020-03-18","UG","Uganda","AFRO",0,0,0,0
"2020-03-19","UG","Uganda","AFRO",0,0,0,0
"2020-03-20","UG","Uganda","AFRO",0,0,0,0
"2020-03-21","UG","Uganda","AFRO",1,1,0,0
"2020-03-22","UG","Uganda","AFRO",0,1,0,0
"2020-03-23","UG","Uganda","AFRO",0,1,0,0
"2020-03-24","UG","Uganda","AFRO",8,9,0,0
"2020-03-25","UG","Uganda","AFRO",0,9,0,0
"2020-03-26","UG","Uganda","AFRO",5,14,0,0
"2020-03-27","UG","Uganda","AFRO",0,14,0,0
"2020-03-28","UG","Uganda","AFRO",0,14,0,0
"2020-03-29","UG","Uganda","AFRO",16,30,0,0
"2020-03-30","UG","Uganda","AFRO",3,33,0,0
"2020-03-31","UG","Uganda","AFRO",0,33,0,0
"2020-04-01","UG","Uganda","AFRO",0,33,0,0
"2020-04-02","UG","Uganda","AFRO",11,44,0,0
"2020-04-03","UG","Uganda","AFRO",1,45,0,0
"2020-04-04","UG","Uganda","AFRO",3,48,0,0
"2020-04-05","UG","Uganda","AFRO",0,48,0,0
"2020-04-06","UG","Uganda","AFRO",0,48,0,0
"2020-04-07","UG","Uganda","AFRO",4,52,0,0
"2020-04-08","UG","Uganda","AFRO",0,52,0,0
"2020-04-09","UG","Uganda","AFRO",1,53,0,0
"2020-04-10","UG","Uganda","AFRO",0,53,0,0
"2020-04-11","UG","Uganda","AFRO",0,53,0,0
"2020-04-12","UG","Uganda","AFRO",0,53,0,0
"2020-04-13","UG","Uganda","AFRO",1,54,0,0
"2020-04-14","UG","Uganda","AFRO",0,54,0,0
"2020-04-15","UG","Uganda","AFRO",0,54,0,0
"2020-04-16","UG","Uganda","AFRO",1,55,0,0
