"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","UA","Ukraine","EURO",0,0,0,0
"2020-01-04","UA","Ukraine","EURO",0,0,0,0
"2020-01-05","UA","Ukraine","EURO",0,0,0,0
"2020-01-06","UA","Ukraine","EURO",0,0,0,0
"2020-01-07","UA","Ukraine","EURO",0,0,0,0
"2020-01-08","UA","Ukraine","EURO",0,0,0,0
"2020-01-09","UA","Ukraine","EURO",0,0,0,0
"2020-01-10","UA","Ukraine","EURO",0,0,0,0
"2020-01-11","UA","Ukraine","EURO",0,0,0,0
"2020-01-12","UA","Ukraine","EURO",0,0,0,0
"2020-01-13","UA","Ukraine","EURO",0,0,0,0
"2020-01-14","UA","Ukraine","EURO",0,0,0,0
"2020-01-15","UA","Ukraine","EURO",0,0,0,0
"2020-01-16","UA","Ukraine","EURO",0,0,0,0
"2020-01-17","UA","Ukraine","EURO",0,0,0,0
"2020-01-18","UA","Ukraine","EURO",0,0,0,0
"2020-01-19","UA","Ukraine","EURO",0,0,0,0
"2020-01-20","UA","Ukraine","EURO",0,0,0,0
"2020-01-21","UA","Ukraine","EURO",0,0,0,0
"2020-01-22","UA","Ukraine","EURO",0,0,0,0
"2020-01-23","UA","Ukraine","EURO",0,0,0,0
"2020-01-24","UA","Ukraine","EURO",0,0,0,0
"2020-01-25","UA","Ukraine","EURO",0,0,0,0
"2020-01-26","UA","Ukraine","EURO",0,0,0,0
"2020-01-27","UA","Ukraine","EURO",0,0,0,0
"2020-01-28","UA","Ukraine","EURO",0,0,0,0
"2020-01-29","UA","Ukraine","EURO",0,0,0,0
"2020-01-30","UA","Ukraine","EURO",0,0,0,0
"2020-01-31","UA","Ukraine","EURO",0,0,0,0
"2020-02-01","UA","Ukraine","EURO",0,0,0,0
"2020-02-02","UA","Ukraine","EURO",0,0,0,0
"2020-02-03","UA","Ukraine","EURO",0,0,0,0
"2020-02-04","UA","Ukraine","EURO",0,0,0,0
"2020-02-05","UA","Ukraine","EURO",0,0,0,0
"2020-02-06","UA","Ukraine","EURO",0,0,0,0
"2020-02-07","UA","Ukraine","EURO",0,0,0,0
"2020-02-08","UA","Ukraine","EURO",0,0,0,0
"2020-02-09","UA","Ukraine","EURO",0,0,0,0
"2020-02-10","UA","Ukraine","EURO",0,0,0,0
"2020-02-11","UA","Ukraine","EURO",0,0,0,0
"2020-02-12","UA","Ukraine","EURO",0,0,0,0
"2020-02-13","UA","Ukraine","EURO",0,0,0,0
"2020-02-14","UA","Ukraine","EURO",0,0,0,0
"2020-02-15","UA","Ukraine","EURO",0,0,0,0
"2020-02-16","UA","Ukraine","EURO",0,0,0,0
"2020-02-17","UA","Ukraine","EURO",0,0,0,0
"2020-02-18","UA","Ukraine","EURO",0,0,0,0
"2020-02-19","UA","Ukraine","EURO",0,0,0,0
"2020-02-20","UA","Ukraine","EURO",0,0,0,0
"2020-02-21","UA","Ukraine","EURO",0,0,0,0
"2020-02-22","UA","Ukraine","EURO",0,0,0,0
"2020-02-23","UA","Ukraine","EURO",0,0,0,0
"2020-02-24","UA","Ukraine","EURO",0,0,0,0
"2020-02-25","UA","Ukraine","EURO",0,0,0,0
"2020-02-26","UA","Ukraine","EURO",0,0,0,0
"2020-02-27","UA","Ukraine","EURO",0,0,0,0
"2020-02-28","UA","Ukraine","EURO",0,0,0,0
"2020-02-29","UA","Ukraine","EURO",0,0,0,0
"2020-03-01","UA","Ukraine","EURO",0,0,0,0
"2020-03-02","UA","Ukraine","EURO",0,0,0,0
"2020-03-03","UA","Ukraine","EURO",1,1,0,0
"2020-03-04","UA","Ukraine","EURO",0,1,0,0
"2020-03-05","UA","Ukraine","EURO",0,1,0,0
"2020-03-06","UA","Ukraine","EURO",0,1,0,0
"2020-03-07","UA","Ukraine","EURO",0,1,0,0
"2020-03-08","UA","Ukraine","EURO",0,1,0,0
"2020-03-09","UA","Ukraine","EURO",0,1,0,0
"2020-03-10","UA","Ukraine","EURO",0,1,0,0
"2020-03-11","UA","Ukraine","EURO",0,1,0,0
"2020-03-12","UA","Ukraine","EURO",0,1,0,0
"2020-03-13","UA","Ukraine","EURO",2,3,0,0
"2020-03-14","UA","Ukraine","EURO",0,3,1,1
"2020-03-15","UA","Ukraine","EURO",0,3,0,1
"2020-03-16","UA","Ukraine","EURO",0,3,0,1
"2020-03-17","UA","Ukraine","EURO",0,3,0,1
"2020-03-18","UA","Ukraine","EURO",11,14,1,2
