"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-04","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-05","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-06","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-07","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-08","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-09","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-10","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-11","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-12","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-13","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-14","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-15","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-16","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-17","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-18","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-19","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-20","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-21","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-22","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-23","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-24","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-25","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-26","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-27","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-28","AE","United Arab Emirates","EMRO",0,0,0,0
"2020-01-29","AE","United Arab Emirates","EMRO",8,8,0,0
"2020-01-30","AE","United Arab Emirates","EMRO",0,8,0,0
"2020-01-31","AE","United Arab Emirates","EMRO",0,8,0,0
"2020-02-01","AE","United Arab Emirates","EMRO",1,9,0,0
"2020-02-02","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-03","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-04","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-05","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-06","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-07","AE","United Arab Emirates","EMRO",0,9,0,0
"2020-02-08","AE","United Arab Emirates","EMRO",2,11,0,0
"2020-02-09","AE","United Arab Emirates","EMRO",0,11,0,0
"2020-02-10","AE","United Arab Emirates","EMRO",1,12,0,0
"2020-02-11","AE","United Arab Emirates","EMRO",0,12,0,0
"2020-02-12","AE","United Arab Emirates","EMRO",0,12,0,0
"2020-02-13","AE","United Arab Emirates","EMRO",0,12,0,0
"2020-02-14","AE","United Arab Emirates","EMRO",0,12,0,0
"2020-02-15","AE","United Arab Emirates","EMRO",0,12,0,0
"2020-02-16","AE","United Arab Emirates","EMRO",1,13,0,0
"2020-02-17","AE","United Arab Emirates","EMRO",0,13,0,0
"2020-02-18","AE","United Arab Emirates","EMRO",0,13,0,0
"2020-02-19","AE","United Arab Emirates","EMRO",0,13,0,0
"2020-02-20","AE","United Arab Emirates","EMRO",0,13,0,0
"2020-02-21","AE","United Arab Emirates","EMRO",2,15,0,0
"2020-02-22","AE","United Arab Emirates","EMRO",2,17,0,0
"2020-02-23","AE","United Arab Emirates","EMRO",0,17,0,0
"2020-02-24","AE","United Arab Emirates","EMRO",0,17,0,0
"2020-02-25","AE","United Arab Emirates","EMRO",0,17,0,0
"2020-02-26","AE","United Arab Emirates","EMRO",0,17,0,0
"2020-02-27","AE","United Arab Emirates","EMRO",6,23,0,0
"2020-02-28","AE","United Arab Emirates","EMRO",0,23,0,0
"2020-02-29","AE","United Arab Emirates","EMRO",0,23,0,0
"2020-03-01","AE","United Arab Emirates","EMRO",2,25,0,0
"2020-03-02","AE","United Arab Emirates","EMRO",0,25,0,0
"2020-03-03","AE","United Arab Emirates","EMRO",6,31,0,0
"2020-03-04","AE","United Arab Emirates","EMRO",0,31,0,0
"2020-03-05","AE","United Arab Emirates","EMRO",0,31,0,0
"2020-03-06","AE","United Arab Emirates","EMRO",18,49,0,0
"2020-03-07","AE","United Arab Emirates","EMRO",0,49,0,0
"2020-03-08","AE","United Arab Emirates","EMRO",0,49,0,0
"2020-03-09","AE","United Arab Emirates","EMRO",14,63,0,0
"2020-03-10","AE","United Arab Emirates","EMRO",15,78,0,0
"2020-03-11","AE","United Arab Emirates","EMRO",0,78,0,0
"2020-03-12","AE","United Arab Emirates","EMRO",11,89,0,0
"2020-03-13","AE","United Arab Emirates","EMRO",0,89,0,0
"2020-03-14","AE","United Arab Emirates","EMRO",0,89,0,0
"2020-03-15","AE","United Arab Emirates","EMRO",13,102,0,0
"2020-03-16","AE","United Arab Emirates","EMRO",0,102,0,0
"2020-03-17","AE","United Arab Emirates","EMRO",0,102,0,0
"2020-03-18","AE","United Arab Emirates","EMRO",15,117,0,0
"2020-03-19","AE","United Arab Emirates","EMRO",23,140,0,0
"2020-03-20","AE","United Arab Emirates","EMRO",0,140,0,0
"2020-03-21","AE","United Arab Emirates","EMRO",13,153,2,2
"2020-03-22","AE","United Arab Emirates","EMRO",0,153,0,2
"2020-03-23","AE","United Arab Emirates","EMRO",45,198,0,2
"2020-03-24","AE","United Arab Emirates","EMRO",50,248,0,2
