"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-04","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-05","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-06","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-07","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-08","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-09","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-10","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-11","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-12","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-13","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-14","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-15","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-16","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-17","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-18","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-19","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-20","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-21","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-22","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-23","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-24","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-25","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-26","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-27","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-28","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-29","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-30","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-01-31","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-01","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-02","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-03","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-04","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-05","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-06","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-07","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-08","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-09","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-10","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-11","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-12","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-13","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-14","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-15","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-16","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-17","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-18","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-19","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-20","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-21","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-22","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-23","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-24","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-25","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-26","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-27","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-28","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-02-29","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-01","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-02","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-03","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-04","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-05","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-06","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-07","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-08","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-09","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-10","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-11","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-12","VI","United States Virgin Islands","AMRO",0,0,0,0
"2020-03-13","VI","United States Virgin Islands","AMRO",5,5,0,0
"2020-03-14","VI","United States Virgin Islands","AMRO",0,5,0,0
"2020-03-15","VI","United States Virgin Islands","AMRO",0,5,0,0
"2020-03-16","VI","United States Virgin Islands","AMRO",0,5,0,0
"2020-03-17","VI","United States Virgin Islands","AMRO",1,6,0,0
"2020-03-18","VI","United States Virgin Islands","AMRO",1,7,0,0
"2020-03-19","VI","United States Virgin Islands","AMRO",0,7,0,0
"2020-03-20","VI","United States Virgin Islands","AMRO",0,7,0,0
"2020-03-21","VI","United States Virgin Islands","AMRO",-1,6,0,0
"2020-03-22","VI","United States Virgin Islands","AMRO",0,6,0,0
"2020-03-23","VI","United States Virgin Islands","AMRO",0,6,0,0
"2020-03-24","VI","United States Virgin Islands","AMRO",11,17,0,0
"2020-03-25","VI","United States Virgin Islands","AMRO",0,17,0,0
"2020-03-26","VI","United States Virgin Islands","AMRO",0,17,0,0
"2020-03-27","VI","United States Virgin Islands","AMRO",0,17,0,0
"2020-03-28","VI","United States Virgin Islands","AMRO",0,17,0,0
"2020-03-29","VI","United States Virgin Islands","AMRO",0,17,0,0
"2020-03-30","VI","United States Virgin Islands","AMRO",5,22,0,0
"2020-03-31","VI","United States Virgin Islands","AMRO",8,30,0,0
"2020-04-01","VI","United States Virgin Islands","AMRO",0,30,0,0
"2020-04-02","VI","United States Virgin Islands","AMRO",0,30,0,0
"2020-04-03","VI","United States Virgin Islands","AMRO",3,33,0,0
"2020-04-04","VI","United States Virgin Islands","AMRO",4,37,0,0
"2020-04-05","VI","United States Virgin Islands","AMRO",3,40,0,0
"2020-04-06","VI","United States Virgin Islands","AMRO",2,42,0,0
"2020-04-07","VI","United States Virgin Islands","AMRO",1,43,1,1
"2020-04-08","VI","United States Virgin Islands","AMRO",0,43,0,1
"2020-04-09","VI","United States Virgin Islands","AMRO",2,45,0,1
"2020-04-10","VI","United States Virgin Islands","AMRO",1,46,0,1
"2020-04-11","VI","United States Virgin Islands","AMRO",5,51,0,1
"2020-04-12","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-13","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-14","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-15","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-16","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-17","VI","United States Virgin Islands","AMRO",0,51,0,1
"2020-04-18","VI","United States Virgin Islands","AMRO",0,51,1,2
"2020-04-19","VI","United States Virgin Islands","AMRO",2,53,1,3
"2020-04-20","VI","United States Virgin Islands","AMRO",0,53,0,3
"2020-04-21","VI","United States Virgin Islands","AMRO",0,53,0,3
"2020-04-22","VI","United States Virgin Islands","AMRO",1,54,0,3
"2020-04-23","VI","United States Virgin Islands","AMRO",0,54,0,3
"2020-04-24","VI","United States Virgin Islands","AMRO",0,54,0,3
"2020-04-25","VI","United States Virgin Islands","AMRO",0,54,0,3
"2020-04-26","VI","United States Virgin Islands","AMRO",1,55,0,3
"2020-04-27","VI","United States Virgin Islands","AMRO",0,55,0,3
"2020-04-28","VI","United States Virgin Islands","AMRO",4,59,1,4
"2020-04-29","VI","United States Virgin Islands","AMRO",0,59,0,4
