"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","UY","Uruguay","AMRO",0,0,0,0
"2020-01-04","UY","Uruguay","AMRO",0,0,0,0
"2020-01-05","UY","Uruguay","AMRO",0,0,0,0
"2020-01-06","UY","Uruguay","AMRO",0,0,0,0
"2020-01-07","UY","Uruguay","AMRO",0,0,0,0
"2020-01-08","UY","Uruguay","AMRO",0,0,0,0
"2020-01-09","UY","Uruguay","AMRO",0,0,0,0
"2020-01-10","UY","Uruguay","AMRO",0,0,0,0
"2020-01-11","UY","Uruguay","AMRO",0,0,0,0
"2020-01-12","UY","Uruguay","AMRO",0,0,0,0
"2020-01-13","UY","Uruguay","AMRO",0,0,0,0
"2020-01-14","UY","Uruguay","AMRO",0,0,0,0
"2020-01-15","UY","Uruguay","AMRO",0,0,0,0
"2020-01-16","UY","Uruguay","AMRO",0,0,0,0
"2020-01-17","UY","Uruguay","AMRO",0,0,0,0
"2020-01-18","UY","Uruguay","AMRO",0,0,0,0
"2020-01-19","UY","Uruguay","AMRO",0,0,0,0
"2020-01-20","UY","Uruguay","AMRO",0,0,0,0
"2020-01-21","UY","Uruguay","AMRO",0,0,0,0
"2020-01-22","UY","Uruguay","AMRO",0,0,0,0
"2020-01-23","UY","Uruguay","AMRO",0,0,0,0
"2020-01-24","UY","Uruguay","AMRO",0,0,0,0
"2020-01-25","UY","Uruguay","AMRO",0,0,0,0
"2020-01-26","UY","Uruguay","AMRO",0,0,0,0
"2020-01-27","UY","Uruguay","AMRO",0,0,0,0
"2020-01-28","UY","Uruguay","AMRO",0,0,0,0
"2020-01-29","UY","Uruguay","AMRO",0,0,0,0
"2020-01-30","UY","Uruguay","AMRO",0,0,0,0
"2020-01-31","UY","Uruguay","AMRO",0,0,0,0
"2020-02-01","UY","Uruguay","AMRO",0,0,0,0
"2020-02-02","UY","Uruguay","AMRO",0,0,0,0
"2020-02-03","UY","Uruguay","AMRO",0,0,0,0
"2020-02-04","UY","Uruguay","AMRO",0,0,0,0
"2020-02-05","UY","Uruguay","AMRO",0,0,0,0
"2020-02-06","UY","Uruguay","AMRO",0,0,0,0
"2020-02-07","UY","Uruguay","AMRO",0,0,0,0
"2020-02-08","UY","Uruguay","AMRO",0,0,0,0
"2020-02-09","UY","Uruguay","AMRO",0,0,0,0
"2020-02-10","UY","Uruguay","AMRO",0,0,0,0
"2020-02-11","UY","Uruguay","AMRO",0,0,0,0
"2020-02-12","UY","Uruguay","AMRO",0,0,0,0
"2020-02-13","UY","Uruguay","AMRO",0,0,0,0
"2020-02-14","UY","Uruguay","AMRO",0,0,0,0
"2020-02-15","UY","Uruguay","AMRO",0,0,0,0
"2020-02-16","UY","Uruguay","AMRO",0,0,0,0
"2020-02-17","UY","Uruguay","AMRO",0,0,0,0
"2020-02-18","UY","Uruguay","AMRO",0,0,0,0
"2020-02-19","UY","Uruguay","AMRO",0,0,0,0
"2020-02-20","UY","Uruguay","AMRO",0,0,0,0
"2020-02-21","UY","Uruguay","AMRO",0,0,0,0
"2020-02-22","UY","Uruguay","AMRO",0,0,0,0
"2020-02-23","UY","Uruguay","AMRO",0,0,0,0
"2020-02-24","UY","Uruguay","AMRO",0,0,0,0
