"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-04","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-05","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-06","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-07","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-08","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-09","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-10","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-11","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-12","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-13","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-14","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-15","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-16","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-17","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-18","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-19","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-20","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-21","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-22","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-23","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-24","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-25","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-26","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-27","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-28","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-29","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-30","UZ","Uzbekistan","EURO",0,0,0,0
"2020-01-31","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-01","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-02","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-03","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-04","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-05","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-06","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-07","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-08","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-09","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-10","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-11","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-12","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-13","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-14","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-15","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-16","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-17","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-18","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-19","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-20","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-21","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-22","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-23","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-24","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-25","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-26","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-27","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-28","UZ","Uzbekistan","EURO",0,0,0,0
"2020-02-29","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-01","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-02","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-03","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-04","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-05","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-06","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-07","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-08","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-09","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-10","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-11","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-12","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-13","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-14","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-15","UZ","Uzbekistan","EURO",0,0,0,0
"2020-03-16","UZ","Uzbekistan","EURO",4,4,0,0
"2020-03-17","UZ","Uzbekistan","EURO",0,4,0,0
"2020-03-18","UZ","Uzbekistan","EURO",0,4,0,0
"2020-03-19","UZ","Uzbekistan","EURO",0,4,0,0
"2020-03-20","UZ","Uzbekistan","EURO",17,21,0,0
"2020-03-21","UZ","Uzbekistan","EURO",20,41,0,0
"2020-03-22","UZ","Uzbekistan","EURO",0,41,0,0
"2020-03-23","UZ","Uzbekistan","EURO",5,46,0,0
"2020-03-24","UZ","Uzbekistan","EURO",4,50,0,0
"2020-03-25","UZ","Uzbekistan","EURO",6,56,0,0
"2020-03-26","UZ","Uzbekistan","EURO",9,65,0,0
"2020-03-27","UZ","Uzbekistan","EURO",23,88,0,0
"2020-03-28","UZ","Uzbekistan","EURO",16,104,1,1
"2020-03-29","UZ","Uzbekistan","EURO",40,144,1,2
"2020-03-30","UZ","Uzbekistan","EURO",5,149,0,2
"2020-03-31","UZ","Uzbekistan","EURO",18,167,0,2
"2020-04-01","UZ","Uzbekistan","EURO",6,173,0,2
"2020-04-02","UZ","Uzbekistan","EURO",17,190,0,2
