"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-04","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-05","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-06","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-07","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-08","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-09","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-10","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-11","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-12","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-13","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-14","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-15","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-16","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-17","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-18","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-19","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-20","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-21","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-22","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-23","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-24","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-25","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-26","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-27","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-28","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-29","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-30","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-01-31","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-01","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-02","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-03","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-04","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-05","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-06","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-07","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-08","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-09","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-10","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-11","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-12","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-13","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-14","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-15","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-16","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-17","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-18","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-19","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-20","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-21","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-22","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-23","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-24","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-25","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-26","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-27","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-28","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-02-29","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-01","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-02","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-03","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-04","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-05","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-06","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-07","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-08","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-09","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-10","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-11","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-12","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-13","VE","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0
"2020-03-14","VE","Venezuela (Bolivarian Republic of)","AMRO",6,6,0,0
"2020-03-15","VE","Venezuela (Bolivarian Republic of)","AMRO",15,21,0,0
"2020-03-16","VE","Venezuela (Bolivarian Republic of)","AMRO",0,21,0,0
"2020-03-17","VE","Venezuela (Bolivarian Republic of)","AMRO",16,37,0,0
"2020-03-18","VE","Venezuela (Bolivarian Republic of)","AMRO",3,40,0,0
