"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-04","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-05","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-06","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-07","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-08","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-09","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-10","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-11","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-12","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-13","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-14","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-15","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-16","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-17","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-18","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-19","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-20","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-21","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-22","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-23","VN","Viet Nam","WPRO",0,0,0,0
"2020-01-24","VN","Viet Nam","WPRO",6,6,0,0
"2020-01-25","VN","Viet Nam","WPRO",0,6,0,0
"2020-01-26","VN","Viet Nam","WPRO",0,6,0,0
"2020-01-27","VN","Viet Nam","WPRO",0,6,0,0
"2020-01-28","VN","Viet Nam","WPRO",0,6,0,0
"2020-01-29","VN","Viet Nam","WPRO",0,6,0,0
"2020-01-30","VN","Viet Nam","WPRO",3,9,0,0
"2020-01-31","VN","Viet Nam","WPRO",0,9,0,0
"2020-02-01","VN","Viet Nam","WPRO",1,10,0,0
"2020-02-02","VN","Viet Nam","WPRO",1,11,0,0
"2020-02-03","VN","Viet Nam","WPRO",1,12,0,0
"2020-02-04","VN","Viet Nam","WPRO",2,14,0,0
"2020-02-05","VN","Viet Nam","WPRO",0,14,0,0
"2020-02-06","VN","Viet Nam","WPRO",2,16,0,0
"2020-02-07","VN","Viet Nam","WPRO",0,16,0,0
"2020-02-08","VN","Viet Nam","WPRO",1,17,0,0
"2020-02-09","VN","Viet Nam","WPRO",1,18,0,0
"2020-02-10","VN","Viet Nam","WPRO",0,18,0,0
"2020-02-11","VN","Viet Nam","WPRO",1,19,0,0
"2020-02-12","VN","Viet Nam","WPRO",0,19,0,0
"2020-02-13","VN","Viet Nam","WPRO",1,20,0,0
"2020-02-14","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-15","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-16","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-17","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-18","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-19","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-20","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-21","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-22","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-23","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-24","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-25","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-26","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-27","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-28","VN","Viet Nam","WPRO",0,20,0,0
"2020-02-29","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-01","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-02","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-03","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-04","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-05","VN","Viet Nam","WPRO",0,20,0,0
"2020-03-06","VN","Viet Nam","WPRO",1,21,0,0
"2020-03-07","VN","Viet Nam","WPRO",3,24,0,0
"2020-03-08","VN","Viet Nam","WPRO",10,34,0,0
"2020-03-09","VN","Viet Nam","WPRO",1,35,0,0
"2020-03-10","VN","Viet Nam","WPRO",0,35,0,0
"2020-03-11","VN","Viet Nam","WPRO",4,39,0,0
"2020-03-12","VN","Viet Nam","WPRO",4,43,0,0
"2020-03-13","VN","Viet Nam","WPRO",0,43,0,0
"2020-03-14","VN","Viet Nam","WPRO",9,52,0,0
"2020-03-15","VN","Viet Nam","WPRO",5,57,0,0
"2020-03-16","VN","Viet Nam","WPRO",4,61,0,0
"2020-03-17","VN","Viet Nam","WPRO",4,65,0,0
"2020-03-18","VN","Viet Nam","WPRO",5,70,0,0
"2020-03-19","VN","Viet Nam","WPRO",15,85,0,0
"2020-03-20","VN","Viet Nam","WPRO",6,91,0,0
"2020-03-21","VN","Viet Nam","WPRO",3,94,0,0
"2020-03-22","VN","Viet Nam","WPRO",0,94,0,0
"2020-03-23","VN","Viet Nam","WPRO",24,118,0,0
"2020-03-24","VN","Viet Nam","WPRO",5,123,0,0
"2020-03-25","VN","Viet Nam","WPRO",11,134,0,0
"2020-03-26","VN","Viet Nam","WPRO",14,148,0,0
"2020-03-27","VN","Viet Nam","WPRO",5,153,0,0
"2020-03-28","VN","Viet Nam","WPRO",16,169,0,0
"2020-03-29","VN","Viet Nam","WPRO",10,179,0,0
"2020-03-30","VN","Viet Nam","WPRO",15,194,0,0
"2020-03-31","VN","Viet Nam","WPRO",9,203,0,0
"2020-04-01","VN","Viet Nam","WPRO",9,212,0,0
"2020-04-02","VN","Viet Nam","WPRO",4,216,0,0
"2020-04-03","VN","Viet Nam","WPRO",17,233,0,0
"2020-04-04","VN","Viet Nam","WPRO",6,239,0,0
"2020-04-05","VN","Viet Nam","WPRO",1,240,0,0
"2020-04-06","VN","Viet Nam","WPRO",1,241,0,0
"2020-04-07","VN","Viet Nam","WPRO",4,245,0,0
"2020-04-08","VN","Viet Nam","WPRO",6,251,0,0
"2020-04-09","VN","Viet Nam","WPRO",0,251,0,0
"2020-04-10","VN","Viet Nam","WPRO",4,255,0,0
"2020-04-11","VN","Viet Nam","WPRO",2,257,0,0
"2020-04-12","VN","Viet Nam","WPRO",1,258,0,0
"2020-04-13","VN","Viet Nam","WPRO",4,262,0,0
"2020-04-14","VN","Viet Nam","WPRO",3,265,0,0
"2020-04-15","VN","Viet Nam","WPRO",2,267,0,0
"2020-04-16","VN","Viet Nam","WPRO",0,267,0,0
"2020-04-17","VN","Viet Nam","WPRO",1,268,0,0
"2020-04-18","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-19","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-20","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-21","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-22","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-23","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-24","VN","Viet Nam","WPRO",0,268,0,0
"2020-04-25","VN","Viet Nam","WPRO",2,270,0,0
"2020-04-26","VN","Viet Nam","WPRO",0,270,0,0
"2020-04-27","VN","Viet Nam","WPRO",0,270,0,0
"2020-04-28","VN","Viet Nam","WPRO",0,270,0,0
"2020-04-29","VN","Viet Nam","WPRO",0,270,0,0
"2020-04-30","VN","Viet Nam","WPRO",0,270,0,0
"2020-05-01","VN","Viet Nam","WPRO",0,270,0,0
"2020-05-02","VN","Viet Nam","WPRO",0,270,0,0
"2020-05-03","VN","Viet Nam","WPRO",0,270,0,0
"2020-05-04","VN","Viet Nam","WPRO",1,271,0,0
"2020-05-05","VN","Viet Nam","WPRO",0,271,0,0
"2020-05-06","VN","Viet Nam","WPRO",0,271,0,0
"2020-05-07","VN","Viet Nam","WPRO",17,288,0,0
"2020-05-08","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-09","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-10","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-11","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-12","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-13","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-14","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-15","VN","Viet Nam","WPRO",0,288,0,0
"2020-05-16","VN","Viet Nam","WPRO",30,318,0,0
"2020-05-17","VN","Viet Nam","WPRO",0,318,0,0
"2020-05-18","VN","Viet Nam","WPRO",2,320,0,0
"2020-05-19","VN","Viet Nam","WPRO",4,324,0,0
"2020-05-20","VN","Viet Nam","WPRO",0,324,0,0
"2020-05-21","VN","Viet Nam","WPRO",0,324,0,0
"2020-05-22","VN","Viet Nam","WPRO",0,324,0,0
"2020-05-23","VN","Viet Nam","WPRO",0,324,0,0
"2020-05-24","VN","Viet Nam","WPRO",1,325,0,0
"2020-05-25","VN","Viet Nam","WPRO",0,325,0,0
"2020-05-26","VN","Viet Nam","WPRO",1,326,0,0
"2020-05-27","VN","Viet Nam","WPRO",1,327,0,0
"2020-05-28","VN","Viet Nam","WPRO",0,327,0,0
"2020-05-29","VN","Viet Nam","WPRO",0,327,0,0
"2020-05-30","VN","Viet Nam","WPRO",0,327,0,0
"2020-05-31","VN","Viet Nam","WPRO",1,328,0,0
"2020-06-01","VN","Viet Nam","WPRO",0,328,0,0
"2020-06-02","VN","Viet Nam","WPRO",0,328,0,0
"2020-06-03","VN","Viet Nam","WPRO",0,328,0,0
"2020-06-04","VN","Viet Nam","WPRO",0,328,0,0
"2020-06-05","VN","Viet Nam","WPRO",0,328,0,0
"2020-06-06","VN","Viet Nam","WPRO",1,329,0,0
"2020-06-07","VN","Viet Nam","WPRO",0,329,0,0
"2020-06-08","VN","Viet Nam","WPRO",0,329,0,0
"2020-06-09","VN","Viet Nam","WPRO",3,332,0,0
"2020-06-10","VN","Viet Nam","WPRO",0,332,0,0
"2020-06-11","VN","Viet Nam","WPRO",0,332,0,0
"2020-06-12","VN","Viet Nam","WPRO",0,332,0,0
"2020-06-13","VN","Viet Nam","WPRO",0,332,0,0
"2020-06-14","VN","Viet Nam","WPRO",2,334,0,0
"2020-06-15","VN","Viet Nam","WPRO",0,334,0,0
"2020-06-16","VN","Viet Nam","WPRO",0,334,0,0
"2020-06-17","VN","Viet Nam","WPRO",1,335,0,0
"2020-06-18","VN","Viet Nam","WPRO",0,335,0,0
"2020-06-19","VN","Viet Nam","WPRO",7,342,0,0
"2020-06-20","VN","Viet Nam","WPRO",7,349,0,0
"2020-06-21","VN","Viet Nam","WPRO",0,349,0,0
"2020-06-22","VN","Viet Nam","WPRO",0,349,0,0
"2020-06-23","VN","Viet Nam","WPRO",0,349,0,0
"2020-06-24","VN","Viet Nam","WPRO",0,349,0,0
"2020-06-25","VN","Viet Nam","WPRO",3,352,0,0
"2020-06-26","VN","Viet Nam","WPRO",0,352,0,0
"2020-06-27","VN","Viet Nam","WPRO",1,353,0,0
"2020-06-28","VN","Viet Nam","WPRO",2,355,0,0
"2020-06-29","VN","Viet Nam","WPRO",0,355,0,0
"2020-06-30","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-01","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-02","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-03","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-04","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-05","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-06","VN","Viet Nam","WPRO",0,355,0,0
"2020-07-07","VN","Viet Nam","WPRO",14,369,0,0
"2020-07-08","VN","Viet Nam","WPRO",0,369,0,0
"2020-07-09","VN","Viet Nam","WPRO",0,369,0,0
"2020-07-10","VN","Viet Nam","WPRO",0,369,0,0
"2020-07-11","VN","Viet Nam","WPRO",1,370,0,0
"2020-07-12","VN","Viet Nam","WPRO",0,370,0,0
"2020-07-13","VN","Viet Nam","WPRO",2,372,0,0
"2020-07-14","VN","Viet Nam","WPRO",0,372,0,0
"2020-07-15","VN","Viet Nam","WPRO",1,373,0,0
"2020-07-16","VN","Viet Nam","WPRO",8,381,0,0
"2020-07-17","VN","Viet Nam","WPRO",0,381,0,0
"2020-07-18","VN","Viet Nam","WPRO",1,382,0,0
"2020-07-19","VN","Viet Nam","WPRO",0,382,0,0
"2020-07-20","VN","Viet Nam","WPRO",1,383,0,0
"2020-07-21","VN","Viet Nam","WPRO",1,384,0,0
"2020-07-22","VN","Viet Nam","WPRO",17,401,0,0
"2020-07-23","VN","Viet Nam","WPRO",7,408,0,0
"2020-07-24","VN","Viet Nam","WPRO",4,412,0,0
"2020-07-25","VN","Viet Nam","WPRO",3,415,0,0
