"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-04","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-05","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-06","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-07","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-08","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-09","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-10","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-11","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-12","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-13","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-14","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-15","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-16","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-17","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-18","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-19","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-20","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-21","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-22","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-23","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-24","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-25","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-26","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-27","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-28","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-29","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-30","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-01-31","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-01","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-02","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-03","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-04","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-05","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-06","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-07","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-08","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-09","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-10","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-11","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-12","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-13","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-14","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-15","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-16","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-17","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-18","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-19","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-20","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-21","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-22","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-23","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-24","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-25","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-26","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-27","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-28","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-02-29","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-01","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-02","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-03","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-04","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-05","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-06","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-07","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-08","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-09","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-10","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-11","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-12","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-13","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-14","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-15","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-16","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-17","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-18","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-19","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-20","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-21","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-22","WF","Wallis and Futuna","WPRO",0,0,0,0
"2020-03-23","WF","Wallis and Futuna","WPRO",0,0,0,0
