"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","YE","Yemen","EMRO",0,0,0,0
"2020-01-04","YE","Yemen","EMRO",0,0,0,0
"2020-01-05","YE","Yemen","EMRO",0,0,0,0
"2020-01-06","YE","Yemen","EMRO",0,0,0,0
"2020-01-07","YE","Yemen","EMRO",0,0,0,0
"2020-01-08","YE","Yemen","EMRO",0,0,0,0
"2020-01-09","YE","Yemen","EMRO",0,0,0,0
"2020-01-10","YE","Yemen","EMRO",0,0,0,0
"2020-01-11","YE","Yemen","EMRO",0,0,0,0
"2020-01-12","YE","Yemen","EMRO",0,0,0,0
"2020-01-13","YE","Yemen","EMRO",0,0,0,0
"2020-01-14","YE","Yemen","EMRO",0,0,0,0
"2020-01-15","YE","Yemen","EMRO",0,0,0,0
"2020-01-16","YE","Yemen","EMRO",0,0,0,0
"2020-01-17","YE","Yemen","EMRO",0,0,0,0
"2020-01-18","YE","Yemen","EMRO",0,0,0,0
"2020-01-19","YE","Yemen","EMRO",0,0,0,0
"2020-01-20","YE","Yemen","EMRO",0,0,0,0
"2020-01-21","YE","Yemen","EMRO",0,0,0,0
"2020-01-22","YE","Yemen","EMRO",0,0,0,0
"2020-01-23","YE","Yemen","EMRO",0,0,0,0
"2020-01-24","YE","Yemen","EMRO",0,0,0,0
"2020-01-25","YE","Yemen","EMRO",0,0,0,0
"2020-01-26","YE","Yemen","EMRO",0,0,0,0
"2020-01-27","YE","Yemen","EMRO",0,0,0,0
"2020-01-28","YE","Yemen","EMRO",0,0,0,0
"2020-01-29","YE","Yemen","EMRO",0,0,0,0
"2020-01-30","YE","Yemen","EMRO",0,0,0,0
"2020-01-31","YE","Yemen","EMRO",0,0,0,0
"2020-02-01","YE","Yemen","EMRO",0,0,0,0
"2020-02-02","YE","Yemen","EMRO",0,0,0,0
"2020-02-03","YE","Yemen","EMRO",0,0,0,0
"2020-02-04","YE","Yemen","EMRO",0,0,0,0
"2020-02-05","YE","Yemen","EMRO",0,0,0,0
"2020-02-06","YE","Yemen","EMRO",0,0,0,0
"2020-02-07","YE","Yemen","EMRO",0,0,0,0
"2020-02-08","YE","Yemen","EMRO",0,0,0,0
"2020-02-09","YE","Yemen","EMRO",0,0,0,0
"2020-02-10","YE","Yemen","EMRO",0,0,0,0
"2020-02-11","YE","Yemen","EMRO",0,0,0,0
"2020-02-12","YE","Yemen","EMRO",0,0,0,0
"2020-02-13","YE","Yemen","EMRO",0,0,0,0
"2020-02-14","YE","Yemen","EMRO",0,0,0,0
"2020-02-15","YE","Yemen","EMRO",0,0,0,0
"2020-02-16","YE","Yemen","EMRO",0,0,0,0
"2020-02-17","YE","Yemen","EMRO",0,0,0,0
"2020-02-18","YE","Yemen","EMRO",0,0,0,0
"2020-02-19","YE","Yemen","EMRO",0,0,0,0
"2020-02-20","YE","Yemen","EMRO",0,0,0,0
"2020-02-21","YE","Yemen","EMRO",0,0,0,0
"2020-02-22","YE","Yemen","EMRO",0,0,0,0
"2020-02-23","YE","Yemen","EMRO",0,0,0,0
"2020-02-24","YE","Yemen","EMRO",0,0,0,0
"2020-02-25","YE","Yemen","EMRO",0,0,0,0
"2020-02-26","YE","Yemen","EMRO",0,0,0,0
"2020-02-27","YE","Yemen","EMRO",0,0,0,0
"2020-02-28","YE","Yemen","EMRO",0,0,0,0
"2020-02-29","YE","Yemen","EMRO",0,0,0,0
"2020-03-01","YE","Yemen","EMRO",0,0,0,0
"2020-03-02","YE","Yemen","EMRO",0,0,0,0
"2020-03-03","YE","Yemen","EMRO",0,0,0,0
"2020-03-04","YE","Yemen","EMRO",0,0,0,0
"2020-03-05","YE","Yemen","EMRO",0,0,0,0
"2020-03-06","YE","Yemen","EMRO",0,0,0,0
"2020-03-07","YE","Yemen","EMRO",0,0,0,0
"2020-03-08","YE","Yemen","EMRO",0,0,0,0
"2020-03-09","YE","Yemen","EMRO",0,0,0,0
"2020-03-10","YE","Yemen","EMRO",0,0,0,0
"2020-03-11","YE","Yemen","EMRO",0,0,0,0
"2020-03-12","YE","Yemen","EMRO",0,0,0,0
"2020-03-13","YE","Yemen","EMRO",0,0,0,0
"2020-03-14","YE","Yemen","EMRO",0,0,0,0
"2020-03-15","YE","Yemen","EMRO",0,0,0,0
"2020-03-16","YE","Yemen","EMRO",0,0,0,0
"2020-03-17","YE","Yemen","EMRO",0,0,0,0
"2020-03-18","YE","Yemen","EMRO",0,0,0,0
"2020-03-19","YE","Yemen","EMRO",0,0,0,0
"2020-03-20","YE","Yemen","EMRO",0,0,0,0
"2020-03-21","YE","Yemen","EMRO",0,0,0,0
"2020-03-22","YE","Yemen","EMRO",0,0,0,0
"2020-03-23","YE","Yemen","EMRO",0,0,0,0
"2020-03-24","YE","Yemen","EMRO",0,0,0,0
"2020-03-25","YE","Yemen","EMRO",0,0,0,0
"2020-03-26","YE","Yemen","EMRO",0,0,0,0
"2020-03-27","YE","Yemen","EMRO",0,0,0,0
"2020-03-28","YE","Yemen","EMRO",0,0,0,0
"2020-03-29","YE","Yemen","EMRO",0,0,0,0
"2020-03-30","YE","Yemen","EMRO",0,0,0,0
"2020-03-31","YE","Yemen","EMRO",0,0,0,0
"2020-04-01","YE","Yemen","EMRO",0,0,0,0
"2020-04-02","YE","Yemen","EMRO",0,0,0,0
"2020-04-03","YE","Yemen","EMRO",0,0,0,0
"2020-04-04","YE","Yemen","EMRO",0,0,0,0
"2020-04-05","YE","Yemen","EMRO",0,0,0,0
"2020-04-06","YE","Yemen","EMRO",0,0,0,0
"2020-04-07","YE","Yemen","EMRO",0,0,0,0
"2020-04-08","YE","Yemen","EMRO",0,0,0,0
"2020-04-09","YE","Yemen","EMRO",0,0,0,0
"2020-04-10","YE","Yemen","EMRO",1,1,0,0
"2020-04-11","YE","Yemen","EMRO",0,1,0,0
