"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ZM","Zambia","AFRO",0,0,0,0
"2020-01-04","ZM","Zambia","AFRO",0,0,0,0
"2020-01-05","ZM","Zambia","AFRO",0,0,0,0
"2020-01-06","ZM","Zambia","AFRO",0,0,0,0
"2020-01-07","ZM","Zambia","AFRO",0,0,0,0
"2020-01-08","ZM","Zambia","AFRO",0,0,0,0
"2020-01-09","ZM","Zambia","AFRO",0,0,0,0
"2020-01-10","ZM","Zambia","AFRO",0,0,0,0
"2020-01-11","ZM","Zambia","AFRO",0,0,0,0
"2020-01-12","ZM","Zambia","AFRO",0,0,0,0
"2020-01-13","ZM","Zambia","AFRO",0,0,0,0
"2020-01-14","ZM","Zambia","AFRO",0,0,0,0
"2020-01-15","ZM","Zambia","AFRO",0,0,0,0
"2020-01-16","ZM","Zambia","AFRO",0,0,0,0
"2020-01-17","ZM","Zambia","AFRO",0,0,0,0
"2020-01-18","ZM","Zambia","AFRO",0,0,0,0
"2020-01-19","ZM","Zambia","AFRO",0,0,0,0
"2020-01-20","ZM","Zambia","AFRO",0,0,0,0
"2020-01-21","ZM","Zambia","AFRO",0,0,0,0
"2020-01-22","ZM","Zambia","AFRO",0,0,0,0
"2020-01-23","ZM","Zambia","AFRO",0,0,0,0
"2020-01-24","ZM","Zambia","AFRO",0,0,0,0
"2020-01-25","ZM","Zambia","AFRO",0,0,0,0
"2020-01-26","ZM","Zambia","AFRO",0,0,0,0
"2020-01-27","ZM","Zambia","AFRO",0,0,0,0
"2020-01-28","ZM","Zambia","AFRO",0,0,0,0
"2020-01-29","ZM","Zambia","AFRO",0,0,0,0
"2020-01-30","ZM","Zambia","AFRO",0,0,0,0
"2020-01-31","ZM","Zambia","AFRO",0,0,0,0
"2020-02-01","ZM","Zambia","AFRO",0,0,0,0
"2020-02-02","ZM","Zambia","AFRO",0,0,0,0
"2020-02-03","ZM","Zambia","AFRO",0,0,0,0
"2020-02-04","ZM","Zambia","AFRO",0,0,0,0
"2020-02-05","ZM","Zambia","AFRO",0,0,0,0
"2020-02-06","ZM","Zambia","AFRO",0,0,0,0
"2020-02-07","ZM","Zambia","AFRO",0,0,0,0
"2020-02-08","ZM","Zambia","AFRO",0,0,0,0
"2020-02-09","ZM","Zambia","AFRO",0,0,0,0
"2020-02-10","ZM","Zambia","AFRO",0,0,0,0
"2020-02-11","ZM","Zambia","AFRO",0,0,0,0
"2020-02-12","ZM","Zambia","AFRO",0,0,0,0
"2020-02-13","ZM","Zambia","AFRO",0,0,0,0
"2020-02-14","ZM","Zambia","AFRO",0,0,0,0
"2020-02-15","ZM","Zambia","AFRO",0,0,0,0
"2020-02-16","ZM","Zambia","AFRO",0,0,0,0
"2020-02-17","ZM","Zambia","AFRO",0,0,0,0
"2020-02-18","ZM","Zambia","AFRO",0,0,0,0
"2020-02-19","ZM","Zambia","AFRO",0,0,0,0
"2020-02-20","ZM","Zambia","AFRO",0,0,0,0
"2020-02-21","ZM","Zambia","AFRO",0,0,0,0
"2020-02-22","ZM","Zambia","AFRO",0,0,0,0
"2020-02-23","ZM","Zambia","AFRO",0,0,0,0
"2020-02-24","ZM","Zambia","AFRO",0,0,0,0
"2020-02-25","ZM","Zambia","AFRO",0,0,0,0
"2020-02-26","ZM","Zambia","AFRO",0,0,0,0
"2020-02-27","ZM","Zambia","AFRO",0,0,0,0
"2020-02-28","ZM","Zambia","AFRO",0,0,0,0
"2020-02-29","ZM","Zambia","AFRO",0,0,0,0
"2020-03-01","ZM","Zambia","AFRO",0,0,0,0
"2020-03-02","ZM","Zambia","AFRO",0,0,0,0
"2020-03-03","ZM","Zambia","AFRO",0,0,0,0
"2020-03-04","ZM","Zambia","AFRO",0,0,0,0
"2020-03-05","ZM","Zambia","AFRO",0,0,0,0
"2020-03-06","ZM","Zambia","AFRO",0,0,0,0
"2020-03-07","ZM","Zambia","AFRO",0,0,0,0
"2020-03-08","ZM","Zambia","AFRO",0,0,0,0
"2020-03-09","ZM","Zambia","AFRO",0,0,0,0
"2020-03-10","ZM","Zambia","AFRO",0,0,0,0
"2020-03-11","ZM","Zambia","AFRO",0,0,0,0
"2020-03-12","ZM","Zambia","AFRO",0,0,0,0
"2020-03-13","ZM","Zambia","AFRO",0,0,0,0
"2020-03-14","ZM","Zambia","AFRO",0,0,0,0
"2020-03-15","ZM","Zambia","AFRO",0,0,0,0
"2020-03-16","ZM","Zambia","AFRO",0,0,0,0
"2020-03-17","ZM","Zambia","AFRO",0,0,0,0
"2020-03-18","ZM","Zambia","AFRO",6,6,0,0
"2020-03-19","ZM","Zambia","AFRO",0,6,0,0
"2020-03-20","ZM","Zambia","AFRO",0,6,0,0
