"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-04","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-05","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-06","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-07","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-08","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-09","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-10","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-11","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-12","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-13","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-14","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-15","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-16","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-17","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-18","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-19","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-20","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-21","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-22","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-23","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-24","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-25","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-26","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-27","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-28","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-29","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-30","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-01-31","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-01","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-02","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-03","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-04","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-05","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-06","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-07","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-08","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-09","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-10","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-11","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-12","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-13","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-14","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-15","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-16","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-17","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-18","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-19","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-20","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-21","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-22","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-23","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-24","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-25","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-26","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-27","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-28","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-02-29","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-01","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-02","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-03","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-04","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-05","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-06","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-07","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-08","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-09","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-10","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-11","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-12","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-13","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-14","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-15","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-16","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-17","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-18","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-19","ZW","Zimbabwe","AFRO",0,0,0,0
"2020-03-20","ZW","Zimbabwe","AFRO",1,1,0,0
"2020-03-21","ZW","Zimbabwe","AFRO",1,2,0,0
"2020-03-22","ZW","Zimbabwe","AFRO",0,2,0,0
"2020-03-23","ZW","Zimbabwe","AFRO",0,2,0,0
"2020-03-24","ZW","Zimbabwe","AFRO",0,2,1,1
"2020-03-25","ZW","Zimbabwe","AFRO",0,2,0,1
