"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-04","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-05","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-06","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-07","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-08","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-09","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-10","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-11","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-12","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-13","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-14","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-15","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-16","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-17","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-18","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-19","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-20","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-21","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-22","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-23","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-24","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-25","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-26","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-27","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-28","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-29","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-30","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-01-31","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-01","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-02","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-03","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-04","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-05","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-06","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-07","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-08","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-09","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-10","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-11","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-12","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-13","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-14","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-15","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-16","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-17","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-18","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-19","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-20","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-21","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-22","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-23","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-24","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-25","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-26","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-27","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-28","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-02-29","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-03-01","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-03-02","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-03-03","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-03-04","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,0,0,0
"2020-03-05","PS","occupied Palestinian territory, including east Jerusalem","EMRO",11,11,0,0
"2020-03-06","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,20,0,0
"2020-03-07","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,20,0,0
"2020-03-08","PS","occupied Palestinian territory, including east Jerusalem","EMRO",3,23,0,0
"2020-03-09","PS","occupied Palestinian territory, including east Jerusalem","EMRO",6,29,0,0
"2020-03-10","PS","occupied Palestinian territory, including east Jerusalem","EMRO",4,33,0,0
"2020-03-11","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,34,0,0
"2020-03-12","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,35,0,0
"2020-03-13","PS","occupied Palestinian territory, including east Jerusalem","EMRO",4,39,0,0
"2020-03-14","PS","occupied Palestinian territory, including east Jerusalem","EMRO",3,42,0,0
"2020-03-15","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,42,0,0
"2020-03-16","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,43,0,0
"2020-03-17","PS","occupied Palestinian territory, including east Jerusalem","EMRO",2,45,0,0
"2020-03-18","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,45,0,0
"2020-03-19","PS","occupied Palestinian territory, including east Jerusalem","EMRO",6,51,0,0
"2020-03-20","PS","occupied Palestinian territory, including east Jerusalem","EMRO",-3,48,0,0
"2020-03-21","PS","occupied Palestinian territory, including east Jerusalem","EMRO",4,52,0,0
"2020-03-22","PS","occupied Palestinian territory, including east Jerusalem","EMRO",7,59,0,0
"2020-03-23","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,59,0,0
"2020-03-24","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,60,0,0
"2020-03-25","PS","occupied Palestinian territory, including east Jerusalem","EMRO",2,62,0,0
"2020-03-26","PS","occupied Palestinian territory, including east Jerusalem","EMRO",22,84,1,1
"2020-03-27","PS","occupied Palestinian territory, including east Jerusalem","EMRO",7,91,0,1
"2020-03-28","PS","occupied Palestinian territory, including east Jerusalem","EMRO",6,97,0,1
"2020-03-29","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,106,0,1
"2020-03-30","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,115,0,1
"2020-03-31","PS","occupied Palestinian territory, including east Jerusalem","EMRO",2,117,0,1
"2020-04-01","PS","occupied Palestinian territory, including east Jerusalem","EMRO",17,134,0,1
"2020-04-02","PS","occupied Palestinian territory, including east Jerusalem","EMRO",21,155,0,1
"2020-04-03","PS","occupied Palestinian territory, including east Jerusalem","EMRO",16,171,0,1
"2020-04-04","PS","occupied Palestinian territory, including east Jerusalem","EMRO",34,205,0,1
"2020-04-05","PS","occupied Palestinian territory, including east Jerusalem","EMRO",12,217,0,1
"2020-04-06","PS","occupied Palestinian territory, including east Jerusalem","EMRO",36,253,0,1
"2020-04-07","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,254,0,1
"2020-04-08","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,263,0,1
"2020-04-09","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,263,0,1
"2020-04-10","PS","occupied Palestinian territory, including east Jerusalem","EMRO",3,266,1,2
"2020-04-11","PS","occupied Palestinian territory, including east Jerusalem","EMRO",2,268,0,2
"2020-04-12","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,268,0,2
"2020-04-13","PS","occupied Palestinian territory, including east Jerusalem","EMRO",5,273,0,2
"2020-04-14","PS","occupied Palestinian territory, including east Jerusalem","EMRO",14,287,0,2
"2020-04-15","PS","occupied Palestinian territory, including east Jerusalem","EMRO",4,291,0,2
"2020-04-16","PS","occupied Palestinian territory, including east Jerusalem","EMRO",3,294,0,2
"2020-04-17","PS","occupied Palestinian territory, including east Jerusalem","EMRO",13,307,0,2
"2020-04-18","PS","occupied Palestinian territory, including east Jerusalem","EMRO",6,313,0,2
"2020-04-19","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,322,0,2
"2020-04-20","PS","occupied Palestinian territory, including east Jerusalem","EMRO",7,329,0,2
"2020-04-21","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,329,0,2
"2020-04-22","PS","occupied Palestinian territory, including east Jerusalem","EMRO",6,335,0,2
"2020-04-23","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,336,0,2
"2020-04-24","PS","occupied Palestinian territory, including east Jerusalem","EMRO",4,340,0,2
"2020-04-25","PS","occupied Palestinian territory, including east Jerusalem","EMRO",2,342,0,2
"2020-04-26","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,342,0,2
"2020-04-27","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,342,0,2
"2020-04-28","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,343,0,2
"2020-04-29","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,343,0,2
"2020-04-30","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,344,0,2
"2020-05-01","PS","occupied Palestinian territory, including east Jerusalem","EMRO",9,353,0,2
"2020-05-02","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,353,0,2
"2020-05-03","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,353,0,2
"2020-05-04","PS","occupied Palestinian territory, including east Jerusalem","EMRO",171,524,2,4
"2020-05-05","PS","occupied Palestinian territory, including east Jerusalem","EMRO",14,538,0,4
"2020-05-06","PS","occupied Palestinian territory, including east Jerusalem","EMRO",8,546,0,4
"2020-05-07","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,547,0,4
"2020-05-08","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,547,0,4
"2020-05-09","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,547,0,4
"2020-05-10","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,547,0,4
"2020-05-11","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,547,0,4
"2020-05-12","PS","occupied Palestinian territory, including east Jerusalem","EMRO",0,547,0,4
"2020-05-13","PS","occupied Palestinian territory, including east Jerusalem","EMRO",1,548,0,4
